#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718244.1         -           1612 1624at5820           -            953         0 1156.0  45.9   1  11   3.2e-07   8.5e-05   19.4   0.0     1    25     1    25     1    36 0.90 | transcript=PVPAM_030024400_t1 | gene=PVPAM_030024400 | organism=Plasmodium_vivax_PAM | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=CASCJQ010000003:785271-790109(+) | protein_length=1612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722783.1         -            854 1624at5820           -            953   7.1e-06   23.0   0.2   2   2   7.6e-07   0.00021   18.1   0.0   108   202   648   736   627   747 0.81 | transcript=PVPAM_130028400_t1 | gene=PVPAM_130028400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=CASCJQ010000013:1044052-1047856(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720044.1         -            325 1624at5820           -            953   1.4e-05   22.0   7.5   1   1   8.8e-08   2.4e-05   21.2   7.5    28   196    28   219    17   228 0.65 | transcript=PVPAM_080026600_t1 | gene=PVPAM_080026600 | organism=Plasmodium_vivax_PAM | gene_product=MO15-related protein kinase, putative | transcript_product=MO15-related protein kinase, putative | location=CASCJQ010000008:990655-991632(+) | protein_length=325 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720374.1         -            335 1624at5820           -            953   3.1e-05   20.9   3.5   1   1   1.4e-07   3.6e-05   20.6   3.5   100   197   135   230    97   310 0.83 | transcript=PVPAM_090013900_t1 | gene=PVPAM_090013900 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=CASCJQ010000009:497458-498465(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718902.1         -           1623 1624at5820           -            953   5.1e-05   20.1   0.0   1   1   3.1e-07   8.3e-05   19.4   0.0    97   197   903  1002   874  1031 0.84 | transcript=PVPAM_050029400_t1 | gene=PVPAM_050029400 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=CASCJQ010000005:1015568-1020565(+) | protein_length=1623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721965.1         -            897 1624at5820           -            953   5.6e-05   20.0   0.0   1   1     3e-07     8e-05   19.5   0.0    92   222   522   659   460   673 0.76 | transcript=PVPAM_120020300_t1 | gene=PVPAM_120020300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:644935-647628(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718195.1         -            310 1624at5820           -            953   0.00029   17.6   4.4   1   1   2.3e-06   0.00062   16.5   4.3    34   171    50   175    22   199 0.71 | transcript=PVPAM_030019500_t1 | gene=PVPAM_030019500 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=CASCJQ010000003:634173-636068(+) | protein_length=310 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720212.1         -           1622 1624at5820           -            953   0.00045   17.0   0.2   1   1   2.6e-06   0.00071   16.3   0.2   105   203  1468  1574  1448  1606 0.78 | transcript=PVPAM_080043400_t1 | gene=PVPAM_080043400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK2, putative | transcript_product=serine/threonine protein kinase ARK2, putative | location=CASCJQ010000008:1697725-1702833(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721579.1         -            354 1624at5820           -            953     0.001   15.9   0.1   1   1     9e-06    0.0024   14.6   0.0   102   156   132   186   121   280 0.78 | transcript=PVPAM_110048400_t1 | gene=PVPAM_110048400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK1, putative | transcript_product=serine/threonine protein kinase ARK1, putative | location=CASCJQ010000011:1807072-1808609(-) | protein_length=354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719512.1         -           1220 1624at5820           -            953    0.0012   15.6  21.3   1   1     8e-06    0.0021   14.8  21.3   511   720   220   447   189   458 0.71 | transcript=PVPAM_070012600_t1 | gene=PVPAM_070012600 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000007:419794-423456(+) | protein_length=1220 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722092.1         -            547 1624at5820           -            953    0.0033   14.2  16.9   1   1    0.0002     0.054   10.1  16.9   597   733   370   515   246   519 0.72 | transcript=PVPAM_120033000_t1 | gene=PVPAM_120033000 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain containing protein | transcript_product=TBC domain containing protein | location=CASCJQ010000012:1113658-1115301(-) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718584.1         -           2117 1624at5820           -            953     0.014   12.1   0.3   1   1     8e-05     0.022   11.4   0.3    96   199  1787  1888  1731  1901 0.85 | transcript=PVPAM_040032900_t1 | gene=PVPAM_040032900 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000004:1143558-1149911(+) | protein_length=2117 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1624at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1624at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1624at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:45 2026
# [ok]
