#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722375.1         -            832 2097at5820           -            830         0 2007.8   4.5   1   1         0         0 2007.6   4.5     1   830     1   832     1   832 1.00 | transcript=PVPAM_120061100_t1 | gene=PVPAM_120061100 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=CASCJQ010000012:2280969-2283467(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721609.1         -            920 2097at5820           -            830     2e-35  120.1   3.6   3   4   2.1e-10   9.9e-08   28.5   0.0   421   560   521   658   496   676 0.80 | transcript=PVPAM_110051300_t1 | gene=PVPAM_110051300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000011:1932145-1935382(+) | protein_length=920 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721609.1         -            920 2097at5820           -            830     2e-35  120.1   3.6   4   4   6.1e-05     0.028   10.5   0.0   662   781   780   896   750   909 0.75 | transcript=PVPAM_110051300_t1 | gene=PVPAM_110051300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000011:1932145-1935382(+) | protein_length=920 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723669.1         -            775 2097at5820           -            830   2.1e-35  120.1   4.9   1   3   1.2e-21   5.7e-19   65.7   0.3    18   159    40   181    35   197 0.86 | transcript=PVPAM_140059300_t1 | gene=PVPAM_140059300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000014:2342075-2344402(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723669.1         -            775 2097at5820           -            830   2.1e-35  120.1   4.9   2   3   1.8e-13   8.1e-11   38.8   0.3   427   591   440   602   423   620 0.81 | transcript=PVPAM_140059300_t1 | gene=PVPAM_140059300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000014:2342075-2344402(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723669.1         -            775 2097at5820           -            830   2.1e-35  120.1   4.9   3   3   1.5e-06   0.00067   15.9   0.0   707   786   680   757   620   771 0.83 | transcript=PVPAM_140059300_t1 | gene=PVPAM_140059300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000014:2342075-2344402(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 2097at5820           -            830     1e-23   81.4   5.1   1   3   1.7e-19   7.7e-17   58.7   0.0    18   212    24   208    15   218 0.84 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 2097at5820           -            830     1e-23   81.4   5.1   2   3   4.1e-07   0.00019   17.7   0.9   477   558   650   730   640   750 0.78 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 2097at5820           -            830     1e-23   81.4   5.1   3   3    0.0025       1.2    5.2   0.2   695   786   999  1094   913  1099 0.78 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723402.1         -            771 2097at5820           -            830   2.4e-20   70.3   0.1   1   2   8.8e-22     4e-19   66.2   0.1    12   172   103   252    93   260 0.84 | transcript=PVPAM_140032400_t1 | gene=PVPAM_140032400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=CASCJQ010000014:1182290-1184605(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723402.1         -            771 2097at5820           -            830   2.4e-20   70.3   0.1   2   2      0.03        14    1.6   0.0   710   780   560   629   528   651 0.80 | transcript=PVPAM_140032400_t1 | gene=PVPAM_140032400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=CASCJQ010000014:1182290-1184605(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719557.1         -            910 2097at5820           -            830   3.7e-20   69.6   0.2   1   2   1.4e-20   6.6e-18   62.2   0.1    17   171   189   333   185   357 0.89 | transcript=PVPAM_070017100_t1 | gene=PVPAM_070017100 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000007:614121-616853(+) | protein_length=910 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719557.1         -            910 2097at5820           -            830   3.7e-20   69.6   0.2   2   2    0.0023       1.1    5.3   0.0   466   558   516   612   490   619 0.78 | transcript=PVPAM_070017100_t1 | gene=PVPAM_070017100 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000007:614121-616853(+) | protein_length=910 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722048.1         -            456 2097at5820           -            830   1.2e-10   38.2   0.2   1   2   1.6e-12   7.4e-10   35.6   0.1    13   155    66   200    61   226 0.77 | transcript=PVPAM_120028600_t1 | gene=PVPAM_120028600 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:912230-913600(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722048.1         -            456 2097at5820           -            830   1.2e-10   38.2   0.2   2   2      0.08        37    0.2   0.0   365   409   271   314   256   338 0.84 | transcript=PVPAM_120028600_t1 | gene=PVPAM_120028600 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:912230-913600(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723907.1         -            409 2097at5820           -            830   5.8e-08   29.3   0.3   1   1   1.9e-10   8.7e-08   28.7   0.3    14   154     7   139     2   175 0.78 | transcript=PVPAM_API0007200_t1 | gene=PVPAM_API0007200 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000015:9513-10742(+) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721286.1         -            443 2097at5820           -            830   1.9e-05   21.0   0.1   1   1   6.2e-08   2.9e-05   20.4   0.1    13   156     1   158     1   203 0.62 | transcript=PVPAM_110018800_t1 | gene=PVPAM_110018800 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:582675-584006(-) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721287.1         -            443 2097at5820           -            830   1.9e-05   21.0   0.1   1   1   6.2e-08   2.9e-05   20.4   0.1    13   156     1   158     1   203 0.62 | transcript=PVPAM_110018900_t1 | gene=PVPAM_110018900 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:585419-586750(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720970.1         -           1376 2097at5820           -            830    0.0012   15.0   1.0   1   1   7.8e-06    0.0036   13.5   1.0    87   167   813   893   761   924 0.88 | transcript=PVPAM_100023800_t1 | gene=PVPAM_100023800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2 | transcript_product=translation initiation factor IF-2 | location=CASCJQ010000010:834489-838619(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 2097at5820           -            830      0.11    8.5   0.9   1   1   0.00047      0.22    7.6   0.6    91   154   120   183    57   192 0.78 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2097at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2097at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2097at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:01 2026
# [ok]
