#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722784.1         -            417 7633at5820           -            353  3.1e-204  676.4  12.3   1   2   1.7e-09   2.8e-06   25.2   0.0     1    26    11    36    11    44 0.93 | transcript=PVPAM_130028500_t1 | gene=PVPAM_130028500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000013:1048311-1049564(-) | protein_length=417 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722791.1         -            499 7633at5820           -            353    0.0023   15.7   7.6   4   4   1.9e-05      0.03   11.9   0.1    89   143   334   390   326   457 0.88 | transcript=PVPAM_130029200_t1 | gene=PVPAM_130029200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=CASCJQ010000013:1083619-1085118(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7633at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7633at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7633at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:23 2026
# [ok]
