#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723825.1         -            424 6938at5820           -            387    1e-270  895.4   7.3   1   1  4.5e-273  1.3e-270  895.1   7.3     6   387    36   424    33   424 0.99 | transcript=PVPAM_140074800_t1 | gene=PVPAM_140074800 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=CASCJQ010000014:2935721-2936995(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 6938at5820           -            387   1.2e-64  217.1   8.1   2   4   4.4e-14   1.2e-11   42.6   1.6   220   360   493   628   471   647 0.83 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 6938at5820           -            387   1.2e-64  217.1   8.1   3   4   2.3e-46   6.4e-44  148.8   0.0   125   318   762   955   746   965 0.90 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 6938at5820           -            387   1.2e-64  217.1   8.1   4   4     0.018       5.1    4.3   0.1   330   356  1094  1120  1088  1130 0.83 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723415.1         -           1070 6938at5820           -            387   4.7e-55  185.5   0.2   1   2   5.6e-06    0.0016   15.9   0.0   140   315   219   382   210   390 0.69 | transcript=PVPAM_140033700_t1 | gene=PVPAM_140033700 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000014:1228250-1231462(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723415.1         -           1070 6938at5820           -            387   4.7e-55  185.5   0.2   2   2   9.7e-52   2.7e-49  166.5   0.1   121   358   563   799   541   814 0.93 | transcript=PVPAM_140033700_t1 | gene=PVPAM_140033700 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000014:1228250-1231462(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723739.1         -            896 6938at5820           -            387   6.7e-55  185.0   0.0   1   1   3.9e-57   1.1e-54  184.3   0.0   130   368   160   401   153   414 0.93 | transcript=PVPAM_140066300_t1 | gene=PVPAM_140066300 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=CASCJQ010000014:2628494-2631184(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720479.1         -            950 6938at5820           -            387   4.3e-54  182.3   0.1   1   1   3.1e-56   8.6e-54  181.3   0.1   121   372   392   651   362   656 0.87 | transcript=PVPAM_090024400_t1 | gene=PVPAM_090024400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000009:885031-887883(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722234.1         -            702 6938at5820           -            387   1.5e-51  173.9   0.7   1   1   9.7e-54   2.7e-51  173.1   0.7   122   372   242   488   232   505 0.93 | transcript=PVPAM_120047100_t1 | gene=PVPAM_120047100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000012:1695818-1697926(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720273.1         -            785 6938at5820           -            387   6.8e-45  152.0   0.3   1   2     9e-42   2.5e-39  133.7   0.2   133   355   256   492   239   520 0.82 | transcript=PVPAM_080049600_t1 | gene=PVPAM_080049600 | organism=Plasmodium_vivax_PAM | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=CASCJQ010000008:1926957-1929314(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720273.1         -            785 6938at5820           -            387   6.8e-45  152.0   0.3   2   2   5.1e-06    0.0014   16.0   0.0   167   282   572   687   545   709 0.78 | transcript=PVPAM_080049600_t1 | gene=PVPAM_080049600 | organism=Plasmodium_vivax_PAM | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=CASCJQ010000008:1926957-1929314(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722309.1         -            442 6938at5820           -            387   3.6e-37  126.6   0.0   1   1   2.6e-39   7.3e-37  125.6   0.0   128   311   115   294    99   298 0.90 | transcript=PVPAM_120054600_t1 | gene=PVPAM_120054600 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=CASCJQ010000012:1997081-1998409(+) | protein_length=442 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718122.1         -            700 6938at5820           -            387   2.4e-35  120.6   0.1   1   1   1.3e-37   3.7e-35  120.0   0.1   134   350   427   644   408   652 0.87 | transcript=PVPAM_030011800_t1 | gene=PVPAM_030011800 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000003:322999-325101(-) | protein_length=700 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717786.1         -           1171 6938at5820           -            387   6.7e-22   76.4   0.0   1   2   1.2e-19   3.3e-17   60.9   0.0   154   263   584   699   561   713 0.76 | transcript=PVPAM_010030000_t1 | gene=PVPAM_010030000 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1117779-1121294(-) | protein_length=1171 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717786.1         -           1171 6938at5820           -            387   6.7e-22   76.4   0.0   2   2   3.9e-05     0.011   13.1   0.0   258   310   778   830   768   839 0.83 | transcript=PVPAM_010030000_t1 | gene=PVPAM_010030000 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1117779-1121294(-) | protein_length=1171 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717691.1         -            665 6938at5820           -            387   1.6e-11   42.2   0.0   1   1   5.8e-14   1.6e-11   42.2   0.0   166   312   344   489   329   510 0.84 | transcript=PVPAM_010020500_t1 | gene=PVPAM_010020500 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:739478-741475(+) | protein_length=665 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717764.1         -           1000 6938at5820           -            387   4.3e-11   40.8   0.0   1   1   2.5e-13   6.9e-11   40.1   0.0   165   262   758   858   753   899 0.86 | transcript=PVPAM_010027800_t1 | gene=PVPAM_010027800 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1005291-1008466(+) | protein_length=1000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720679.1         -            627 6938at5820           -            387   1.3e-10   39.2   0.0   1   1   7.7e-13   2.2e-10   38.5   0.0   164   311   344   508   321   521 0.78 | transcript=PVPAM_090044400_t1 | gene=PVPAM_090044400 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000009:1776366-1779201(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721601.1         -            483 6938at5820           -            387     4e-10   37.6   0.0   1   2   0.00027     0.076   10.3   0.0   159   195   248   284   231   299 0.82 | transcript=PVPAM_110050500_t1 | gene=PVPAM_110050500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=CASCJQ010000011:1906067-1907518(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721601.1         -            483 6938at5820           -            387     4e-10   37.6   0.0   2   2   9.7e-09   2.7e-06   25.0   0.0   256   302   368   414   360   428 0.92 | transcript=PVPAM_110050500_t1 | gene=PVPAM_110050500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=CASCJQ010000011:1906067-1907518(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722254.1         -            742 6938at5820           -            387   1.4e-06   25.9   0.4   1   3       6.9   1.9e+03   -4.2   0.2    71   107   184   221   171   227 0.66 | transcript=PVPAM_120049100_t1 | gene=PVPAM_120049100 | organism=Plasmodium_vivax_PAM | gene_product=AAA ATPase, putative | transcript_product=AAA ATPase, putative | location=CASCJQ010000012:1785516-1787744(+) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722254.1         -            742 6938at5820           -            387   1.4e-06   25.9   0.4   2   3     0.077        22    2.3   0.0   162   202   520   560   514   564 0.89 | transcript=PVPAM_120049100_t1 | gene=PVPAM_120049100 | organism=Plasmodium_vivax_PAM | gene_product=AAA ATPase, putative | transcript_product=AAA ATPase, putative | location=CASCJQ010000012:1785516-1787744(+) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722254.1         -            742 6938at5820           -            387   1.4e-06   25.9   0.4   3   3   1.7e-07   4.7e-05   20.9   0.0   193   238   631   676   621   717 0.84 | transcript=PVPAM_120049100_t1 | gene=PVPAM_120049100 | organism=Plasmodium_vivax_PAM | gene_product=AAA ATPase, putative | transcript_product=AAA ATPase, putative | location=CASCJQ010000012:1785516-1787744(+) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717882.1         -           1111 6938at5820           -            387    0.0036   14.7   1.0   1   2      0.71     2e+02   -0.9   1.0    18    36    40    58    30    68 0.78 | transcript=PVPAM_020011400_t1 | gene=PVPAM_020011400 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000002:309794-313129(+) | protein_length=1111 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717882.1         -           1111 6938at5820           -            387    0.0036   14.7   1.0   2   2   5.3e-05     0.015   12.7   0.0   168   240   326   397   312   416 0.77 | transcript=PVPAM_020011400_t1 | gene=PVPAM_020011400 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000002:309794-313129(+) | protein_length=1111 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6938at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6938at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6938at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:15 2026
# [ok]
