#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721566.1         -            747 4978at5820           -            500  1.9e-291  965.7  33.8   1   3   1.7e-17   9.3e-15   53.0   1.8     1    44     1    44     1    50 0.94 | transcript=PVPAM_110047100_t1 | gene=PVPAM_110047100 | organism=Plasmodium_vivax_PAM | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=CASCJQ010000011:1758675-1761668(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 4978at5820           -            500   1.9e-05   22.3   4.2   3   4    0.0071       3.8    4.8   0.3   418   483   189   254   174   267 0.67 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 4978at5820           -            500   1.9e-05   22.3   4.2   4   4    0.0011      0.62    7.4   0.0   283   342   429   487   388   552 0.63 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719151.1         -            962 4978at5820           -            500   0.00011   19.8   0.1   1   1     3e-07   0.00016   19.2   0.1   399   445   393   439   363   462 0.78 | transcript=PVPAM_060015800_t1 | gene=PVPAM_060015800 | organism=Plasmodium_vivax_PAM | gene_product=tRNA methyltransferase, putative | transcript_product=tRNA methyltransferase, putative | location=CASCJQ010000006:457630-460518(-) | protein_length=962 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719963.1         -            250 4978at5820           -            500   0.00024   18.6   0.0   1   2    0.0064       3.4    4.9   0.0   422   492    23    93     7    98 0.89 | transcript=PVPAM_080018600_t1 | gene=PVPAM_080018600 | organism=Plasmodium_vivax_PAM | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=CASCJQ010000008:638144-639816(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719963.1         -            250 4978at5820           -            500   0.00024   18.6   0.0   2   2   5.1e-05     0.028   11.8   0.1   415   497   167   249   138   250 0.87 | transcript=PVPAM_080018600_t1 | gene=PVPAM_080018600 | organism=Plasmodium_vivax_PAM | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=CASCJQ010000008:638144-639816(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719920.1         -            322 4978at5820           -            500   0.00043   17.8   0.2   1   2   7.9e-07   0.00043   17.8   0.2   420   496    90   167    81   170 0.89 | transcript=PVPAM_080014300_t1 | gene=PVPAM_080014300 | organism=Plasmodium_vivax_PAM | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=CASCJQ010000008:471177-474279(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719920.1         -            322 4978at5820           -            500   0.00043   17.8   0.2   2   2       3.2   1.7e+03   -4.0   1.7   386   420   261   295   245   304 0.57 | transcript=PVPAM_080014300_t1 | gene=PVPAM_080014300 | organism=Plasmodium_vivax_PAM | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=CASCJQ010000008:471177-474279(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 4978at5820           -            500    0.0049   14.3   0.1   1   2   3.5e-05     0.019   12.4   0.1   422   486   120   185   110   198 0.89 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 4978at5820           -            500    0.0049   14.3   0.1   2   2      0.35   1.9e+02   -0.8   0.0   421   492   203   273   197   280 0.79 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723587.1         -            110 4978at5820           -            500     0.012   13.1   0.0   1   1   2.4e-05     0.013   13.0   0.0   154   487    11    79     2    95 0.57 | transcript=PVPAM_140051100_t1 | gene=PVPAM_140051100 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=CASCJQ010000014:1989748-1990335(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723072.1         -            107 4978at5820           -            500     0.012   13.0   0.0   1   1   2.5e-05     0.014   12.8   0.0   422   494    25    98    13   104 0.84 | transcript=PVPAM_130057800_t1 | gene=PVPAM_130057800 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=CASCJQ010000013:2343283-2343975(-) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 4978at5820           -            500     0.017   12.5   0.0   1   2     0.013       6.9    3.9   0.0   421   455     8    42     2    87 0.83 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 4978at5820           -            500     0.017   12.5   0.0   2   2     0.002       1.1    6.6   0.0   418   496   153   231   140   234 0.87 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4978at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4978at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4978at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:53 2026
# [ok]
