#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720879.1         -           1619 1487at5820           -            996         0 1431.3  89.5   1   9   3.9e-45     5e-42  142.6   4.9     1    96    24   130    24   135 0.93 | transcript=PVPAM_100014700_t1 | gene=PVPAM_100014700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:417201-422060(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 1487at5820           -            996   1.5e-07   28.4   6.4   3   3     0.021        27    1.1   0.0   180   273   203   307   189   324 0.44 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 1487at5820           -            996   3.7e-05   20.5   7.9   1   4   0.00039       0.5    6.9   0.0   155   275    98   220    79   229 0.81 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 1487at5820           -            996   3.7e-05   20.5   7.9   2   4     0.046        60   -0.0   0.6   214   299   360   453   332   476 0.62 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 1487at5820           -            996   3.7e-05   20.5   7.9   3   4   2.8e-06    0.0036   14.0   0.2   175   253   489   566   483   576 0.86 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 1487at5820           -            996   3.7e-05   20.5   7.9   4   4     0.026        33    0.8   0.0   174   209   624   659   612   660 0.86 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721130.1         -            944 1487at5820           -            996    0.0024   14.5  11.2   1   3   2.4e-06    0.0031   14.2   1.0   143   227   171   252   166   294 0.82 | transcript=PVPAM_100039800_t1 | gene=PVPAM_100039800 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=CASCJQ010000010:1475165-1477999(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721130.1         -            944 1487at5820           -            996    0.0024   14.5  11.2   2   3   0.00032      0.41    7.2   0.2   892   947   285   341   266   359 0.56 | transcript=PVPAM_100039800_t1 | gene=PVPAM_100039800 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=CASCJQ010000010:1475165-1477999(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721130.1         -            944 1487at5820           -            996    0.0024   14.5  11.2   3   3      0.24   3.1e+02   -2.4   0.7   635   690   803   857   771   894 0.67 | transcript=PVPAM_100039800_t1 | gene=PVPAM_100039800 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=CASCJQ010000010:1475165-1477999(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 1487at5820           -            996     0.017   11.7   3.9   1   3   8.6e-05      0.11    9.0   1.6   153   290    44   188    26   196 0.58 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 1487at5820           -            996     0.017   11.7   3.9   2   3     0.013        16    1.9   0.1   929   949   172   192   161   206 0.86 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 1487at5820           -            996     0.017   11.7   3.9   3   3     0.032        42    0.5   0.0   269   955   249   279   228   321 0.57 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1487at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1487at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1487at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:35 2026
# [ok]
