#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720049.1         -           2415 682at5820            -           1021  6.5e-252  837.3 204.2   1  15         1   6.5e+03  -10.3  16.0   438   865    53   185    16   282 0.48 | transcript=PVPAM_080027100_t1 | gene=PVPAM_080027100 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=CASCJQ010000008:1019952-1027199(-) | protein_length=2415 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720049.1         -           2415 682at5820            -           1021  6.5e-252  837.3 204.2  12  15     0.018   1.2e+02   -1.2   6.8   400   480  1752  1835  1739  1848 0.55 | transcript=PVPAM_080027100_t1 | gene=PVPAM_080027100 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=CASCJQ010000008:1019952-1027199(-) | protein_length=2415 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720049.1         -           2415 682at5820            -           1021  6.5e-252  837.3 204.2  13  15    0.0016        11    2.3   0.0   739   765  1937  1963  1915  1990 0.67 | transcript=PVPAM_080027100_t1 | gene=PVPAM_080027100 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=CASCJQ010000008:1019952-1027199(-) | protein_length=2415 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720049.1         -           2415 682at5820            -           1021  6.5e-252  837.3 204.2  14  15   8.2e-24   5.3e-20   69.5  15.9   772   908  2007  2211  2002  2218 0.76 | transcript=PVPAM_080027100_t1 | gene=PVPAM_080027100 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=CASCJQ010000008:1019952-1027199(-) | protein_length=2415 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720049.1         -           2415 682at5820            -           1021  6.5e-252  837.3 204.2  15  15   3.3e-66   2.1e-62  209.9   4.5   906  1021  2293  2410  2276  2410 0.93 | transcript=PVPAM_080027100_t1 | gene=PVPAM_080027100 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=CASCJQ010000008:1019952-1027199(-) | protein_length=2415 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/682at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/682at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/682at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:45 2026
# [ok]
