#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718904.1         -            236 12453at5820          -            188    1e-110  366.2  13.1   1   1    7e-112  3.5e-109  361.2  13.1     1   188     1   218     1   218 0.94 | transcript=PVPAM_050029600_t1 | gene=PVPAM_050029600 | organism=Plasmodium_vivax_PAM | gene_product=nuclear cap-binding protein subunit 2, putative | transcript_product=nuclear cap-binding protein subunit 2, putative | location=CASCJQ010000005:1023050-1023894(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720552.1         -           1054 12453at5820          -            188   2.9e-05   22.4   0.0   1   2   5.8e-08   2.9e-05   22.4   0.0    36   107     8    79     2    87 0.94 | transcript=PVPAM_090031800_t1 | gene=PVPAM_090031800 | organism=Plasmodium_vivax_PAM | gene_product=alternative splicing factor SR-MG, putative | transcript_product=alternative splicing factor SR-MG, putative | location=CASCJQ010000009:1220788-1223952(+) | protein_length=1054 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720552.1         -           1054 12453at5820          -            188   2.9e-05   22.4   0.0   2   2      0.89   4.4e+02   -1.0   0.3   139   168   466   493   464   501 0.72 | transcript=PVPAM_090031800_t1 | gene=PVPAM_090031800 | organism=Plasmodium_vivax_PAM | gene_product=alternative splicing factor SR-MG, putative | transcript_product=alternative splicing factor SR-MG, putative | location=CASCJQ010000009:1220788-1223952(+) | protein_length=1054 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719779.1         -            721 12453at5820          -            188   3.4e-05   22.2   0.2   1   2   3.4e-07   0.00017   19.9   0.0    35   107     8    80     2    87 0.94 | transcript=PVPAM_070039300_t1 | gene=PVPAM_070039300 | organism=Plasmodium_vivax_PAM | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=CASCJQ010000007:1427879-1430044(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719779.1         -            721 12453at5820          -            188   3.4e-05   22.2   0.2   2   2      0.77   3.8e+02   -0.8   0.0    51   138   209   300   175   317 0.66 | transcript=PVPAM_070039300_t1 | gene=PVPAM_070039300 | organism=Plasmodium_vivax_PAM | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=CASCJQ010000007:1427879-1430044(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 12453at5820          -            188     4e-05   21.9   1.3   1   2   1.7e-05    0.0084   14.4   0.1    33   107    19    93    12    98 0.92 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 12453at5820          -            188     4e-05   21.9   1.3   2   2    0.0014      0.72    8.1   0.1    14   103    86   175    79   183 0.80 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 12453at5820          -            188   5.2e-05   21.6   0.9   1   2    0.0015      0.73    8.0   0.0    28    85   112   169   101   193 0.83 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 12453at5820          -            188   5.2e-05   21.6   0.9   2   2   0.00014     0.068   11.4   0.2    33   102   201   269   189   295 0.88 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718881.1         -            269 12453at5820          -            188   0.00012   20.4   0.0   1   2      0.63   3.1e+02   -0.5   3.8   129   179    23    76    16    87 0.67 | transcript=PVPAM_050027300_t1 | gene=PVPAM_050027300 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=CASCJQ010000005:938613-940758(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718881.1         -            269 12453at5820          -            188   0.00012   20.4   0.0   2   2   2.4e-07   0.00012   20.4   0.0    33    98   187   252   176   263 0.90 | transcript=PVPAM_050027300_t1 | gene=PVPAM_050027300 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=CASCJQ010000005:938613-940758(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 12453at5820          -            188    0.0015   16.8   0.0   1   2   7.9e-05      0.04   12.2   0.0    33    96     6    68     2    76 0.89 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 12453at5820          -            188    0.0015   16.8   0.0   2   2     0.082        41    2.4   0.0    36   107   157   227   154   233 0.78 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 12453at5820          -            188     0.005   15.1   0.0   1   2   0.00026      0.13   10.5   0.0    36    97   189   250   179   263 0.88 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 12453at5820          -            188     0.005   15.1   0.0   2   2      0.13        65    1.7   0.0    74    99   412   437   390   464 0.79 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721566.1         -            747 12453at5820          -            188     0.034   12.4   4.8   1   2     0.057        28    2.9   0.4    27   102   394   469   385   479 0.70 | transcript=PVPAM_110047100_t1 | gene=PVPAM_110047100 | organism=Plasmodium_vivax_PAM | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=CASCJQ010000011:1758675-1761668(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721566.1         -            747 12453at5820          -            188     0.034   12.4   4.8   2   2   0.00021       0.1   10.8   0.5    14   108   647   741   635   744 0.83 | transcript=PVPAM_110047100_t1 | gene=PVPAM_110047100 | organism=Plasmodium_vivax_PAM | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=CASCJQ010000011:1758675-1761668(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12453at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12453at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12453at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:55 2026
# [ok]
