#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720218.1         -            498 5643at5820           -            472  1.3e-282  936.1   9.3   1   1  6.3e-285  1.7e-282  935.6   9.3     1   472     1   497     1   497 0.96 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 5643at5820           -            472   6.9e-16   56.6   4.7   2   3      0.79   2.1e+02   -1.1   9.7   107   157   194   245   172   301 0.76 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 5643at5820           -            472   6.9e-16   56.6   4.7   3   3   2.6e-18   6.9e-16   56.6   4.7   207   433   364   599   351   607 0.84 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 5643at5820           -            472   1.1e-13   49.3  11.8   1   3   2.7e-10   7.4e-08   30.1   0.6   213   316    65   165     6   182 0.88 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 5643at5820           -            472   1.1e-13   49.3  11.8   2   3     1e-07   2.8e-05   21.6   0.2   237   356   243   362   228   370 0.78 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 5643at5820           -            472   1.1e-13   49.3  11.8   3   3     0.059        16    2.6   1.0   280   390   539   648   510   680 0.77 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 5643at5820           -            472   2.2e-12   45.0   1.3   1   3      0.81   2.2e+02   -1.2   0.1    94   159   143   211    99   242 0.74 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 5643at5820           -            472   2.2e-12   45.0   1.3   2   3     0.035       9.4    3.4   0.8   335   400   251   323   241   330 0.70 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 5643at5820           -            472   2.2e-12   45.0   1.3   3   3     8e-15   2.2e-12   45.0   1.3   232   397   422   591   419   611 0.84 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721426.1         -            533 5643at5820           -            472   2.5e-12   44.8  10.8   1   2   2.6e-07   6.9e-05   20.3   2.1   240   327   186   272   178   279 0.82 | transcript=PVPAM_110033200_t1 | gene=PVPAM_110033200 | organism=Plasmodium_vivax_PAM | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=CASCJQ010000011:1203603-1205204(-) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721426.1         -            533 5643at5820           -            472   2.5e-12   44.8  10.8   2   2   3.4e-10   9.2e-08   29.8   1.4   269   400   279   421   275   438 0.78 | transcript=PVPAM_110033200_t1 | gene=PVPAM_110033200 | organism=Plasmodium_vivax_PAM | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=CASCJQ010000011:1203603-1205204(-) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723540.1         -            612 5643at5820           -            472   4.9e-10   37.2  20.8   1   3       7.9   2.1e+03   -4.4   0.8   148   208   229   289   200   293 0.60 | transcript=PVPAM_140046400_t1 | gene=PVPAM_140046400 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=CASCJQ010000014:1745350-1747188(+) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723540.1         -            612 5643at5820           -            472   4.9e-10   37.2  20.8   2   3   3.5e-05    0.0095   13.2   0.5   360   427   318   394   313   402 0.81 | transcript=PVPAM_140046400_t1 | gene=PVPAM_140046400 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=CASCJQ010000014:1745350-1747188(+) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723540.1         -            612 5643at5820           -            472   4.9e-10   37.2  20.8   3   3   1.6e-11   4.4e-09   34.1   6.6   206   394   416   612   403   612 0.79 | transcript=PVPAM_140046400_t1 | gene=PVPAM_140046400 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=CASCJQ010000014:1745350-1747188(+) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722407.1         -           1228 5643at5820           -            472   3.2e-09   34.6  23.0   1   4   5.5e-10   1.5e-07   29.1   0.1   308   400    41   143    21   153 0.78 | transcript=PVPAM_120064300_t1 | gene=PVPAM_120064300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=CASCJQ010000012:2421970-2425805(+) | protein_length=1228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722407.1         -           1228 5643at5820           -            472   3.2e-09   34.6  23.0   2   4    0.0022      0.61    7.3   0.1   377   404   176   203   154   237 0.83 | transcript=PVPAM_120064300_t1 | gene=PVPAM_120064300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=CASCJQ010000012:2421970-2425805(+) | protein_length=1228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722407.1         -           1228 5643at5820           -            472   3.2e-09   34.6  23.0   3   4     0.034       9.1    3.4   0.2   279   370   610   699   591   728 0.44 | transcript=PVPAM_120064300_t1 | gene=PVPAM_120064300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=CASCJQ010000012:2421970-2425805(+) | protein_length=1228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722407.1         -           1228 5643at5820           -            472   3.2e-09   34.6  23.0   4   4   0.00047      0.13    9.5   0.9   357   472   856   979   828   979 0.52 | transcript=PVPAM_120064300_t1 | gene=PVPAM_120064300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=CASCJQ010000012:2421970-2425805(+) | protein_length=1228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 5643at5820           -            472   2.8e-08   31.4   2.2   1   2     3e-09   8.1e-07   26.6   0.4   309   399   195   292   171   301 0.78 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 5643at5820           -            472   2.8e-08   31.4   2.2   2   2     0.017       4.5    4.4   0.1   209   269   321   387   304   421 0.73 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717788.1         -            365 5643at5820           -            472     2e-06   25.3   8.8   1   2     6e-05     0.016   12.5   0.2   364   398    12    49     3    60 0.59 | transcript=PVPAM_010030200_t1 | gene=PVPAM_010030200 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=CASCJQ010000001:1127417-1129495(-) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717788.1         -            365 5643at5820           -            472     2e-06   25.3   8.8   2   2   8.3e-06    0.0022   15.3   4.2   212   401    73   265    57   277 0.78 | transcript=PVPAM_010030200_t1 | gene=PVPAM_010030200 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=CASCJQ010000001:1127417-1129495(-) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 5643at5820           -            472   2.4e-06   25.1  16.8   1   3         5   1.3e+03   -3.8   0.0    76   107   326   356   313   370 0.64 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 5643at5820           -            472   2.4e-06   25.1  16.8   2   3   0.00015     0.039   11.2   0.2   365   394   891   923   875   929 0.82 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 5643at5820           -            472   2.4e-06   25.1  16.8   3   3   2.4e-06   0.00064   17.1   9.8   237   472   934  1185   928  1185 0.72 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723646.1         -            763 5643at5820           -            472   6.9e-06   23.6   6.9   1   2     0.023       6.1    4.0   1.2   222   298    37   116    28   169 0.63 | transcript=PVPAM_140057000_t1 | gene=PVPAM_140057000 | organism=Plasmodium_vivax_PAM | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=CASCJQ010000014:2238026-2240317(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723646.1         -            763 5643at5820           -            472   6.9e-06   23.6   6.9   2   2   5.5e-07   0.00015   19.2   0.1   247   354   188   306   185   311 0.73 | transcript=PVPAM_140057000_t1 | gene=PVPAM_140057000 | organism=Plasmodium_vivax_PAM | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=CASCJQ010000014:2238026-2240317(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 5643at5820           -            472   9.9e-06   23.1   3.5   1   2   0.00015      0.04   11.2   0.1   357   400   276   323   267   332 0.77 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 5643at5820           -            472   9.9e-06   23.1   3.5   2   2     2e-07   5.5e-05   20.6   0.9   342   406   304   372   298   434 0.84 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721130.1         -            944 5643at5820           -            472   1.2e-05   22.7   6.7   1   3   0.00056      0.15    9.3   0.0   364   397   204   237   156   254 0.84 | transcript=PVPAM_100039800_t1 | gene=PVPAM_100039800 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=CASCJQ010000010:1475165-1477999(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721130.1         -            944 5643at5820           -            472   1.2e-05   22.7   6.7   2   3   6.6e-06    0.0018   15.6   0.4   342   396   280   339   270   370 0.80 | transcript=PVPAM_100039800_t1 | gene=PVPAM_100039800 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=CASCJQ010000010:1475165-1477999(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721130.1         -            944 5643at5820           -            472   1.2e-05   22.7   6.7   3   3       1.2   3.3e+02   -1.7   0.2   214   292   795   876   780   898 0.66 | transcript=PVPAM_100039800_t1 | gene=PVPAM_100039800 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit A, putative | transcript_product=chromatin assembly factor 1 subunit A, putative | location=CASCJQ010000010:1475165-1477999(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 5643at5820           -            472   1.4e-05   22.6   1.1   1   2   2.3e-06   0.00061   17.1   0.3   283   398   339   457   324   463 0.75 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 5643at5820           -            472   1.4e-05   22.6   1.1   2   2     0.024       6.4    3.9   0.0   282   394   463   583   457   587 0.81 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 5643at5820           -            472   2.2e-05   21.9   5.1   1   5       4.6   1.3e+03   -3.7   0.0   413   433    25    45    18    71 0.52 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 5643at5820           -            472   2.2e-05   21.9   5.1   2   5      0.28        75    0.4   0.0   263   320   138   197   117   203 0.66 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 5643at5820           -            472   2.2e-05   21.9   5.1   3   5     6e-05     0.016   12.5   0.3   326   471   340   477   290   478 0.60 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 5643at5820           -            472   2.2e-05   21.9   5.1   4   5     0.013       3.5    4.7   0.0   348   396   547   601   523   659 0.75 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
