#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718239.1         -            267 11629at5820          -            188    1e-104  346.5   7.7   1   2   1.8e-52   2.3e-49  166.0   0.2     1    89    11    99    11   102 0.99 | transcript=PVPAM_030023900_t1 | gene=PVPAM_030023900 | organism=Plasmodium_vivax_PAM | gene_product=dynactin subunit 5, putative | transcript_product=dynactin subunit 5, putative | location=CASCJQ010000003:764532-765335(-) | protein_length=267 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723244.1         -            907 11629at5820          -            188   0.00098   17.3   4.4   3   3     0.032        41    2.2   0.1   115   150   377   412   355   422 0.73 | transcript=PVPAM_140016300_t1 | gene=PVPAM_140016300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:516657-519380(-) | protein_length=907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11629at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11629at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11629at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:42 2026
# [ok]
