#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723554.1         -            430 8306at5820           -            317  7.3e-162  536.6  13.9   1   2   3.6e-36   1.3e-33  115.2   0.3     1    82     8   100     8   112 0.88 | transcript=PVPAM_140047800_t1 | gene=PVPAM_140047800 | organism=Plasmodium_vivax_PAM | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=CASCJQ010000014:1818666-1819958(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 8306at5820           -            317   9.1e-08   30.3   3.0   4   4     0.068        24    2.6   0.0   196   254   255   317   227   321 0.74 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719156.1         -            725 8306at5820           -            317   1.3e-07   29.8   0.2   1   2     0.005       1.8    6.3   0.0   181   249   430   503   419   544 0.74 | transcript=PVPAM_060016300_t1 | gene=PVPAM_060016300 | organism=Plasmodium_vivax_PAM | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=CASCJQ010000006:475279-477456(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719156.1         -            725 8306at5820           -            317   1.3e-07   29.8   0.2   2   2   1.5e-07   5.4e-05   21.2   0.1   134   231   576   674   565   695 0.86 | transcript=PVPAM_060016300_t1 | gene=PVPAM_060016300 | organism=Plasmodium_vivax_PAM | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=CASCJQ010000006:475279-477456(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720871.1         -            329 8306at5820           -            317   3.7e-07   28.3   4.4   1   3   6.5e-06    0.0023   15.8   0.1   144   210    25    93     2   113 0.73 | transcript=PVPAM_100013900_t1 | gene=PVPAM_100013900 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 55, putative | transcript_product=WD repeat-containing protein 55, putative | location=CASCJQ010000010:395158-396147(+) | protein_length=329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720871.1         -            329 8306at5820           -            317   3.7e-07   28.3   4.4   2   3    0.0055         2    6.2   0.1   174   211    99   134    90   142 0.88 | transcript=PVPAM_100013900_t1 | gene=PVPAM_100013900 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 55, putative | transcript_product=WD repeat-containing protein 55, putative | location=CASCJQ010000010:395158-396147(+) | protein_length=329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720871.1         -            329 8306at5820           -            317   3.7e-07   28.3   4.4   3   3    0.0016      0.56    8.0   0.4    67   127   153   213   135   246 0.76 | transcript=PVPAM_100013900_t1 | gene=PVPAM_100013900 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 55, putative | transcript_product=WD repeat-containing protein 55, putative | location=CASCJQ010000010:395158-396147(+) | protein_length=329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721552.1         -            361 8306at5820           -            317   1.5e-05   23.0   0.1   1   1     7e-08   2.5e-05   22.3   0.1   179   252   191   263   178   302 0.84 | transcript=PVPAM_110045700_t1 | gene=PVPAM_110045700 | organism=Plasmodium_vivax_PAM | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=CASCJQ010000011:1691106-1693660(+) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721889.1         -            363 8306at5820           -            317   1.5e-05   23.0   3.0   1   3   5.5e-08     2e-05   22.6   1.2   149   256    30   144     3   152 0.78 | transcript=PVPAM_120012300_t1 | gene=PVPAM_120012300 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=CASCJQ010000012:302613-304872(+) | protein_length=363 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721889.1         -            363 8306at5820           -            317   1.5e-05   23.0   3.0   2   3       1.5   5.4e+02   -1.8   0.0   202   216   194   208   185   247 0.60 | transcript=PVPAM_120012300_t1 | gene=PVPAM_120012300 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=CASCJQ010000012:302613-304872(+) | protein_length=363 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721889.1         -            363 8306at5820           -            317   1.5e-05   23.0   3.0   3   3       3.6   1.3e+03   -3.0   0.0   292   312   279   299   272   303 0.78 | transcript=PVPAM_120012300_t1 | gene=PVPAM_120012300 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=CASCJQ010000012:302613-304872(+) | protein_length=363 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723605.1         -            638 8306at5820           -            317   1.9e-05   22.7  15.4   1   2   5.1e-07   0.00018   19.4  12.0   153   295   384   529   354   548 0.77 | transcript=PVPAM_140052900_t1 | gene=PVPAM_140052900 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=CASCJQ010000014:2061422-2063338(+) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723605.1         -            638 8306at5820           -            317   1.9e-05   22.7  15.4   2   2     0.019       6.8    4.4   0.2   193   219   556   582   521   586 0.79 | transcript=PVPAM_140052900_t1 | gene=PVPAM_140052900 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=CASCJQ010000014:2061422-2063338(+) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718469.1         -           1438 8306at5820           -            317   2.1e-05   22.6   4.2   1   3      0.65   2.3e+02   -0.6   0.0   169   210   135   176    92   184 0.81 | transcript=PVPAM_040021500_t1 | gene=PVPAM_040021500 | organism=Plasmodium_vivax_PAM | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=CASCJQ010000004:701655-706535(+) | protein_length=1438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718469.1         -           1438 8306at5820           -            317   2.1e-05   22.6   4.2   2   3     4e-05     0.014   13.2   0.8   158   221   168   235   119   243 0.65 | transcript=PVPAM_040021500_t1 | gene=PVPAM_040021500 | organism=Plasmodium_vivax_PAM | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=CASCJQ010000004:701655-706535(+) | protein_length=1438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718469.1         -           1438 8306at5820           -            317   2.1e-05   22.6   4.2   3   3   0.00048      0.17    9.7   0.2   180   248   239   310   231   336 0.84 | transcript=PVPAM_040021500_t1 | gene=PVPAM_040021500 | organism=Plasmodium_vivax_PAM | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=CASCJQ010000004:701655-706535(+) | protein_length=1438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717887.1         -            447 8306at5820           -            317   2.4e-05   22.3   6.3   1   3     0.088        31    2.2   0.1   158   210   129   184    73   192 0.81 | transcript=PVPAM_020011900_t1 | gene=PVPAM_020011900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=CASCJQ010000002:329433-330776(+) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717887.1         -            447 8306at5820           -            317   2.4e-05   22.3   6.3   2   3   0.00013     0.046   11.6   0.5   112   213   172   284   155   312 0.63 | transcript=PVPAM_020011900_t1 | gene=PVPAM_020011900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=CASCJQ010000002:329433-330776(+) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717887.1         -            447 8306at5820           -            317   2.4e-05   22.3   6.3   3   3   0.00032      0.12   10.2   0.3   197   254   312   369   295   408 0.79 | transcript=PVPAM_020011900_t1 | gene=PVPAM_020011900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=CASCJQ010000002:329433-330776(+) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 8306at5820           -            317     5e-05   21.3   2.2   1   2   6.9e-07   0.00025   19.0   0.3   123   251   331   451   307   462 0.86 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 8306at5820           -            317     5e-05   21.3   2.2   2   2      0.12        44    1.8   0.1   175   210   462   499   453   543 0.80 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 8306at5820           -            317   0.00011   20.2   1.7   1   2     3e-07   0.00011   20.2   1.7   134   213   212   291   190   296 0.58 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 8306at5820           -            317   0.00011   20.2   1.7   2   2     0.057        20    2.9   1.0   145   230   318   406   309   450 0.69 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723848.1         -            565 8306at5820           -            317   0.00012   20.0   0.9   1   3      0.02       7.1    4.4   0.0   179   212    73   106    67   116 0.82 | transcript=PVPAM_140077100_t1 | gene=PVPAM_140077100 | organism=Plasmodium_vivax_PAM | gene_product=coronin, putative | transcript_product=coronin, putative | location=CASCJQ010000014:3029062-3031161(+) | protein_length=565 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723848.1         -            565 8306at5820           -            317   0.00012   20.0   0.9   2   3    0.0001     0.036   11.9   0.3   177   219   122   164   109   186 0.86 | transcript=PVPAM_140077100_t1 | gene=PVPAM_140077100 | organism=Plasmodium_vivax_PAM | gene_product=coronin, putative | transcript_product=coronin, putative | location=CASCJQ010000014:3029062-3031161(+) | protein_length=565 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723848.1         -            565 8306at5820           -            317   0.00012   20.0   0.9   3   3      0.44   1.6e+02   -0.0   0.0   204   223   241   260   226   268 0.84 | transcript=PVPAM_140077100_t1 | gene=PVPAM_140077100 | organism=Plasmodium_vivax_PAM | gene_product=coronin, putative | transcript_product=coronin, putative | location=CASCJQ010000014:3029062-3031161(+) | protein_length=565 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720334.1         -            616 8306at5820           -            317    0.0037   15.2   4.4   1   2    0.0011      0.41    8.4   2.6   196   255   260   321   125   330 0.76 | transcript=PVPAM_090010000_t1 | gene=PVPAM_090010000 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000009:321772-323622(-) | protein_length=616 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720334.1         -            616 8306at5820           -            317    0.0037   15.2   4.4   2   2     0.029        10    3.8   0.0   177   211   578   609   563   613 0.81 | transcript=PVPAM_090010000_t1 | gene=PVPAM_090010000 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000009:321772-323622(-) | protein_length=616 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8306at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8306at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8306at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:40 2026
# [ok]
