#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722369.1         -            177 12402at5820          -            157  1.8e-105  347.9  12.4   1   1  4.7e-108    2e-105  347.7  12.4     1   157     8   164     8   164 1.00 | transcript=PVPAM_120060500_t1 | gene=PVPAM_120060500 | organism=Plasmodium_vivax_PAM | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=CASCJQ010000012:2253591-2255022(+) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720511.1         -           1622 12402at5820          -            157   3.5e-07   28.5   1.1   2   2   8.2e-10   3.5e-07   28.5   1.1    18   121  1478  1581  1466  1618 0.74 | transcript=PVPAM_090027600_t1 | gene=PVPAM_090027600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=CASCJQ010000009:1029730-1035568(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720345.1         -            167 12402at5820          -            157   9.4e-07   27.1   5.1   1   1   2.7e-09   1.2e-06   26.8   5.1    18   156    14   151     3   152 0.84 | transcript=PVPAM_090011000_t1 | gene=PVPAM_090011000 | organism=Plasmodium_vivax_PAM | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=CASCJQ010000009:364310-365085(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720376.1         -            344 12402at5820          -            157   1.1e-05   23.6  11.7   1   2    0.0013      0.55    8.4   0.5    95   154    67   121    43   124 0.75 | transcript=PVPAM_090014100_t1 | gene=PVPAM_090014100 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=CASCJQ010000009:503042-504076(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720376.1         -            344 12402at5820          -            157   1.1e-05   23.6  11.7   2   2   5.9e-07   0.00025   19.2   5.0    17   115   134   237   125   258 0.78 | transcript=PVPAM_090014100_t1 | gene=PVPAM_090014100 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=CASCJQ010000009:503042-504076(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 12402at5820          -            157   8.9e-05   20.7   8.6   1   2       2.3   9.9e+02   -2.2   0.1    17    45    96   124    92   141 0.80 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 12402at5820          -            157   8.9e-05   20.7   8.6   2   2   4.4e-07   0.00019   19.7   5.0    15   157   373   523   359   523 0.72 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720514.1         -           1958 12402at5820          -            157   0.00026   19.2   0.6   1   1   1.4e-06    0.0006   18.0   0.6    56   116    66   125     9   137 0.71 | transcript=PVPAM_090027900_t1 | gene=PVPAM_090027900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=CASCJQ010000009:1066933-1072968(+) | protein_length=1958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717888.1         -           1509 12402at5820          -            157    0.0016   16.6   0.3   1   2   1.6e-05    0.0067   14.6   0.1     7    96    17   107    12   120 0.78 | transcript=PVPAM_020012000_t1 | gene=PVPAM_020012000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000002:331549-337141(-) | protein_length=1509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717888.1         -           1509 12402at5820          -            157    0.0016   16.6   0.3   2   2       2.3     1e+03   -2.2   0.0   115   131  1153  1169  1142  1181 0.81 | transcript=PVPAM_020012000_t1 | gene=PVPAM_020012000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000002:331549-337141(-) | protein_length=1509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 12402at5820          -            157    0.0027   15.9   6.9   1   1   4.2e-05     0.018   13.2   6.9    21   156   377   516   358   517 0.69 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12402at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12402at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12402at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:44 2026
# [ok]
