#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722201.1         -           1682 1067at5820           -            869         0 1623.2 111.2   1   9  1.5e-169  4.9e-166  553.2  19.9     1   272     1   273     1   281 0.98 | transcript=PVPAM_120043900_t1 | gene=PVPAM_120043900 | organism=Plasmodium_vivax_PAM | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=CASCJQ010000012:1544330-1550224(-) | protein_length=1682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720426.1         -            372 1067at5820           -            869     0.011   12.8  17.2   3   3   1.3e-05     0.042   10.9   7.8   499   669   179   348   157   365 0.78 | transcript=PVPAM_090019100_t1 | gene=PVPAM_090019100 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000009:686780-689769(-) | protein_length=372 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1067at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1067at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1067at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:58 2026
# [ok]
