#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723327.1         -            341 8608at5820           -            286  3.7e-170  563.1   5.2   1   1  2.6e-172  4.4e-170  562.9   5.2     1   286    28   341    28   341 0.94 | transcript=PVPAM_140024600_t1 | gene=PVPAM_140024600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000014:854740-857658(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722343.1         -            861 8608at5820           -            286   5.6e-19   67.0   3.6   1   1   5.9e-21     1e-18   66.2   3.6     3   189   481   675   479   686 0.71 | transcript=PVPAM_120057900_t1 | gene=PVPAM_120057900 | organism=Plasmodium_vivax_PAM | gene_product=SNF1-related serine/threonine protein kinase KIN, putative | transcript_product=SNF1-related serine/threonine protein kinase KIN, putative | location=CASCJQ010000012:2138523-2141108(-) | protein_length=861 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 8608at5820           -            286   1.5e-16   59.0   5.4   1   1     3e-18     5e-16   57.3   5.4     2   199    70   276    69   286 0.78 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718195.1         -            310 8608at5820           -            286   1.1e-15   56.1   4.8   1   1   1.1e-17   1.9e-15   55.4   4.8     2   191     3   201     2   220 0.79 | transcript=PVPAM_030019500_t1 | gene=PVPAM_030019500 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=CASCJQ010000003:634173-636068(+) | protein_length=310 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720875.1         -            288 8608at5820           -            286     1e-14   53.0   1.8   1   2   7.9e-17   1.3e-14   52.6   1.2     3   194    12   212    10   229 0.79 | transcript=PVPAM_100014300_t1 | gene=PVPAM_100014300 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=CASCJQ010000010:406454-408600(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720875.1         -            288 8608at5820           -            286     1e-14   53.0   1.8   2   2       4.3   7.3e+02   -2.3   0.0   256   285   240   270   236   271 0.77 | transcript=PVPAM_100014300_t1 | gene=PVPAM_100014300 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=CASCJQ010000010:406454-408600(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723731.1         -            508 8608at5820           -            286   2.8e-12   45.0   1.2   1   2       4.9   8.3e+02   -2.5   0.1   161   207    35    84    31   108 0.51 | transcript=PVPAM_140065500_t1 | gene=PVPAM_140065500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 2, putative | transcript_product=protein kinase 2, putative | location=CASCJQ010000014:2591167-2592693(-) | protein_length=508 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723731.1         -            508 8608at5820           -            286   2.8e-12   45.0   1.2   2   2   1.6e-14   2.8e-12   45.0   1.2     3   205   111   317   109   328 0.77 | transcript=PVPAM_140065500_t1 | gene=PVPAM_140065500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 2, putative | transcript_product=protein kinase 2, putative | location=CASCJQ010000014:2591167-2592693(-) | protein_length=508 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723318.1         -            368 8608at5820           -            286   1.9e-11   42.3   3.5   1   1     2e-13   3.4e-11   41.5   3.5     3   204   108   317   106   361 0.70 | transcript=PVPAM_140023700_t1 | gene=PVPAM_140023700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase PK9, putative | transcript_product=serine/threonine protein kinase PK9, putative | location=CASCJQ010000014:822225-823331(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722902.1         -            284 8608at5820           -            286   2.4e-11   41.9  13.6   1   1   7.3e-13   1.2e-10   39.6  13.6     2   201    21   228    20   267 0.73 | transcript=PVPAM_130040400_t1 | gene=PVPAM_130040400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=CASCJQ010000013:1566035-1568262(-) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719798.1         -            341 8608at5820           -            286   2.8e-11   41.7   0.0   1   1   2.6e-13   4.4e-11   41.1   0.0     3   194    33   229    31   234 0.81 | transcript=PVPAM_070041200_t1 | gene=PVPAM_070041200 | organism=Plasmodium_vivax_PAM | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=CASCJQ010000007:1475268-1476949(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722783.1         -            854 8608at5820           -            286     5e-11   40.9   0.3   1   1   9.4e-13   1.6e-10   39.3   0.3     7   196   546   738   540   752 0.74 | transcript=PVPAM_130028400_t1 | gene=PVPAM_130028400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=CASCJQ010000013:1044052-1047856(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720131.1         -           1391 8608at5820           -            286     8e-11   40.3   7.6   1   2     0.011       1.8    6.3   0.0     2    24   797   819   796   940 0.81 | transcript=PVPAM_080035300_t1 | gene=PVPAM_080035300 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=CASCJQ010000008:1385632-1389807(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720131.1         -           1391 8608at5820           -            286     8e-11   40.3   7.6   2   2   2.9e-10   4.9e-08   31.1   4.5    87   276  1142  1359  1096  1370 0.63 | transcript=PVPAM_080035300_t1 | gene=PVPAM_080035300 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 4, putative | transcript_product=cdc2-related protein kinase 4, putative | location=CASCJQ010000008:1385632-1389807(+) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723621.1         -            996 8608at5820           -            286   2.3e-10   38.8   6.7   1   2   2.6e-07   4.4e-05   21.4   2.7     2   143    14   167    13   172 0.65 | transcript=PVPAM_140054500_t1 | gene=PVPAM_140054500 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 1, putative | transcript_product=NIMA related kinase 1, putative | location=CASCJQ010000014:2126362-2129525(+) | protein_length=996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723621.1         -            996 8608at5820           -            286   2.3e-10   38.8   6.7   2   2   1.6e-06   0.00026   18.9   0.1   137   189   182   238   176   258 0.76 | transcript=PVPAM_140054500_t1 | gene=PVPAM_140054500 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 1, putative | transcript_product=NIMA related kinase 1, putative | location=CASCJQ010000014:2126362-2129525(+) | protein_length=996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722432.1         -            889 8608at5820           -            286   1.4e-09   36.1   4.0   1   2   2.5e-08   4.2e-06   24.8   2.0     3   135   560   694   558   703 0.82 | transcript=PVPAM_120066900_t1 | gene=PVPAM_120066900 | organism=Plasmodium_vivax_PAM | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=CASCJQ010000012:2528585-2531254(+) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722432.1         -            889 8608at5820           -            286   1.4e-09   36.1   4.0   2   2   0.00045     0.076   10.8   0.0   153   189   742   777   722   794 0.81 | transcript=PVPAM_120066900_t1 | gene=PVPAM_120066900 | organism=Plasmodium_vivax_PAM | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=CASCJQ010000012:2528585-2531254(+) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721476.1         -            806 8608at5820           -            286     6e-09   34.1   7.9   1   3   0.00019     0.032   12.0   0.0    85   166   168   266   152   272 0.69 | transcript=PVPAM_110038100_t1 | gene=PVPAM_110038100 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=CASCJQ010000011:1389536-1391956(-) | protein_length=806 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721476.1         -            806 8608at5820           -            286     6e-09   34.1   7.9   2   3   1.1e-08   1.8e-06   26.0   0.1   170   285   479   594   474   595 0.72 | transcript=PVPAM_110038100_t1 | gene=PVPAM_110038100 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=CASCJQ010000011:1389536-1391956(-) | protein_length=806 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721476.1         -            806 8608at5820           -            286     6e-09   34.1   7.9   3   3       6.4   1.1e+03   -2.8   0.3    77   115   606   645   605   665 0.69 | transcript=PVPAM_110038100_t1 | gene=PVPAM_110038100 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=CASCJQ010000011:1389536-1391956(-) | protein_length=806 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720278.1         -           1391 8608at5820           -            286   6.5e-09   34.0   4.2   1   3      0.81   1.4e+02    0.1   0.0     2    53    53   109    52   121 0.75 | transcript=PVPAM_080050100_t1 | gene=PVPAM_080050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000008:1953288-1957463(-) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720278.1         -           1391 8608at5820           -            286   6.5e-09   34.0   4.2   2   3      0.18        30    2.3   0.1   106   134   181   213   149   218 0.82 | transcript=PVPAM_080050100_t1 | gene=PVPAM_080050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000008:1953288-1957463(-) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720278.1         -           1391 8608at5820           -            286   6.5e-09   34.0   4.2   3   3   4.4e-10   7.5e-08   30.5   0.3   137   222   701   786   696   837 0.77 | transcript=PVPAM_080050100_t1 | gene=PVPAM_080050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000008:1953288-1957463(-) | protein_length=1391 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717807.1         -            721 8608at5820           -            286   1.6e-08   32.7   1.9   1   1   3.1e-10   5.2e-08   31.0   1.9     3   202   458   665   456   672 0.74 | transcript=PVPAM_010032100_t1 | gene=PVPAM_010032100 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000001:1221835-1224854(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720212.1         -           1622 8608at5820           -            286   6.7e-08   30.7   4.1   1   1   2.4e-09   4.1e-07   28.1   4.1     9   196  1370  1576  1365  1589 0.72 | transcript=PVPAM_080043400_t1 | gene=PVPAM_080043400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK2, putative | transcript_product=serine/threonine protein kinase ARK2, putative | location=CASCJQ010000008:1697725-1702833(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720204.1         -            604 8608at5820           -            286   8.4e-08   30.3   1.8   1   1   3.7e-09   6.2e-07   27.5   1.8     9   197   166   360   159   369 0.68 | transcript=PVPAM_080042600_t1 | gene=PVPAM_080042600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000008:1669784-1672716(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723810.1         -            740 8608at5820           -            286   1.4e-07   29.7   9.1   1   1     1e-08   1.8e-06   26.0   9.1     6   189    27   237    22   248 0.67 | transcript=PVPAM_140073300_t1 | gene=PVPAM_140073300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000014:2888926-2891148(+) | protein_length=740 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722456.1         -           1309 8608at5820           -            286   2.8e-07   28.6   1.6   1   2      0.08        14    3.4   0.5   105   137   960   995   911  1000 0.61 | transcript=PVPAM_120069300_t1 | gene=PVPAM_120069300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2628692-2632621(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722456.1         -           1309 8608at5820           -            286   2.8e-07   28.6   1.6   2   2   7.1e-08   1.2e-05   23.3   0.0   152   194  1102  1143  1082  1150 0.84 | transcript=PVPAM_120069300_t1 | gene=PVPAM_120069300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2628692-2632621(+) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722473.1         -           2429 8608at5820           -            286   5.2e-07   27.8   2.7   1   1   1.6e-06   0.00027   18.9   2.7     3   135   119   252   117   364 0.71 | transcript=PVPAM_120071000_t1 | gene=PVPAM_120071000 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2710608-2718677(-) | protein_length=2429 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718584.1         -           2117 8608at5820           -            286   4.8e-06   24.6   2.2   1   1   2.8e-08   4.8e-06   24.6   2.2   106   211  1793  1906  1716  1941 0.77 | transcript=PVPAM_040032900_t1 | gene=PVPAM_040032900 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000004:1143558-1149911(+) | protein_length=2117 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720651.1         -            323 8608at5820           -            286   8.1e-06   23.8   0.8   1   1   5.6e-07   9.6e-05   20.3   0.8     2   147     8   156     7   181 0.71 | transcript=PVPAM_090041500_t1 | gene=PVPAM_090041500 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=CASCJQ010000009:1615302-1617735(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719702.1         -           3230 8608at5820           -            286   6.5e-05   20.9   1.0   1   1   7.3e-07   0.00012   19.9   1.0    91   194  3022  3155  2934  3177 0.64 | transcript=PVPAM_070031600_t1 | gene=PVPAM_070031600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1146503-1156195(-) | protein_length=3230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721965.1         -            897 8608at5820           -            286   8.9e-05   20.4   0.0   1   1   6.4e-06    0.0011   16.8   0.0     8   146   406   581   399   649 0.53 | transcript=PVPAM_120020300_t1 | gene=PVPAM_120020300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:644935-647628(+) | protein_length=897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722659.1         -            296 8608at5820           -            286   0.00013   19.8   4.8   1   2       1.1   1.9e+02   -0.4   0.1   228   264    55    91    35   108 0.64 | transcript=PVPAM_130016000_t1 | gene=PVPAM_130016000 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 3, putative | transcript_product=NIMA related kinase 3, putative | location=CASCJQ010000013:503229-504119(-) | protein_length=296 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722659.1         -            296 8608at5820           -            286   0.00013   19.8   4.8   2   2   6.2e-06    0.0011   16.9   4.4    87   203   110   229    60   283 0.71 | transcript=PVPAM_130016000_t1 | gene=PVPAM_130016000 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 3, putative | transcript_product=NIMA related kinase 3, putative | location=CASCJQ010000013:503229-504119(-) | protein_length=296 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721579.1         -            354 8608at5820           -            286   0.00035   18.4   0.1   1   1   5.6e-06   0.00095   17.0   0.1     6   188    35   234    30   270 0.62 | transcript=PVPAM_110048400_t1 | gene=PVPAM_110048400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK1, putative | transcript_product=serine/threonine protein kinase ARK1, putative | location=CASCJQ010000011:1807072-1808609(-) | protein_length=354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8608at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8608at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8608at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:45 2026
# [ok]
