#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8   1  27  8.6e-193  5.5e-189  628.8  50.0     1   322     1   325     1   334 0.98 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8  12  27   6.9e-12   4.4e-08   28.5   0.0  1573  1602  2837  2866  2834  2869 0.94 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8  13  27   5.8e-60   3.7e-56  188.1   9.2  1599  1713  3000  3116  2992  3124 0.94 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8  14  27  1.2e-173  7.6e-170  565.3  47.4  1722  2068  3336  3707  3329  3718 0.92 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8  15  27   1.9e-46   1.3e-42  143.2   0.1  2056  2167  3771  3899  3769  3933 0.90 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8  16  27   9.5e-81   6.1e-77  257.0  10.4  2178  2311  3959  4092  3953  4095 0.98 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8  17  27   3.3e-07    0.0021   13.0  16.6  2290  2365  4125  4199  4118  4207 0.77 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8  18  27   0.00015      0.98    4.2   2.8  2345  2375  4237  4267  4234  4274 0.79 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8  19  27   3.9e-21   2.5e-17   59.2   7.0  2362  2426  4358  4430  4340  4432 0.83 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8  20  27     1e-54   6.6e-51  170.7  10.5  2423  2528  4486  4591  4482  4594 0.97 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8  21  27   1.1e-32   7.3e-29   97.5   0.8  2517  2581  4630  4694  4622  4705 0.89 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8  22  27   2.8e-78   1.8e-74  248.8  17.5  2581  2708  4812  4939  4808  4950 0.97 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8  23  27   4.9e-29   3.2e-25   85.4   2.2  2707  2772  4976  5041  4952  5054 0.91 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8  24  27   2.6e-08   0.00017   16.7   0.3  2767  2799  5132  5164  5119  5168 0.89 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8  25  27  1.1e-151    7e-148  492.5  38.0  2800  3114  5283  5602  5278  5621 0.95 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8  26  27   9.7e-53   6.3e-49  164.1   9.5  3092  3214  5625  5754  5611  5765 0.86 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719171.1         -           5878 72at5820             -           3250         0 4813.4 482.8  27  27   1.4e-19   9.4e-16   54.0   5.1  3202  3250  5828  5878  5821  5878 0.85 | transcript=PVPAM_060017800_t1 | gene=PVPAM_060017800 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000006:525278-543477(-) | protein_length=5878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/72at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/72at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/72at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:00 2026
# [ok]
