#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723237.1         -            337 11923at5820          -            253  5.5e-136  450.3  53.7   1   1  1.7e-138  7.1e-136  449.9  53.7     1   248    67   321    67   326 0.97 | transcript=PVPAM_140015600_t1 | gene=PVPAM_140015600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000014:496845-497858(-) | protein_length=337 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718137.1         -            643 11923at5820          -            253    0.0083   14.0   0.0   1   1     3e-05     0.013   13.3   0.0    42   106    76   140    64   149 0.89 | transcript=PVPAM_030013300_t1 | gene=PVPAM_030013300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=CASCJQ010000003:381368-383299(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11923at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11923at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11923at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:06 2026
# [ok]
