#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722958.1         -           3350 230at5820            -           2204         0 3309.7 321.6   1  12     2e-26   3.2e-23   79.2   0.7     1    70     1    84     1    89 0.88 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722958.1         -           3350 230at5820            -           2204         0 3309.7 321.6  12  12  8.8e-299  1.4e-295  982.5  24.4  1667  2204  2703  3258  2677  3258 0.95 | transcript=PVPAM_130046400_t1 | gene=PVPAM_130046400 | organism=Plasmodium_vivax_PAM | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=CASCJQ010000013:1797990-1809061(-) | protein_length=3350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722783.1         -            854 230at5820            -           2204     2e-29   99.8  12.2   1   3   7.9e-12   1.3e-08   30.8   1.0  1413  1549    33   163    12   169 0.76 | transcript=PVPAM_130028400_t1 | gene=PVPAM_130028400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=CASCJQ010000013:1044052-1047856(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722783.1         -            854 230at5820            -           2204     2e-29   99.8  12.2   2   3   4.4e-13   7.2e-10   34.9   0.8  1081  1198   165   281   148   334 0.70 | transcript=PVPAM_130028400_t1 | gene=PVPAM_130028400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=CASCJQ010000013:1044052-1047856(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722783.1         -            854 230at5820            -           2204     2e-29   99.8  12.2   3   3   5.2e-15   8.5e-12   41.3   0.2  1088  1208   411   533   400   584 0.86 | transcript=PVPAM_130028400_t1 | gene=PVPAM_130028400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=CASCJQ010000013:1044052-1047856(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723569.1         -            440 230at5820            -           2204   3.1e-25   85.9   6.5   1   2   1.7e-11   2.8e-08   29.7   1.3  2043  2136   179   270   158   279 0.85 | transcript=PVPAM_140049300_t1 | gene=PVPAM_140049300 | organism=Plasmodium_vivax_PAM | gene_product=cAMP-dependent protein kinase regulatory subunit, putative | transcript_product=cAMP-dependent protein kinase regulatory subunit, putative | location=CASCJQ010000014:1905410-1907661(-) | protein_length=440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723569.1         -            440 230at5820            -           2204   3.1e-25   85.9   6.5   2   2   2.6e-20   4.2e-17   58.9   0.3  2017  2175   278   426   273   436 0.91 | transcript=PVPAM_140049300_t1 | gene=PVPAM_140049300 | organism=Plasmodium_vivax_PAM | gene_product=cAMP-dependent protein kinase regulatory subunit, putative | transcript_product=cAMP-dependent protein kinase regulatory subunit, putative | location=CASCJQ010000014:1905410-1907661(-) | protein_length=440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719231.1         -            179 230at5820            -           2204   0.00016   17.2   0.3   1   2     0.029        47   -1.0   0.1   459   506    16    64     3    75 0.71 | transcript=PVPAM_060023800_t1 | gene=PVPAM_060023800 | organism=Plasmodium_vivax_PAM | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=CASCJQ010000006:804255-805655(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719231.1         -            179 230at5820            -           2204   0.00016   17.2   0.3   2   2   9.8e-08   0.00016   17.2   0.3  1712  1756    80   123    72   140 0.79 | transcript=PVPAM_060023800_t1 | gene=PVPAM_060023800 | organism=Plasmodium_vivax_PAM | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=CASCJQ010000006:804255-805655(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/230at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/230at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/230at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:09 2026
# [ok]
