#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721294.1         -            202 12569at5820          -            174  1.6e-108  358.9   1.8   1   1  4.1e-111  1.8e-108  358.7   1.8     1   174    17   202    17   202 0.97 | transcript=PVPAM_110019600_t1 | gene=PVPAM_110019600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000011:619877-621629(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721905.1         -            262 12569at5820          -            174   9.1e-09   34.0   1.0   1   2       2.8   1.2e+03   -2.2   0.0   133   154    49    70    31    87 0.75 | transcript=PVPAM_120013900_t1 | gene=PVPAM_120013900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000012:367779-368567(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721905.1         -            262 12569at5820          -            174   9.1e-09   34.0   1.0   2   2   3.7e-11   1.6e-08   33.2   0.3    23   104   150   232   134   246 0.83 | transcript=PVPAM_120013900_t1 | gene=PVPAM_120013900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000012:367779-368567(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720245.1         -            139 12569at5820          -            174   3.5e-08   32.1   0.0   1   1   9.6e-11   4.1e-08   31.9   0.0    21   112    41   135    32   139 0.81 | transcript=PVPAM_080046800_t1 | gene=PVPAM_080046800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme MMS2, putative | transcript_product=ubiquitin-conjugating enzyme MMS2, putative | location=CASCJQ010000008:1810676-1811529(+) | protein_length=139 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723771.1         -            624 12569at5820          -            174   6.4e-05   21.5   0.1   1   1   2.7e-07   0.00012   20.7   0.1    18    86   195   263   190   292 0.85 | transcript=PVPAM_140069400_t1 | gene=PVPAM_140069400 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000014:2747070-2748944(+) | protein_length=624 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720017.1         -            406 12569at5820          -            174    0.0018   16.8   0.4   1   2    0.0094       4.1    5.9   0.1   136   163   138   165    92   176 0.79 | transcript=PVPAM_080023900_t1 | gene=PVPAM_080023900 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=CASCJQ010000008:855985-857205(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720017.1         -            406 12569at5820          -            174    0.0018   16.8   0.4   2   2    0.0017      0.73    8.3   0.0   138   173   363   399   352   400 0.90 | transcript=PVPAM_080023900_t1 | gene=PVPAM_080023900 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=CASCJQ010000008:855985-857205(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12569at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12569at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12569at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:18 2026
# [ok]
