#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722788.1         -           1678 1254at5820           -           1057         0 1817.8 155.0   1   8   1.2e-27   2.6e-24   83.8   5.6     1    74    30   113    30   119 0.88 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723610.1         -           2038 1254at5820           -           1057   3.9e-49  166.0 104.2   4   6   2.4e-06    0.0053   13.3   0.1   696   741  1510  1556  1506  1562 0.90 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723610.1         -           2038 1254at5820           -           1057   3.9e-49  166.0 104.2   5   6   1.4e-08   3.1e-05   20.6   4.6   743   802  1669  1730  1662  1787 0.79 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723610.1         -           2038 1254at5820           -           1057   3.9e-49  166.0 104.2   6   6   1.7e-10   3.7e-07   27.0   9.3   892  1054  1852  2034  1844  2037 0.70 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722227.1         -           1449 1254at5820           -           1057   5.2e-07   26.5  73.1   1   4       2.5   5.3e+03   -6.6   8.8   301   397    51   142    39   151 0.73 | transcript=PVPAM_120046400_t1 | gene=PVPAM_120046400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=CASCJQ010000012:1669064-1673413(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722227.1         -           1449 1254at5820           -           1057   5.2e-07   26.5  73.1   2   4   3.8e-10   8.2e-07   25.9  55.4   186   646   155   623   145   634 0.74 | transcript=PVPAM_120046400_t1 | gene=PVPAM_120046400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=CASCJQ010000012:1669064-1673413(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722227.1         -           1449 1254at5820           -           1057   5.2e-07   26.5  73.1   3   4     3e-07   0.00064   16.3   9.6   717   803  1183  1268  1160  1327 0.78 | transcript=PVPAM_120046400_t1 | gene=PVPAM_120046400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=CASCJQ010000012:1669064-1673413(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722227.1         -           1449 1254at5820           -           1057   5.2e-07   26.5  73.1   4   4      0.37   7.9e+02   -3.9  12.6   930  1052  1329  1448  1276  1449 0.75 | transcript=PVPAM_120046400_t1 | gene=PVPAM_120046400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=CASCJQ010000012:1669064-1673413(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1254at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1254at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1254at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:11 2026
# [ok]
