#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718478.1         -            328 9149at5820           -            300  3.3e-190  629.3  13.8   1   1  1.6e-191  4.2e-189  625.7  13.8     1   300     4   328     4   328 0.97 | transcript=PVPAM_040022400_t1 | gene=PVPAM_040022400 | organism=Plasmodium_vivax_PAM | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=CASCJQ010000004:735172-736487(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718137.1         -            643 9149at5820           -            300   4.8e-18   64.0   2.1   2   2   2.4e-05    0.0063   14.4   0.0   167   294   292   426   271   430 0.82 | transcript=PVPAM_030013300_t1 | gene=PVPAM_030013300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=CASCJQ010000003:381368-383299(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722051.1         -            334 9149at5820           -            300   5.9e-16   57.2   0.1   1   1   4.6e-18   1.2e-15   56.2   0.1     2    73    44   113    43   133 0.88 | transcript=PVPAM_120028900_t1 | gene=PVPAM_120028900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:922936-924975(+) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720377.1         -            549 9149at5820           -            300     9e-15   53.3   1.0   1   1   6.8e-17   1.8e-14   52.3   1.0     1    79    34   106    34   111 0.91 | transcript=PVPAM_090014200_t1 | gene=PVPAM_090014200 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=CASCJQ010000009:506315-507964(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720654.1         -            381 9149at5820           -            300   1.9e-13   48.9   1.0   1   1   1.1e-15   2.9e-13   48.3   1.0     1   102   112   212   112   241 0.87 | transcript=PVPAM_090041800_t1 | gene=PVPAM_090041800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000009:1633073-1634829(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720901.1         -            529 9149at5820           -            300   1.5e-12   46.0   1.3   1   2       4.2   1.1e+03   -2.8   0.0    57    69   124   136   116   168 0.69 | transcript=PVPAM_100016900_t1 | gene=PVPAM_100016900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:518961-520882(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720901.1         -            529 9149at5820           -            300   1.5e-12   46.0   1.3   2   2   9.7e-15   2.5e-12   45.2   0.2     2    74   192   260   191   326 0.89 | transcript=PVPAM_100016900_t1 | gene=PVPAM_100016900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:518961-520882(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717759.1         -            846 9149at5820           -            300   1.1e-11   43.2   0.2   1   2   4.2e-14   1.1e-11   43.2   0.2     2    77   295   367   294   403 0.84 | transcript=PVPAM_010027300_t1 | gene=PVPAM_010027300 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000001:986919-989459(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717759.1         -            846 9149at5820           -            300   1.1e-11   43.2   0.2   2   2       3.1   8.1e+02   -2.4   0.5    66   118   556   607   554   620 0.57 | transcript=PVPAM_010027300_t1 | gene=PVPAM_010027300 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000001:986919-989459(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 9149at5820           -            300   2.3e-11   42.1   0.7   1   2   8.8e-14   2.3e-11   42.1   0.7     2    67     9    76     8    89 0.91 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 9149at5820           -            300   2.3e-11   42.1   0.7   2   2      0.53   1.4e+02    0.1   0.4    57    87   159   189   133   252 0.64 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718786.1         -            691 9149at5820           -            300   1.7e-10   39.2   3.1   1   1   2.3e-12     6e-10   37.4   3.1     1    72   142   210   142   225 0.91 | transcript=PVPAM_050018000_t1 | gene=PVPAM_050018000 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000005:588880-590955(-) | protein_length=691 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722993.1         -            381 9149at5820           -            300   3.5e-10   38.2   0.2   1   1   2.2e-12   5.6e-10   37.5   0.2     2    70    56   120    55   128 0.92 | transcript=PVPAM_130049900_t1 | gene=PVPAM_130049900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:1983241-1984755(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722148.1         -            339 9149at5820           -            300   9.4e-10   36.8   7.5   1   3   7.3e-09   1.9e-06   26.0   0.5     1    90     8    97     8   103 0.85 | transcript=PVPAM_120038600_t1 | gene=PVPAM_120038600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:1334802-1335821(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722148.1         -            339 9149at5820           -            300   9.4e-10   36.8   7.5   2   3   1.7e-05    0.0043   14.9   0.1    40    72   113   145    98   152 0.86 | transcript=PVPAM_120038600_t1 | gene=PVPAM_120038600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:1334802-1335821(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722148.1         -            339 9149at5820           -            300   9.4e-10   36.8   7.5   3   3       3.5     9e+02   -2.5   0.1   143   160   247   265   218   295 0.60 | transcript=PVPAM_120038600_t1 | gene=PVPAM_120038600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:1334802-1335821(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719632.1         -            378 9149at5820           -            300   1.4e-08   32.9   0.2   1   1     9e-11   2.3e-08   32.2   0.2     1    71    53   119    53   142 0.91 | transcript=PVPAM_070024600_t1 | gene=PVPAM_070024600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000007:878362-880295(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723355.1         -            718 9149at5820           -            300   6.7e-08   30.7   0.1   1   2   6.7e-10   1.7e-07   29.4   0.0     3    72   131   197   129   207 0.89 | transcript=PVPAM_140027400_t1 | gene=PVPAM_140027400 | organism=Plasmodium_vivax_PAM | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=CASCJQ010000014:968475-970631(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723355.1         -            718 9149at5820           -            300   6.7e-08   30.7   0.1   2   2       6.6   1.7e+03   -3.5   0.0   140   154   548   562   543   570 0.79 | transcript=PVPAM_140027400_t1 | gene=PVPAM_140027400 | organism=Plasmodium_vivax_PAM | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=CASCJQ010000014:968475-970631(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721290.1         -            201 9149at5820           -            300   1.3e-06   26.4   2.1   1   1   7.6e-09     2e-06   25.9   2.1     1    73     2    69     2   104 0.74 | transcript=PVPAM_110019200_t1 | gene=PVPAM_110019200 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:606094-607727(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719924.1         -           1937 9149at5820           -            300   8.9e-06   23.7   0.6   1   1   7.8e-08     2e-05   22.6   0.6     3    73  1039  1102  1037  1122 0.90 | transcript=PVPAM_080014700_t1 | gene=PVPAM_080014700 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:484782-490736(+) | protein_length=1937 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721120.1         -            177 9149at5820           -            300   1.5e-05   23.0   0.3   1   1   1.2e-07   3.2e-05   21.9   0.0     3    38    10    45     8    63 0.83 | transcript=PVPAM_100038800_t1 | gene=PVPAM_100038800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:1445270-1445803(-) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719642.1         -            239 9149at5820           -            300    0.0017   16.3   0.0   1   1     1e-05    0.0026   15.6   0.0     9    65    94   150    85   161 0.90 | transcript=PVPAM_070025600_t1 | gene=PVPAM_070025600 | organism=Plasmodium_vivax_PAM | gene_product=chaperone, putative | transcript_product=chaperone, putative | location=CASCJQ010000007:916130-918363(-) | protein_length=239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720716.1         -            321 9149at5820           -            300    0.0043   14.9   1.3   1   3   1.6e-05    0.0043   14.9   1.3     2    69    37    95    36   100 0.80 | transcript=PVPAM_090048100_t1 | gene=PVPAM_090048100 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000009:1949700-1950811(+) | protein_length=321 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720716.1         -            321 9149at5820           -            300    0.0043   14.9   1.3   2   3       1.8   4.7e+02   -1.6   0.1   249   286   179   216   145   228 0.66 | transcript=PVPAM_090048100_t1 | gene=PVPAM_090048100 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000009:1949700-1950811(+) | protein_length=321 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720716.1         -            321 9149at5820           -            300    0.0043   14.9   1.3   3   3         7   1.8e+03   -3.5   0.0    42    63   249   271   235   274 0.67 | transcript=PVPAM_090048100_t1 | gene=PVPAM_090048100 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000009:1949700-1950811(+) | protein_length=321 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723237.1         -            337 9149at5820           -            300    0.0049   14.8   1.8   1   2   1.9e-05    0.0049   14.8   1.8     4    74   119   185   117   197 0.82 | transcript=PVPAM_140015600_t1 | gene=PVPAM_140015600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000014:496845-497858(-) | protein_length=337 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723237.1         -            337 9149at5820           -            300    0.0049   14.8   1.8   2   2         5   1.3e+03   -3.1   5.0    30    61   302   332   274   336 0.48 | transcript=PVPAM_140015600_t1 | gene=PVPAM_140015600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000014:496845-497858(-) | protein_length=337 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722915.1         -            383 9149at5820           -            300     0.023   12.5   0.0   1   2   0.00073      0.19    9.5   0.0     1    42    12    58    12    69 0.72 | transcript=PVPAM_130041700_t1 | gene=PVPAM_130041700 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:1624656-1625807(+) | protein_length=383 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722915.1         -            383 9149at5820           -            300     0.023   12.5   0.0   2   2      0.54   1.4e+02    0.1   0.0    44    74    84   114    78   134 0.80 | transcript=PVPAM_130041700_t1 | gene=PVPAM_130041700 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:1624656-1625807(+) | protein_length=383 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9149at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9149at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9149at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:01 2026
# [ok]
