#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723072.1         -            107 14381at5820          -             87   3.2e-56  186.5   1.0   1   1   2.2e-58   3.7e-56  186.2   1.0     1    87    13   102    13   102 0.98 | transcript=PVPAM_130057800_t1 | gene=PVPAM_130057800 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=CASCJQ010000013:2343283-2343975(-) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722430.1         -            786 14381at5820          -             87     1e-05   24.6   0.0   1   1   1.3e-07   2.2e-05   23.6   0.0    12    77    30    95    26   104 0.95 | transcript=PVPAM_120066700_t1 | gene=PVPAM_120066700 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000012:2518224-2521284(-) | protein_length=786 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719738.1         -            287 14381at5820          -             87   3.6e-05   22.9   1.9   1   2   0.00032     0.054   12.7   0.1    13    75    49   104    36   113 0.81 | transcript=PVPAM_070035200_t1 | gene=PVPAM_070035200 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000007:1271113-1272713(+) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719738.1         -            287 14381at5820          -             87   3.6e-05   22.9   1.9   2   2    0.0033      0.56    9.4   0.2    12    78   211   276   205   284 0.87 | transcript=PVPAM_070035200_t1 | gene=PVPAM_070035200 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000007:1271113-1272713(+) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720552.1         -           1054 14381at5820          -             87   9.4e-05   21.5   0.0   1   1   9.5e-07   0.00016   20.8   0.0    10    73     5    68     2    77 0.89 | transcript=PVPAM_090031800_t1 | gene=PVPAM_090031800 | organism=Plasmodium_vivax_PAM | gene_product=alternative splicing factor SR-MG, putative | transcript_product=alternative splicing factor SR-MG, putative | location=CASCJQ010000009:1220788-1223952(+) | protein_length=1054 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719680.1         -            202 14381at5820          -             87   0.00012   21.1   0.0   1   1   1.2e-06   0.00021   20.4   0.0     7    68    67   128    61   143 0.86 | transcript=PVPAM_070029400_t1 | gene=PVPAM_070029400 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=CASCJQ010000007:1062772-1064247(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723587.1         -            110 14381at5820          -             87   0.00024   20.2   0.0   1   1     2e-06   0.00034   19.7   0.0    12    75    15    75     8    83 0.85 | transcript=PVPAM_140051100_t1 | gene=PVPAM_140051100 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=CASCJQ010000014:1989748-1990335(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721338.1         -            670 14381at5820          -             87   0.00025   20.2   0.6   1   2    0.0014      0.23   10.6   0.1    50    76    67    93    24   103 0.71 | transcript=PVPAM_110024100_t1 | gene=PVPAM_110024100 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 3, putative | transcript_product=polyadenylate-binding protein 3, putative | location=CASCJQ010000011:819435-821447(-) | protein_length=670 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721338.1         -            670 14381at5820          -             87   0.00025   20.2   0.6   2   2     0.015       2.6    7.3   0.0    27    75   147   196   132   201 0.77 | transcript=PVPAM_110024100_t1 | gene=PVPAM_110024100 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 3, putative | transcript_product=polyadenylate-binding protein 3, putative | location=CASCJQ010000011:819435-821447(-) | protein_length=670 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721474.1         -            153 14381at5820          -             87   0.00037   19.6   0.2   1   1   3.4e-06   0.00058   19.0   0.2    15    77    65   126    48   133 0.88 | transcript=PVPAM_110037900_t1 | gene=PVPAM_110037900 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 4, putative | transcript_product=THO complex subunit 4, putative | location=CASCJQ010000011:1378019-1379455(-) | protein_length=153 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 14381at5820          -             87   0.00042   19.4   0.3   1   2   2.5e-05    0.0043   16.2   0.1    14    66   121   173   110   187 0.82 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 14381at5820          -             87   0.00042   19.4   0.3   2   2       1.5   2.5e+02    0.9   0.0    24    61   215   251   204   265 0.81 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723433.1         -           1078 14381at5820          -             87   0.00052   19.2   0.1   1   1   7.7e-06    0.0013   17.9   0.1    21    79   231   289   220   298 0.85 | transcript=PVPAM_140035500_t1 | gene=PVPAM_140035500 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:1296815-1300051(+) | protein_length=1078 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 14381at5820          -             87   0.00052   19.1   0.0   1   2     0.018         3    7.1   0.0    13    76     9    71     3    78 0.80 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 14381at5820          -             87   0.00052   19.1   0.0   2   2    0.0027      0.46    9.7   0.0    29    75   173   218   161   225 0.85 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719939.1         -            860 14381at5820          -             87   0.00062   18.9   1.9   1   2   7.5e-06    0.0013   17.9   0.1    12    77   309   366   302   371 0.87 | transcript=PVPAM_080016200_t1 | gene=PVPAM_080016200 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000008:559696-562278(-) | protein_length=860 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719939.1         -            860 14381at5820          -             87   0.00062   18.9   1.9   2   2       5.6   9.5e+02   -0.9   0.2    13    75   415   474   410   481 0.69 | transcript=PVPAM_080016200_t1 | gene=PVPAM_080016200 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000008:559696-562278(-) | protein_length=860 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723106.1         -            661 14381at5820          -             87    0.0016   17.6   0.1   1   1   4.7e-05     0.008   15.3   0.1    15    78   170   236   165   246 0.76 | transcript=PVPAM_130061200_t1 | gene=PVPAM_130061200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=CASCJQ010000013:2473302-2476727(+) | protein_length=661 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721186.1         -            452 14381at5820          -             87    0.0019   17.4   0.6   1   1   2.4e-05    0.0042   16.3   0.6    13    76   100   162    93   173 0.79 | transcript=PVPAM_110008800_t1 | gene=PVPAM_110008800 | organism=Plasmodium_vivax_PAM | gene_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | location=CASCJQ010000011:144604-145962(-) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720361.1         -            753 14381at5820          -             87    0.0043   16.2   3.4   1   2    0.0094       1.6    8.0   0.1    13    63   365   415   355   427 0.86 | transcript=PVPAM_090012600_t1 | gene=PVPAM_090012600 | organism=Plasmodium_vivax_PAM | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=CASCJQ010000009:419468-422979(+) | protein_length=753 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720361.1         -            753 14381at5820          -             87    0.0043   16.2   3.4   2   2    0.0098       1.7    7.9   0.1    10    69   662   721   659   736 0.82 | transcript=PVPAM_090012600_t1 | gene=PVPAM_090012600 | organism=Plasmodium_vivax_PAM | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=CASCJQ010000009:419468-422979(+) | protein_length=753 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719779.1         -            721 14381at5820          -             87    0.0074   15.5   0.0   1   1    0.0001     0.017   14.3   0.0    13    74     9    70     2    78 0.87 | transcript=PVPAM_070039300_t1 | gene=PVPAM_070039300 | organism=Plasmodium_vivax_PAM | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=CASCJQ010000007:1427879-1430044(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723701.1         -            511 14381at5820          -             87     0.009   15.2   0.1   1   1   0.00013     0.021   14.0   0.1    27    79   444   495   426   501 0.78 | transcript=PVPAM_140062500_t1 | gene=PVPAM_140062500 | organism=Plasmodium_vivax_PAM | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=CASCJQ010000014:2486249-2487784(-) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720963.1         -            314 14381at5820          -             87     0.023   13.9   0.0   1   1   0.00027     0.046   12.9   0.0    27    75    24    69     8    76 0.77 | transcript=PVPAM_100023100_t1 | gene=PVPAM_100023100 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=CASCJQ010000010:798029-799180(+) | protein_length=314 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721570.1         -            626 14381at5820          -             87     0.047   12.9   0.1   1   2       2.9   4.9e+02   -0.0   0.0    12    39    10    37     6    77 0.67 | transcript=PVPAM_110047500_t1 | gene=PVPAM_110047500 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:1768823-1771281(-) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721570.1         -            626 14381at5820          -             87     0.047   12.9   0.1   2   2    0.0046      0.79    9.0   0.1    11    69   166   222   159   234 0.86 | transcript=PVPAM_110047500_t1 | gene=PVPAM_110047500 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:1768823-1771281(-) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
