#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720969.1         -           1354 1318at5820           -            924         0 1743.5  71.8   1   6  2.9e-115  4.7e-112  374.0   6.0     1   223     9   247     9   256 0.94 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722985.1         -           1211 1318at5820           -            924   1.6e-06   24.8  19.3   2   3   6.8e-09   1.1e-05   22.0   4.5   721   851   769   884   735   890 0.80 | transcript=PVPAM_130049100_t1 | gene=PVPAM_130049100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=CASCJQ010000013:1936526-1940161(+) | protein_length=1211 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722985.1         -           1211 1318at5820           -            924   1.6e-06   24.8  19.3   3   3     5e-05      0.08    9.2   2.3   837   893  1099  1159  1085  1178 0.81 | transcript=PVPAM_130049100_t1 | gene=PVPAM_130049100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=CASCJQ010000013:1936526-1940161(+) | protein_length=1211 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720860.1         -            590 1318at5820           -            924    0.0015   15.0   0.1   1   2   7.5e-06     0.012   12.0   0.1   233   262   109   138    97   153 0.85 | transcript=PVPAM_100012800_t1 | gene=PVPAM_100012800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=CASCJQ010000010:345423-347695(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720860.1         -            590 1318at5820           -            924    0.0015   15.0   0.1   2   2     0.024        40    0.3   0.0   838   866   489   518   479   552 0.80 | transcript=PVPAM_100012800_t1 | gene=PVPAM_100012800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=CASCJQ010000010:345423-347695(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1318at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1318at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1318at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:00 2026
# [ok]
