#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720905.1         -           1464 1030at5820           -           1196         0 2337.0  94.4   1   5  3.1e-276  1.7e-273  909.2  24.4     1   454    19   498    19   505 0.97 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720739.1         -            783 1030at5820           -           1196   3.8e-31  106.4   6.2   1   2      0.06        32    0.7  22.2    38   328   211   499   175   519 0.71 | transcript=PVPAM_090050400_t1 | gene=PVPAM_090050400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=CASCJQ010000009:2031131-2033769(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720739.1         -            783 1030at5820           -           1196   3.8e-31  106.4   6.2   2   2   7.1e-34   3.8e-31  106.4   6.2   339   559   557   773   550   779 0.91 | transcript=PVPAM_090050400_t1 | gene=PVPAM_090050400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=CASCJQ010000009:2031131-2033769(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720277.1         -           1376 1030at5820           -           1196   1.1e-26   91.6  23.8   1   2   2.5e-12   1.4e-09   35.0   9.1   305   442   992  1133   984  1162 0.83 | transcript=PVPAM_080050000_t1 | gene=PVPAM_080050000 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=CASCJQ010000008:1945463-1949593(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720277.1         -           1376 1030at5820           -           1196   1.1e-26   91.6  23.8   2   2   1.6e-23   8.9e-21   72.1   6.7   453   586  1246  1371  1227  1375 0.87 | transcript=PVPAM_080050000_t1 | gene=PVPAM_080050000 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=CASCJQ010000008:1945463-1949593(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 1030at5820           -           1196   4.8e-22   76.3  18.8   1   3      0.55     3e+02   -2.5   6.5   689   869   194   385   174   439 0.48 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 1030at5820           -           1196   4.8e-22   76.3  18.8   2   3   9.8e-16   5.3e-13   46.3   0.8   339   441   481   585   476   590 0.88 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 1030at5820           -           1196   4.8e-22   76.3  18.8   3   3   7.9e-14   4.3e-11   40.0   0.2  1056  1164   682   786   670   803 0.82 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722884.1         -            695 1030at5820           -           1196   2.1e-17   60.9   0.7   1   2   3.9e-20   2.1e-17   60.9   0.7   327   547    25   236    18   271 0.83 | transcript=PVPAM_130038600_t1 | gene=PVPAM_130038600 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=CASCJQ010000013:1498834-1500921(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722884.1         -            695 1030at5820           -           1196   2.1e-17   60.9   0.7   2   2       4.6   2.5e+03   -5.5   4.4   233   300   502   571   495   598 0.77 | transcript=PVPAM_130038600_t1 | gene=PVPAM_130038600 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=CASCJQ010000013:1498834-1500921(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 1030at5820           -           1196   1.4e-12   44.9   8.6   1   3   1.2e-08   6.3e-06   22.9   0.6   367   555   117   300    91   317 0.71 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 1030at5820           -           1196   1.4e-12   44.9   8.6   2   3     0.037        20    1.4   0.0   364   395   386   417   334   427 0.70 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 1030at5820           -           1196   1.4e-12   44.9   8.6   3   3   8.9e-09   4.8e-06   23.3   0.6   472   558   468   555   462   577 0.74 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 1030at5820           -           1196   9.3e-12   42.2  10.7   1   3     0.026        14    1.9   0.1   359   390   200   231   169   269 0.68 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 1030at5820           -           1196   9.3e-12   42.2  10.7   2   3   5.3e-07   0.00028   17.4   0.1  1087  1183   362   458   349   475 0.71 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 1030at5820           -           1196   9.3e-12   42.2  10.7   3   3     2e-08   1.1e-05   22.1   2.6   356   561   591   769   580   782 0.78 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722997.1         -            351 1030at5820           -           1196   1.1e-08   32.1   0.1   1   1   4.2e-11   2.3e-08   31.0   0.1   339   546   103   308    74   348 0.76 | transcript=PVPAM_130050300_t1 | gene=PVPAM_130050300 | organism=Plasmodium_vivax_PAM | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=CASCJQ010000013:1999133-2000188(+) | protein_length=351 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722809.1         -            257 1030at5820           -           1196   0.00039   17.0   1.8   1   1   2.8e-05     0.015   11.7   1.8   485   546   130   191     2   222 0.70 | transcript=PVPAM_130031000_t1 | gene=PVPAM_130031000 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=CASCJQ010000013:1173066-1174701(+) | protein_length=257 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1030at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1030at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1030at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:36 2026
# [ok]
