#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718086.1         -            353 7798at5820           -            253  3.1e-109  362.8  22.5   1   1    1e-111  7.4e-109  361.5  22.5     8   252    55   345    34   346 0.86 | transcript=PVPAM_030008200_t1 | gene=PVPAM_030008200 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P36, putative | transcript_product=6-cysteine protein P36, putative | location=CASCJQ010000003:158668-159729(-) | protein_length=353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 7798at5820           -            253   1.8e-33  114.6  54.9   4   7   4.1e-06    0.0029   15.6   2.6    97   243   820   966   806   970 0.74 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 7798at5820           -            253   1.8e-33  114.6  54.9   5   7   2.5e-14   1.8e-11   42.5   9.5    64   244  1136  1330  1121  1338 0.71 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 7798at5820           -            253   1.8e-33  114.6  54.9   6   7     1e-08   7.2e-06   24.1   6.1   146   248  1620  1724  1536  1728 0.82 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 7798at5820           -            253   1.8e-33  114.6  54.9   7   7   1.2e-12   8.6e-10   37.0   2.7    64   197  1988  2127  1945  2170 0.79 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718087.1         -            487 7798at5820           -            253     2e-19   68.6  13.9   1   1   5.2e-22   3.7e-19   67.7  13.9    16   243    28   280    17   287 0.74 | transcript=PVPAM_030008300_t1 | gene=PVPAM_030008300 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P52, putative | transcript_product=6-cysteine protein P52, putative | location=CASCJQ010000003:161631-163094(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718093.1         -            384 7798at5820           -            253   1.6e-13   49.3   3.2   1   2    0.0082       5.9    4.8   2.5    30   127    40   132    23   156 0.82 | transcript=PVPAM_030008900_t1 | gene=PVPAM_030008900 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=CASCJQ010000003:192953-194107(-) | protein_length=384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718093.1         -            384 7798at5820           -            253   1.6e-13   49.3   3.2   2   2   2.2e-16   1.6e-13   49.3   3.2   111   244   223   356   221   362 0.75 | transcript=PVPAM_030008900_t1 | gene=PVPAM_030008900 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=CASCJQ010000003:192953-194107(-) | protein_length=384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718088.1         -            372 7798at5820           -            253   2.1e-11   42.3  16.0   1   1   2.9e-13   2.1e-10   39.0  16.0    30   243    43   284    12   293 0.73 | transcript=PVPAM_030008400_t1 | gene=PVPAM_030008400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:164527-165645(-) | protein_length=372 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721056.1         -            355 7798at5820           -            253   3.8e-10   38.2  12.5   1   2     5e-10   3.6e-07   28.4   8.6    36   193    57   219    42   233 0.79 | transcript=PVPAM_100032400_t1 | gene=PVPAM_100032400 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=CASCJQ010000010:1193028-1194095(+) | protein_length=355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721056.1         -            355 7798at5820           -            253   3.8e-10   38.2  12.5   2   2     8e-05     0.057   11.4   0.1    76   157   249   329   242   334 0.83 | transcript=PVPAM_100032400_t1 | gene=PVPAM_100032400 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=CASCJQ010000010:1193028-1194095(+) | protein_length=355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721506.1         -            362 7798at5820           -            253   1.1e-07   30.1  10.3   1   2   6.6e-05     0.047   11.6   1.5   132   196    22    88    13   168 0.84 | transcript=PVPAM_110041100_t1 | gene=PVPAM_110041100 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P12 | transcript_product=6-cysteine protein P12 | location=CASCJQ010000011:1509165-1510253(+) | protein_length=362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721506.1         -            362 7798at5820           -            253   1.1e-07   30.1  10.3   2   2   2.4e-07   0.00017   19.6   4.3   133   189   192   255   131   304 0.79 | transcript=PVPAM_110041100_t1 | gene=PVPAM_110041100 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P12 | transcript_product=6-cysteine protein P12 | location=CASCJQ010000011:1509165-1510253(+) | protein_length=362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721891.1         -            433 7798at5820           -            253   7.2e-05   20.9   3.9   1   3     0.031        22    2.9   0.6   155   243    50   147    28   153 0.57 | transcript=PVPAM_120012500_t1 | gene=PVPAM_120012500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P47 | transcript_product=6-cysteine protein P47 | location=CASCJQ010000012:308422-309723(+) | protein_length=433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721891.1         -            433 7798at5820           -            253   7.2e-05   20.9   3.9   2   3     0.039        28    2.6   2.3    95   144   131   188   103   252 0.60 | transcript=PVPAM_120012500_t1 | gene=PVPAM_120012500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P47 | transcript_product=6-cysteine protein P47 | location=CASCJQ010000012:308422-309723(+) | protein_length=433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721891.1         -            433 7798at5820           -            253   7.2e-05   20.9   3.9   3   3     1e-07   7.2e-05   20.9   3.9    67   192   221   343   202   397 0.73 | transcript=PVPAM_120012500_t1 | gene=PVPAM_120012500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P47 | transcript_product=6-cysteine protein P47 | location=CASCJQ010000012:308422-309723(+) | protein_length=433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7798at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7798at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7798at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:51 2026
# [ok]
