#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722349.1         -            266 13542at5820          -            209  1.2e-121  402.6  24.7   1   2  1.5e-124  1.2e-121  402.6  24.7     1   201     1   216     1   225 0.93 | transcript=PVPAM_120058500_t1 | gene=PVPAM_120058500 | organism=Plasmodium_vivax_PAM | gene_product=HSP90 co-chaperone p23, putative | transcript_product=HSP90 co-chaperone p23, putative | location=CASCJQ010000012:2161122-2162595(-) | protein_length=266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718143.1         -            854 13542at5820          -            209      0.16   10.3   5.4   1   1   0.00051      0.41    8.9   5.4   117   186   325   390   313   407 0.50 | transcript=PVPAM_030013900_t1 | gene=PVPAM_030013900 | organism=Plasmodium_vivax_PAM | gene_product=erythrocyte vesicle protein 1, putative | transcript_product=erythrocyte vesicle protein 1, putative | location=CASCJQ010000003:400731-403413(-) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720063.1         -           1027 13542at5820          -            209       1.3    7.2  13.6   1   3     0.095        77    1.4   0.2   122   150   523   543   511   600 0.58 | transcript=PVPAM_080028500_t1 | gene=PVPAM_080028500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1070965-1074233(-) | protein_length=1027 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720063.1         -           1027 13542at5820          -            209       1.3    7.2  13.6   2   3     0.041        33    2.7   0.0   145   183   696   737   685   759 0.56 | transcript=PVPAM_080028500_t1 | gene=PVPAM_080028500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1070965-1074233(-) | protein_length=1027 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720063.1         -           1027 13542at5820          -            209       1.3    7.2  13.6   3   3     0.012       9.7    4.4   6.8   116   152   905   939   896   967 0.67 | transcript=PVPAM_080028500_t1 | gene=PVPAM_080028500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1070965-1074233(-) | protein_length=1027 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723712.1         -           1918 13542at5820          -            209       3.7    5.8   9.1   1   1      0.01       8.4    4.6   9.1   116   151  1622  1658  1612  1666 0.76 | transcript=PVPAM_140063600_t1 | gene=PVPAM_140063600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2515486-2521242(-) | protein_length=1918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13542at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13542at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13542at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:37 2026
# [ok]
