#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719945.1         -            748 5031at5820           -            588  4.3e-286  948.6  17.6   1   2  1.5e-146  1.6e-143  477.8   8.7    37   305   131   407    99   415 0.90 | transcript=PVPAM_080016800_t1 | gene=PVPAM_080016800 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000008:580038-582284(-) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720191.1         -           1253 5031at5820           -            588     0.079    9.9   0.1   1   2    0.0024       2.6    4.9   0.1   127   192   339   402   279   419 0.73 | transcript=PVPAM_080041300_t1 | gene=PVPAM_080041300 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000008:1614033-1618069(-) | protein_length=1253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720191.1         -           1253 5031at5820           -            588     0.079    9.9   0.1   2   2     0.011        12    2.7   0.0   378   424   923   970   917   985 0.83 | transcript=PVPAM_080041300_t1 | gene=PVPAM_080041300 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000008:1614033-1618069(-) | protein_length=1253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5031at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5031at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5031at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:07 2026
# [ok]
