#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720828.1         -            250 10996at5820          -            217  1.5e-123  409.1  16.9   1   1    1e-125  7.3e-123  406.9  16.9     1   217    15   249    15   249 0.95 | transcript=PVPAM_100009300_t1 | gene=PVPAM_100009300 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000010:217576-219702(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720100.1         -            556 10996at5820          -            217   2.3e-33  114.3  52.8   2   5   2.7e-12   1.9e-09   36.1   4.3    88   146   293   351   286   356 0.88 | transcript=PVPAM_080032200_t1 | gene=PVPAM_080032200 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000008:1238997-1240667(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720100.1         -            556 10996at5820          -            217   2.3e-33  114.3  52.8   3   5   5.7e-10   4.1e-07   28.5   2.9    89   148   355   414   351   418 0.89 | transcript=PVPAM_080032200_t1 | gene=PVPAM_080032200 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000008:1238997-1240667(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720100.1         -            556 10996at5820          -            217   2.3e-33  114.3  52.8   4   5   1.1e-09     8e-07   27.6   6.5    89   158   416   486   413   494 0.84 | transcript=PVPAM_080032200_t1 | gene=PVPAM_080032200 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000008:1238997-1240667(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720100.1         -            556 10996at5820          -            217   2.3e-33  114.3  52.8   5   5   1.6e-05     0.011   14.0   1.0    97   132   485   518   478   525 0.82 | transcript=PVPAM_080032200_t1 | gene=PVPAM_080032200 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000008:1238997-1240667(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722855.1         -            378 10996at5820          -            217   3.4e-32  110.5  35.8   1   4   8.2e-10   5.9e-07   28.0   5.5    65   146    32   107    22   111 0.80 | transcript=PVPAM_130035700_t1 | gene=PVPAM_130035700 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000013:1377062-1380547(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722855.1         -            378 10996at5820          -            217   3.4e-32  110.5  35.8   2   4   7.3e-15   5.2e-12   44.5   9.3    87   186   109   209   107   215 0.84 | transcript=PVPAM_130035700_t1 | gene=PVPAM_130035700 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000013:1377062-1380547(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722855.1         -            378 10996at5820          -            217   3.4e-32  110.5  35.8   3   4   1.5e-06    0.0011   17.3   3.4    66   146   155   229   155   235 0.86 | transcript=PVPAM_130035700_t1 | gene=PVPAM_130035700 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000013:1377062-1380547(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722855.1         -            378 10996at5820          -            217   3.4e-32  110.5  35.8   4   4   3.3e-16   2.3e-13   48.9   6.2    65   187   215   338   211   347 0.89 | transcript=PVPAM_130035700_t1 | gene=PVPAM_130035700 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000013:1377062-1380547(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722039.1         -            482 10996at5820          -            217   1.4e-30  105.2  50.8   1   4   1.5e-10   1.1e-07   30.4   5.7    60   136    77   150    31   155 0.85 | transcript=PVPAM_120027800_t1 | gene=PVPAM_120027800 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:887917-889365(-) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722039.1         -            482 10996at5820          -            217   1.4e-30  105.2  50.8   2   4   1.9e-21   1.4e-18   66.0  17.9    67   198   156   286   150   286 0.85 | transcript=PVPAM_120027800_t1 | gene=PVPAM_120027800 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:887917-889365(-) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722039.1         -            482 10996at5820          -            217   1.4e-30  105.2  50.8   3   4   0.00059      0.42    8.9   8.6    89   147   293   353   276   362 0.77 | transcript=PVPAM_120027800_t1 | gene=PVPAM_120027800 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:887917-889365(-) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722039.1         -            482 10996at5820          -            217   1.4e-30  105.2  50.8   4   4   9.4e-05     0.068   11.5   0.4    84   131   366   413   356   419 0.80 | transcript=PVPAM_120027800_t1 | gene=PVPAM_120027800 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:887917-889365(-) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 10996at5820          -            217     8e-26   89.7  41.7   1   4   7.7e-10   5.5e-07   28.1   1.8   131   189   233   292   206   296 0.88 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 10996at5820          -            217     8e-26   89.7  41.7   2   4     3e-10   2.2e-07   29.4   7.7   112   190   274   356   271   359 0.88 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 10996at5820          -            217     8e-26   89.7  41.7   3   4   1.5e-12   1.1e-09   37.0  11.8    66   189   360   485   356   489 0.87 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 10996at5820          -            217     8e-26   89.7  41.7   4   4   6.9e-06     0.005   15.2   1.2    67   128   490   547   486   553 0.86 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721966.1         -            571 10996at5820          -            217   1.9e-20   72.1  33.4   1   5   2.3e-13   1.7e-10   39.6   3.3    27   155   166   288   140   305 0.79 | transcript=PVPAM_120020400_t1 | gene=PVPAM_120020400 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:648418-651882(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721966.1         -            571 10996at5820          -            217   1.9e-20   72.1  33.4   2   5   1.7e-07   0.00012   20.4   3.5    99   170   309   382   304   386 0.82 | transcript=PVPAM_120020400_t1 | gene=PVPAM_120020400 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:648418-651882(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721966.1         -            571 10996at5820          -            217   1.9e-20   72.1  33.4   3   5   6.4e-05     0.046   12.0   1.1    92   149   364   425   360   429 0.79 | transcript=PVPAM_120020400_t1 | gene=PVPAM_120020400 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:648418-651882(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721966.1         -            571 10996at5820          -            217   1.9e-20   72.1  33.4   4   5   5.2e-08   3.7e-05   22.1   2.3    67   146   410   487   405   499 0.81 | transcript=PVPAM_120020400_t1 | gene=PVPAM_120020400 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:648418-651882(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721966.1         -            571 10996at5820          -            217   1.9e-20   72.1  33.4   5   5    0.0024       1.7    6.9   0.9    87   140   490   543   484   558 0.83 | transcript=PVPAM_120020400_t1 | gene=PVPAM_120020400 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:648418-651882(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721332.1         -            282 10996at5820          -            217   1.9e-13   49.2  12.4   1   2   0.00033      0.24    9.7   0.3    66   146    57   141    20   144 0.61 | transcript=PVPAM_110023500_t1 | gene=PVPAM_110023500 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000011:776712-778978(+) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721332.1         -            282 10996at5820          -            217   1.9e-13   49.2  12.4   2   2   1.5e-14   1.1e-11   43.5   6.6    84   188   142   246   141   248 0.89 | transcript=PVPAM_110023500_t1 | gene=PVPAM_110023500 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000011:776712-778978(+) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721390.1         -            185 10996at5820          -            217     0.016   13.5   5.6   1   1   3.4e-05     0.024   12.9   5.1   134   188    98   152    68   167 0.85 | transcript=PVPAM_110029300_t1 | gene=PVPAM_110029300 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000011:1053032-1054797(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10996at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10996at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10996at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:05 2026
# [ok]
