#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718785.1         -            318 9386at5820           -            279  5.5e-176  581.9   3.5   1   1    1e-178  7.2e-176  581.5   3.5    10   279    32   313    25   313 0.97 | transcript=PVPAM_050017900_t1 | gene=PVPAM_050017900 | organism=Plasmodium_vivax_PAM | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=CASCJQ010000005:586026-586982(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722665.1         -            323 9386at5820           -            279   1.2e-07   29.7   0.9   1   4   8.4e-08   6.1e-05   20.7   0.0     4   112    24   134    21   140 0.82 | transcript=PVPAM_130016600_t1 | gene=PVPAM_130016600 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=CASCJQ010000013:521214-522185(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722665.1         -            323 9386at5820           -            279   1.2e-07   29.7   0.9   2   4   0.00041      0.29    8.7   0.1   188   268   123   200   112   211 0.74 | transcript=PVPAM_130016600_t1 | gene=PVPAM_130016600 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=CASCJQ010000013:521214-522185(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722665.1         -            323 9386at5820           -            279   1.2e-07   29.7   0.9   3   4    0.0034       2.5    5.6   0.2    23   128   140   258   134   285 0.64 | transcript=PVPAM_130016600_t1 | gene=PVPAM_130016600 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=CASCJQ010000013:521214-522185(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722665.1         -            323 9386at5820           -            279   1.2e-07   29.7   0.9   4   4       0.3   2.2e+02   -0.7   0.0    13    63   234   281   221   307 0.64 | transcript=PVPAM_130016600_t1 | gene=PVPAM_130016600 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial phosphate carrier protein, putative | transcript_product=mitochondrial phosphate carrier protein, putative | location=CASCJQ010000013:521214-522185(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723448.1         -            606 9386at5820           -            279   6.5e-07   27.2   9.7   1   4   0.00037      0.27    8.8   0.0    24    90    61   142    42   153 0.62 | transcript=PVPAM_140037000_t1 | gene=PVPAM_140037000 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000014:1375465-1377285(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723448.1         -            606 9386at5820           -            279   6.5e-07   27.2   9.7   2   4      0.25   1.8e+02   -0.5   0.0    16    39   251   274   237   313 0.70 | transcript=PVPAM_140037000_t1 | gene=PVPAM_140037000 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000014:1375465-1377285(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723448.1         -            606 9386at5820           -            279   6.5e-07   27.2   9.7   3   4    0.0085       6.1    4.3   1.2   231   277   446   494   433   496 0.77 | transcript=PVPAM_140037000_t1 | gene=PVPAM_140037000 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000014:1375465-1377285(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723448.1         -            606 9386at5820           -            279   6.5e-07   27.2   9.7   4   4   1.4e-06   0.00097   16.8   0.1    10    76   521   587   513   599 0.90 | transcript=PVPAM_140037000_t1 | gene=PVPAM_140037000 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000014:1375465-1377285(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723576.1         -            306 9386at5820           -            279   3.5e-06   24.8   0.4   1   3      0.49   3.5e+02   -1.5   0.0   213   269    21    71     2    81 0.51 | transcript=PVPAM_140050000_t1 | gene=PVPAM_140050000 | organism=Plasmodium_vivax_PAM | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=CASCJQ010000014:1951186-1952106(+) | protein_length=306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723576.1         -            306 9386at5820           -            279   3.5e-06   24.8   0.4   2   3   3.9e-05     0.028   12.0   0.0    10    84    91   163    83   175 0.77 | transcript=PVPAM_140050000_t1 | gene=PVPAM_140050000 | organism=Plasmodium_vivax_PAM | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=CASCJQ010000014:1951186-1952106(+) | protein_length=306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723576.1         -            306 9386at5820           -            279   3.5e-06   24.8   0.4   3   3   0.00015      0.11   10.1   0.0   201   253   229   279   216   302 0.49 | transcript=PVPAM_140050000_t1 | gene=PVPAM_140050000 | organism=Plasmodium_vivax_PAM | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=CASCJQ010000014:1951186-1952106(+) | protein_length=306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718118.1         -            380 9386at5820           -            279   4.4e-06   24.5  12.7   1   5    0.0011       0.8    7.2   0.1    17    55    16    55     8    64 0.78 | transcript=PVPAM_030011400_t1 | gene=PVPAM_030011400 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000003:302288-303767(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718118.1         -            380 9386at5820           -            279   4.4e-06   24.5  12.7   2   5     0.039        28    2.2   0.1    48    75    70    97    58   118 0.75 | transcript=PVPAM_030011400_t1 | gene=PVPAM_030011400 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000003:302288-303767(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718118.1         -            380 9386at5820           -            279   4.4e-06   24.5  12.7   3   5    0.0006      0.43    8.1   0.1     7    93   110   200   104   216 0.72 | transcript=PVPAM_030011400_t1 | gene=PVPAM_030011400 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000003:302288-303767(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718118.1         -            380 9386at5820           -            279   4.4e-06   24.5  12.7   4   5   0.00028       0.2    9.2   0.0    11    41   217   247   207   268 0.82 | transcript=PVPAM_030011400_t1 | gene=PVPAM_030011400 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000003:302288-303767(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718118.1         -            380 9386at5820           -            279   4.4e-06   24.5  12.7   5   5     0.016        11    3.4   0.7   239   277   341   379   328   380 0.90 | transcript=PVPAM_030011400_t1 | gene=PVPAM_030011400 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000003:302288-303767(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9386at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9386at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9386at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:57 2026
# [ok]
