#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721552.1         -            361 8245at5820           -            276  1.8e-135  449.1   9.8   1   2   1.7e-17   9.7e-15   53.1   0.1     1    41     5    52     5    54 0.89 | transcript=PVPAM_110045700_t1 | gene=PVPAM_110045700 | organism=Plasmodium_vivax_PAM | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=CASCJQ010000011:1691106-1693660(+) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 8245at5820           -            276   7.4e-10   37.1  14.8   5   5      0.12        69    1.2   0.1   108   121   617   630   608   635 0.85 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 8245at5820           -            276   3.6e-08   31.6   2.2   1   3       3.6   2.1e+03   -3.7   0.2   171   251    98   116    88   129 0.58 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 8245at5820           -            276   3.6e-08   31.6   2.2   2   3       1.5   8.6e+02   -2.4   0.2   221   248   259   286   247   306 0.56 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 8245at5820           -            276   3.6e-08   31.6   2.2   3   3   6.2e-11   3.6e-08   31.6   2.2   123   204   470   558   420   622 0.78 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 8245at5820           -            276   4.3e-08   31.4  11.9   1   4    0.0056       3.3    5.5   0.0   124   191    49   121    44   128 0.83 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 8245at5820           -            276   4.3e-08   31.4  11.9   2   4     0.035        20    2.9   0.0   123   159   132   168   124   181 0.84 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 8245at5820           -            276   4.3e-08   31.4  11.9   3   4   9.5e-09   5.6e-06   24.4   1.1   119   243   240   371   213   392 0.78 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 8245at5820           -            276   4.3e-08   31.4  11.9   4   4     0.058        34    2.2   0.5   149   237   607   704   591   718 0.69 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 8245at5820           -            276   6.3e-06   24.2   1.0   1   3         2   1.2e+03   -2.9   0.0   210   236   153   179   148   194 0.63 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 8245at5820           -            276   6.3e-06   24.2   1.0   2   3      0.11        67    1.2   0.1   128   164   275   311   263   324 0.82 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 8245at5820           -            276   6.3e-06   24.2   1.0   3   3   1.2e-07   7.1e-05   20.8   0.1   133   194   334   403   319   410 0.74 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723554.1         -            430 8245at5820           -            276     0.001   17.0   1.1   1   1   3.9e-06    0.0023   15.9   1.1    98   190   250   363   237   375 0.70 | transcript=PVPAM_140047800_t1 | gene=PVPAM_140047800 | organism=Plasmodium_vivax_PAM | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=CASCJQ010000014:1818666-1819958(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 8245at5820           -            276    0.0011   16.9   1.0   1   3         4   2.3e+03   -3.9   0.0   134   157   180   203   175   206 0.83 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 8245at5820           -            276    0.0011   16.9   1.0   2   3   1.8e-06    0.0011   16.9   1.0   139   194   302   363   286   397 0.79 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 8245at5820           -            276    0.0011   16.9   1.0   3   3   0.00071      0.42    8.4   0.5   122   208   327   419   324   435 0.77 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 8245at5820           -            276     0.002   16.1   9.5   1   3    0.0005      0.29    8.9   2.1   163   268    34   141    29   148 0.83 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 8245at5820           -            276     0.002   16.1   9.5   2   3   0.00036      0.21    9.4   1.4   138   190   133   189   118   193 0.75 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 8245at5820           -            276     0.002   16.1   9.5   3   3    0.0012      0.73    7.6   0.4    96   159   174   237   169   321 0.76 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722816.1         -            509 8245at5820           -            276    0.0023   15.8  17.2   1   4     0.082        48    1.7   1.3    61   176    65   186    46   188 0.62 | transcript=PVPAM_130031700_t1 | gene=PVPAM_130031700 | organism=Plasmodium_vivax_PAM | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=CASCJQ010000013:1230466-1232558(-) | protein_length=509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722816.1         -            509 8245at5820           -            276    0.0023   15.8  17.2   2   4   4.9e-06    0.0029   15.5   1.6   112   165   181   231   165   237 0.80 | transcript=PVPAM_130031700_t1 | gene=PVPAM_130031700 | organism=Plasmodium_vivax_PAM | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=CASCJQ010000013:1230466-1232558(-) | protein_length=509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722816.1         -            509 8245at5820           -            276    0.0023   15.8  17.2   3   4    0.0038       2.2    6.1   1.1   138   211   330   410   319   414 0.61 | transcript=PVPAM_130031700_t1 | gene=PVPAM_130031700 | organism=Plasmodium_vivax_PAM | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=CASCJQ010000013:1230466-1232558(-) | protein_length=509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722816.1         -            509 8245at5820           -            276    0.0023   15.8  17.2   4   4   0.00062      0.37    8.6   0.4   136   195   371   437   356   443 0.76 | transcript=PVPAM_130031700_t1 | gene=PVPAM_130031700 | organism=Plasmodium_vivax_PAM | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=CASCJQ010000013:1230466-1232558(-) | protein_length=509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 8245at5820           -            276    0.0055   14.6   5.4   1   3   1.5e-05    0.0088   13.9   0.1   124   192   120   193    84   213 0.82 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 8245at5820           -            276    0.0055   14.6   5.4   2   3      0.11        62    1.3   0.4   143   271   388   518   355   523 0.55 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 8245at5820           -            276    0.0055   14.6   5.4   3   3      0.48   2.8e+02   -0.8   0.1   122   156   533   567   522   579 0.82 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8245at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8245at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8245at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:33 2026
# [ok]
