#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721214.1         -           1127 2381at5820           -            857         0 1797.3  69.8   1   5     0.044        36    0.6   0.1     4    21    30    47    27    61 0.85 | transcript=PVPAM_110011600_t1 | gene=PVPAM_110011600 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=CASCJQ010000011:251214-254597(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720200.1         -           2078 2381at5820           -            857   8.8e-38  128.3  18.2   1   3   2.5e-28     2e-25   87.5   2.4   208   382   409   592   395   608 0.85 | transcript=PVPAM_080042200_t1 | gene=PVPAM_080042200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=CASCJQ010000008:1635658-1641894(+) | protein_length=2078 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720200.1         -           2078 2381at5820           -            857   8.8e-38  128.3  18.2   2   3   5.1e-14   4.1e-11   40.1   1.0   479   607   773   902   761   906 0.87 | transcript=PVPAM_080042200_t1 | gene=PVPAM_080042200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=CASCJQ010000008:1635658-1641894(+) | protein_length=2078 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720200.1         -           2078 2381at5820           -            857   8.8e-38  128.3  18.2   3   3   4.7e-05     0.038   10.4   1.1   615   688   976  1052   966  1108 0.87 | transcript=PVPAM_080042200_t1 | gene=PVPAM_080042200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=CASCJQ010000008:1635658-1641894(+) | protein_length=2078 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2381at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2381at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2381at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:33 2026
# [ok]
