#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723192.1         -           1608 1667at5820           -           1065         0 1935.2 147.4   1   6   5.8e-16   5.3e-13   46.4   7.8     1    50    29    79    29    87 0.95 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719256.1         -           1230 1667at5820           -           1065   4.9e-59  198.8   6.0   2   3   1.1e-16   9.9e-14   48.8   0.0   459   546   814   901   805   979 0.81 | transcript=PVPAM_060026300_t1 | gene=PVPAM_060026300 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000006:890977-895342(-) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719256.1         -           1230 1667at5820           -           1065   4.9e-59  198.8   6.0   3   3     0.054        50    0.1   0.1   863   917  1131  1182  1116  1205 0.81 | transcript=PVPAM_060026300_t1 | gene=PVPAM_060026300 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000006:890977-895342(-) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 1667at5820           -           1065   2.9e-49  166.4   5.8   1   3         7   6.5e+03  -10.4  12.9    10   112    19   129    11   143 0.69 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 1667at5820           -           1065   2.9e-49  166.4   5.8   2   3   3.2e-52   2.9e-49  166.4   5.8   139   545   381   784   365   847 0.80 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 1667at5820           -           1065   2.9e-49  166.4   5.8   3   3      0.87     8e+02   -3.9   1.6   717   718  1005  1006   955  1070 0.38 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 1667at5820           -           1065   3.2e-48  163.0   9.0   1   4   2.2e-09   2.1e-06   24.6   0.0   157   200     3    46     1    52 0.93 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 1667at5820           -           1065   3.2e-48  163.0   9.0   2   4   1.7e-23   1.5e-20   71.3   0.4   209   374    77   231    69   236 0.85 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 1667at5820           -           1065   3.2e-48  163.0   9.0   3   4   8.7e-23     8e-20   69.0   1.0   454   545   359   450   269   539 0.75 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 1667at5820           -           1065   3.2e-48  163.0   9.0   4   4      0.43     4e+02   -2.9   0.1   868   907   772   811   761   813 0.83 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720200.1         -           2078 1667at5820           -           1065   8.7e-31  105.3  17.3   1   2   1.8e-24   1.7e-21   74.6   6.7   155   334   411   587   396   616 0.82 | transcript=PVPAM_080042200_t1 | gene=PVPAM_080042200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=CASCJQ010000008:1635658-1641894(+) | protein_length=2078 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720200.1         -           2078 1667at5820           -           1065   8.7e-31  105.3  17.3   2   2   9.5e-13   8.8e-10   35.7   2.8   461   572   775   886   765   903 0.79 | transcript=PVPAM_080042200_t1 | gene=PVPAM_080042200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=CASCJQ010000008:1635658-1641894(+) | protein_length=2078 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1667at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1667at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1667at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:00 2026
# [ok]
