#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2   1  22         5   6.5e+03  -13.1  11.9    18   345   479   524   459   549 0.42 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2  12  22  5.5e-157  7.1e-154  512.9  13.7   779  1119  2206  2547  2176  2557 0.87 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2  13  22     0.016        21    0.5   0.3  1054  1085  2634  2665  2615  2677 0.78 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2  14  22     2e-05     0.026   10.2  18.4  1086  1172  2695  2781  2684  2799 0.62 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2  15  22   1.9e-10   2.4e-07   26.9  11.8  1112  1153  2896  2938  2862  2970 0.78 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2  16  22   7.1e-74   9.1e-71  237.2   3.8  1175  1321  3202  3353  3183  3356 0.92 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2  17  22   1.4e-56   1.9e-53  179.8  13.0  1320  1480  3426  3601  3420  3701 0.74 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2  18  22   4.2e-18   5.4e-15   52.3   6.7  1476  1587  3705  3823  3702  3839 0.68 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2  19  22     5e-59   6.5e-56  188.0  29.1  1546  1706  3863  4052  3815  4069 0.70 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2  20  22  3.2e-214  4.2e-211  702.7  34.5  1700  2054  4127  4493  4116  4499 0.94 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2  21  22         5   6.5e+03   -9.7  13.3   303   361  4492  4550  4480  4571 0.42 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722960.1         -           4709 171at5820            -           2190         0 2866.2 456.2  22  22   6.3e-94   8.1e-91  303.7   4.7  2062  2190  4581  4709  4576  4709 0.98 | transcript=PVPAM_130046600_t1 | gene=PVPAM_130046600 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=CASCJQ010000013:1815670-1829949(-) | protein_length=4709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 171at5820            -           2190  4.3e-221  735.8  97.9   1   9         5   6.5e+03  -15.6  22.2     6   236   224   451   219   490 0.46 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 171at5820            -           2190  4.3e-221  735.8  97.9   2   9   6.7e-47   8.6e-44  147.8   9.7   382   582   644   852   633   889 0.89 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 171at5820            -           2190  4.3e-221  735.8  97.9   3   9   8.4e-49   1.1e-45  154.1  13.1   794  1059  1093  1366  1082  1406 0.88 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 171at5820            -           2190  4.3e-221  735.8  97.9   4   9   2.5e-10   3.2e-07   26.5   2.0  1217  1362  1467  1614  1461  1643 0.85 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 171at5820            -           2190  4.3e-221  735.8  97.9   5   9     0.047        61   -1.0   3.3  1350  1403  1669  1722  1660  1756 0.74 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 171at5820            -           2190  4.3e-221  735.8  97.9   6   9      0.28   3.7e+02   -3.6   9.3  1562  1691  2032  2144  1894  2174 0.60 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 171at5820            -           2190  4.3e-221  735.8  97.9   7   9         5   6.5e+03  -34.1  36.0   314   378  2591  2655  2270  2659 0.68 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 171at5820            -           2190  4.3e-221  735.8  97.9   8   9   4.2e-93   5.5e-90  301.0  34.3  1728  2014  2694  2983  2681  2989 0.93 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 171at5820            -           2190  4.3e-221  735.8  97.9   9   9   1.1e-54   1.4e-51  173.6   7.3  2074  2188  3001  3115  2993  3117 0.96 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720306.1         -            343 171at5820            -           2190     0.052    9.2  14.3   1   1   5.1e-05     0.066    8.8  14.3   304   362    95   152    39   172 0.46 | transcript=PVPAM_090007000_t1 | gene=PVPAM_090007000 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:151890-153042(+) | protein_length=343 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723509.1         -            288 171at5820            -           2190      0.68    5.5  33.5   1   1    0.0006      0.78    5.3  33.5   149   384    41   272    10   287 0.61 | transcript=PVPAM_140043200_t1 | gene=PVPAM_140043200 | organism=Plasmodium_vivax_PAM | gene_product=male development gene 1, putative | transcript_product=male development gene 1, putative | location=CASCJQ010000014:1607593-1608459(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723224.1         -            543 171at5820            -           2190       6.5    2.2  23.7   1   1    0.0072       9.3    1.7  23.7   280   369   123   216    87   235 0.50 | transcript=PVPAM_140014300_t1 | gene=PVPAM_140014300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:442294-444287(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/171at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/171at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/171at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:23 2026
# [ok]
