#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722884.1         -            695 5083at5820           -            549         0 1015.4  47.5   1   2  1.9e-179  1.3e-176  587.2   5.1     1   289    32   332    32   336 0.97 | transcript=PVPAM_130038600_t1 | gene=PVPAM_130038600 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=CASCJQ010000013:1498834-1500921(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720739.1         -            783 5083at5820           -            549   2.6e-08   31.6   1.6   1   2        10   6.5e+03   -7.1   7.9   404   520   322   437   195   465 0.68 | transcript=PVPAM_090050400_t1 | gene=PVPAM_090050400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=CASCJQ010000009:2031131-2033769(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720739.1         -            783 5083at5820           -            549   2.6e-08   31.6   1.6   2   2     4e-11   2.6e-08   31.6   1.6     6   220   557   777   553   782 0.75 | transcript=PVPAM_090050400_t1 | gene=PVPAM_090050400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=CASCJQ010000009:2031131-2033769(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 5083at5820           -            549   4.6e-08   30.8   3.0   1   3     3e-05      0.02   12.2   0.6    38   195   122   286   108   296 0.61 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 5083at5820           -            549   4.6e-08   30.8   3.0   2   3    0.0083       5.3    4.2   0.0     6    54   365   410   360   428 0.79 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 5083at5820           -            549   4.6e-08   30.8   3.0   3   3   2.4e-05     0.015   12.5   0.0   134   196   475   537   458   580 0.89 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 5083at5820           -            549   1.1e-07   29.6   2.8   1   2   0.00044      0.28    8.4   0.1     7    98   482   582   478   601 0.63 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 5083at5820           -            549   1.1e-07   29.6   2.8   2   2     6e-08   3.9e-05   21.1   0.7   140   229   712   797   677   802 0.85 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722809.1         -            257 5083at5820           -            549   4.9e-05   20.8   0.4   1   1   4.9e-07   0.00031   18.1   0.4    36   200    38   190    32   233 0.79 | transcript=PVPAM_130031000_t1 | gene=PVPAM_130031000 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=CASCJQ010000013:1173066-1174701(+) | protein_length=257 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5083at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5083at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5083at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:15 2026
# [ok]
