#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723596.1         -           1143 1289at5820           -            955         0 1796.6  50.2   1   3  2.6e-138  2.1e-135  451.8  12.4     6   254    37   308    33   316 0.94 | transcript=PVPAM_140052000_t1 | gene=PVPAM_140052000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000014:2024732-2028715(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721203.1         -            534 1289at5820           -            955   1.6e-10   38.4   1.1   1   1   4.4e-13   3.5e-10   37.3   1.1   371   508    99   237    61   251 0.80 | transcript=PVPAM_110010500_t1 | gene=PVPAM_110010500 | organism=Plasmodium_vivax_PAM | gene_product=adenylyltransferase and sulfurtransferase UBA4, putative | transcript_product=adenylyltransferase and sulfurtransferase UBA4, putative | location=CASCJQ010000011:214629-216233(+) | protein_length=534 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720729.1         -            359 1289at5820           -            955   1.7e-10   38.3  13.4   1   2   2.2e-12   1.8e-09   35.0   6.3    13   121    10   123     2   143 0.83 | transcript=PVPAM_090049400_t1 | gene=PVPAM_090049400 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 1, putative | transcript_product=SUMO-activating enzyme subunit 1, putative | location=CASCJQ010000009:1987492-1988571(+) | protein_length=359 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720729.1         -            359 1289at5820           -            955   1.7e-10   38.3  13.4   2   2   0.00036      0.29    7.8   0.1   260   339   248   336   232   356 0.67 | transcript=PVPAM_090049400_t1 | gene=PVPAM_090049400 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 1, putative | transcript_product=SUMO-activating enzyme subunit 1, putative | location=CASCJQ010000009:1987492-1988571(+) | protein_length=359 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720545.1         -           1222 1289at5820           -            955   0.00025   18.0   0.1   1   1   4.5e-07   0.00036   17.4   0.1   370   445   754   830   746   844 0.83 | transcript=PVPAM_090031100_t1 | gene=PVPAM_090031100 | organism=Plasmodium_vivax_PAM | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=CASCJQ010000009:1186608-1190433(-) | protein_length=1222 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721855.1         -            585 1289at5820           -            955     0.036   10.8   4.1   1   1   6.2e-05      0.05   10.3   4.1    15   148     6   158     2   170 0.77 | transcript=PVPAM_120008900_t1 | gene=PVPAM_120008900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000012:166379-168136(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1289at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1289at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1289at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:10 2026
# [ok]
