#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721332.1         -            282 10295at5820          -            222  1.7e-123  408.8  22.1   1   1    1e-122  7.1e-120  396.9  22.1     1   210    24   246    24   278 0.92 | transcript=PVPAM_110023500_t1 | gene=PVPAM_110023500 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000011:776712-778978(+) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722855.1         -            378 10295at5820          -            222   6.4e-39  132.2  34.1   3   3   3.1e-20   2.2e-17   61.8   3.9    92   209   213   338   210   346 0.85 | transcript=PVPAM_130035700_t1 | gene=PVPAM_130035700 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000013:1377062-1380547(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720100.1         -            556 10295at5820          -            222   1.2e-36  124.8  59.2   1   4     9e-20   6.4e-17   60.3  13.2    89   209   204   332   126   335 0.86 | transcript=PVPAM_080032200_t1 | gene=PVPAM_080032200 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000008:1238997-1240667(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720100.1         -            556 10295at5820          -            222   1.2e-36  124.8  59.2   2   4     2e-15   1.4e-12   46.0   7.7    94   208   271   392   269   393 0.87 | transcript=PVPAM_080032200_t1 | gene=PVPAM_080032200 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000008:1238997-1240667(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720100.1         -            556 10295at5820          -            222   1.2e-36  124.8  59.2   3   4   6.2e-13   4.5e-10   37.9   8.9    94   192   337   437   335   457 0.80 | transcript=PVPAM_080032200_t1 | gene=PVPAM_080032200 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000008:1238997-1240667(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720100.1         -            556 10295at5820          -            222   1.2e-36  124.8  59.2   4   4   1.8e-08   1.3e-05   23.3   5.4    85   153   449   519   438   528 0.80 | transcript=PVPAM_080032200_t1 | gene=PVPAM_080032200 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000008:1238997-1240667(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 10295at5820          -            222   6.7e-29   99.5  37.9   1   4       1.4   9.7e+02   -2.4   1.4    13    54   117   158    98   189 0.59 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 10295at5820          -            222   6.7e-29   99.5  37.9   2   4   3.6e-16   2.6e-13   48.5  12.6    87   210   227   354   126   359 0.74 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 10295at5820          -            222   6.7e-29   99.5  37.9   3   4   5.4e-11   3.9e-08   31.6   5.7    94   185   359   457   356   468 0.76 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 10295at5820          -            222   6.7e-29   99.5  37.9   4   4   1.7e-11   1.2e-08   33.2   2.1   132   209   467   547   455   556 0.84 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722039.1         -            482 10295at5820          -            222   4.1e-24   83.8  40.7   1   4   1.6e-13   1.2e-10   39.8   3.3    79   153    66   147    27   155 0.79 | transcript=PVPAM_120027800_t1 | gene=PVPAM_120027800 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:887917-889365(-) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722039.1         -            482 10295at5820          -            222   4.1e-24   83.8  40.7   2   4   3.7e-13   2.7e-10   38.6  10.4    95   210   155   272   150   275 0.87 | transcript=PVPAM_120027800_t1 | gene=PVPAM_120027800 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:887917-889365(-) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722039.1         -            482 10295at5820          -            222   4.1e-24   83.8  40.7   3   4     8e-06    0.0057   14.7   7.7    95   168   277   353   273   356 0.78 | transcript=PVPAM_120027800_t1 | gene=PVPAM_120027800 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:887917-889365(-) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722039.1         -            482 10295at5820          -            222   4.1e-24   83.8  40.7   4   4    0.0099       7.1    4.5   0.1   113   153   370   415   365   419 0.73 | transcript=PVPAM_120027800_t1 | gene=PVPAM_120027800 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:887917-889365(-) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721966.1         -            571 10295at5820          -            222   2.1e-22   78.2  36.1   1   4   1.7e-07   0.00012   20.1   6.3    36   177   127   288    90   304 0.59 | transcript=PVPAM_120020400_t1 | gene=PVPAM_120020400 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:648418-651882(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721966.1         -            571 10295at5820          -            222   2.1e-22   78.2  36.1   2   4   2.5e-10   1.8e-07   29.4   2.8   127   211   312   402   304   407 0.82 | transcript=PVPAM_120020400_t1 | gene=PVPAM_120020400 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:648418-651882(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721966.1         -            571 10295at5820          -            222   2.1e-22   78.2  36.1   3   4   2.4e-08   1.7e-05   22.9   0.4    94   149   408   467   402   471 0.67 | transcript=PVPAM_120020400_t1 | gene=PVPAM_120020400 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:648418-651882(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721966.1         -            571 10295at5820          -            222   2.1e-22   78.2  36.1   4   4   3.8e-08   2.8e-05   22.2   4.0    93   152   472   535   467   550 0.81 | transcript=PVPAM_120020400_t1 | gene=PVPAM_120020400 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:648418-651882(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720828.1         -            250 10295at5820          -            222   1.8e-11   42.4  12.4   1   2       2.5   1.8e+03   -3.3   0.0    31    50    19    38    16    48 0.81 | transcript=PVPAM_100009300_t1 | gene=PVPAM_100009300 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000010:217576-219702(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720828.1         -            250 10295at5820          -            222   1.8e-11   42.4  12.4   2   2   2.6e-14   1.8e-11   42.4  12.4    95   210    94   219    87   229 0.86 | transcript=PVPAM_100009300_t1 | gene=PVPAM_100009300 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000010:217576-219702(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721390.1         -            185 10295at5820          -            222   0.00036   18.6   6.2   1   1     1e-06   0.00073   17.6   6.2    95   161    97   164    40   184 0.75 | transcript=PVPAM_110029300_t1 | gene=PVPAM_110029300 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000011:1053032-1054797(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10295at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10295at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10295at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:29 2026
# [ok]
