#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6   1  18  8.5e-109  5.5e-105  350.4   3.7     1   273     2   301     2   307 0.91 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717967.1         -           4518 108at5820            -           2628         0 3172.4 258.6  18  18     6e-55   3.9e-51  171.7  10.6  2518  2628  4392  4508  4375  4508 0.95 | transcript=PVPAM_020019900_t1 | gene=PVPAM_020019900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=CASCJQ010000002:618061-632522(-) | protein_length=4518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/108at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/108at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/108at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:48 2026
# [ok]
