#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720439.1         -            240 11393at5820          -            175  5.2e-105  347.6   7.7   1   1  1.4e-107  6.7e-105  347.3   7.7    13   174    78   239    72   240 0.98 | transcript=PVPAM_090020400_t1 | gene=PVPAM_090020400 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000009:741408-742611(+) | protein_length=240 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720957.1         -           1436 11393at5820          -            175   0.00083   18.1  10.0   1   4     0.088        41    2.8   0.0   129   166   343   379   324   387 0.83 | transcript=PVPAM_100022500_t1 | gene=PVPAM_100022500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000010:771459-775769(+) | protein_length=1436 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720957.1         -           1436 11393at5820          -            175   0.00083   18.1  10.0   2   4    0.0064         3    6.5   0.0    72   103   815   846   808   869 0.86 | transcript=PVPAM_100022500_t1 | gene=PVPAM_100022500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000010:771459-775769(+) | protein_length=1436 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720957.1         -           1436 11393at5820          -            175   0.00083   18.1  10.0   3   4       2.9   1.3e+03   -2.1   0.1    41    83   968  1012   955  1036 0.64 | transcript=PVPAM_100022500_t1 | gene=PVPAM_100022500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000010:771459-775769(+) | protein_length=1436 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720957.1         -           1436 11393at5820          -            175   0.00083   18.1  10.0   4   4   0.00051      0.23   10.1   2.8    48    95  1053  1102  1042  1120 0.82 | transcript=PVPAM_100022500_t1 | gene=PVPAM_100022500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000010:771459-775769(+) | protein_length=1436 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722856.1         -            799 11393at5820          -            175    0.0015   17.3   0.7   1   1     6e-06    0.0028   16.4   0.7    66   108    59   101    24   122 0.70 | transcript=PVPAM_130035800_t1 | gene=PVPAM_130035800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O3, putative | transcript_product=AP2 domain transcription factor AP2-O3, putative | location=CASCJQ010000013:1383486-1385885(+) | protein_length=799 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720715.1         -           1929 11393at5820          -            175    0.0051   15.5   0.4   1   1   3.1e-05     0.014   14.1   0.4    90   168  1794  1879  1783  1887 0.68 | transcript=PVPAM_090048000_t1 | gene=PVPAM_090048000 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O, putative | transcript_product=AP2 domain transcription factor AP2-O, putative | location=CASCJQ010000009:1938649-1944438(-) | protein_length=1929 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723339.1         -           2536 11393at5820          -            175    0.0077   14.9   0.2   1   1   4.1e-05     0.019   13.7   0.2    63   120  1261  1316  1257  1322 0.88 | transcript=PVPAM_140025800_t1 | gene=PVPAM_140025800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-FG, putative | transcript_product=AP2 domain transcription factor AP2-FG, putative | location=CASCJQ010000014:914264-921874(+) | protein_length=2536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717800.1         -           2597 11393at5820          -            175     0.011   14.4   0.0   1   1   4.5e-05     0.021   13.5   0.0   124   168  2542  2586  2528  2597 0.71 | transcript=PVPAM_010031400_t1 | gene=PVPAM_010031400 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-LT, putative | transcript_product=AP2 domain transcription factor AP2-LT, putative | location=CASCJQ010000001:1172316-1180247(+) | protein_length=2597 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721494.1         -           3994 11393at5820          -            175     0.075   11.7  10.0   1   4       9.3   4.3e+03   -3.8   0.1    31    67  2245  2282  2236  2283 0.78 | transcript=PVPAM_110039900_t1 | gene=PVPAM_110039900 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000011:1455500-1467484(-) | protein_length=3994 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721494.1         -           3994 11393at5820          -            175     0.075   11.7  10.0   2   4    0.0046       2.1    7.0   0.2   127   167  2799  2839  2776  2853 0.69 | transcript=PVPAM_110039900_t1 | gene=PVPAM_110039900 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000011:1455500-1467484(-) | protein_length=3994 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721494.1         -           3994 11393at5820          -            175     0.075   11.7  10.0   3   4    0.0011      0.52    9.0   1.1    64   118  3363  3421  3344  3436 0.79 | transcript=PVPAM_110039900_t1 | gene=PVPAM_110039900 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000011:1455500-1467484(-) | protein_length=3994 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721494.1         -           3994 11393at5820          -            175     0.075   11.7  10.0   4   4         2   9.4e+02   -1.6   0.0   123   169  3916  3963  3902  3968 0.68 | transcript=PVPAM_110039900_t1 | gene=PVPAM_110039900 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000011:1455500-1467484(-) | protein_length=3994 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 11393at5820          -            175      0.08   11.6  17.4   1   4   0.00064      0.29    9.8   0.0   123   171   189   237   141   243 0.84 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 11393at5820          -            175      0.08   11.6  17.4   2   4    0.0004      0.19   10.4   0.3    64   111   286   333   276   352 0.72 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 11393at5820          -            175      0.08   11.6  17.4   3   4       4.3     2e+03   -2.7   0.1    85   129  1980  2024  1968  2031 0.79 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 11393at5820          -            175      0.08   11.6  17.4   4   4      0.16        73    2.0   0.2   112   174  2514  2572  2498  2573 0.83 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721591.1         -           1934 11393at5820          -            175     0.087   11.5   4.0   1   2    0.0014      0.64    8.7   0.5    72   112   104   144    91   177 0.84 | transcript=PVPAM_110049600_t1 | gene=PVPAM_110049600 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000011:1856794-1862598(+) | protein_length=1934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721591.1         -           1934 11393at5820          -            175     0.087   11.5   4.0   2   2     0.053        25    3.5   0.2    70   108   178   216   171   222 0.87 | transcript=PVPAM_110049600_t1 | gene=PVPAM_110049600 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000011:1856794-1862598(+) | protein_length=1934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11393at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11393at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11393at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:21 2026
# [ok]
