#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721160.1         -            176 12801at5820          -            151   7.2e-90  297.2  15.0   1   1   1.3e-92   8.3e-90  297.0  15.0     1   151     1   157     1   157 0.97 | transcript=PVPAM_110006200_t1 | gene=PVPAM_110006200 | organism=Plasmodium_vivax_PAM | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=CASCJQ010000011:47761-49104(+) | protein_length=176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722365.1         -            361 12801at5820          -            151   8.7e-07   27.5  31.5   4   5      0.16   1.1e+02    1.3   2.7    62   112   192   244   168   264 0.51 | transcript=PVPAM_120060100_t1 | gene=PVPAM_120060100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000012:2228762-2229847(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722365.1         -            361 12801at5820          -            151   8.7e-07   27.5  31.5   5   5      0.78     5e+02   -0.9   1.0    38    73   238   271   218   279 0.57 | transcript=PVPAM_120060100_t1 | gene=PVPAM_120060100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000012:2228762-2229847(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718799.1         -            198 12801at5820          -            151   8.9e-07   27.5   9.1   1   3   0.00097      0.63    8.5   0.5    72   122    41    90    26    96 0.82 | transcript=PVPAM_050019300_t1 | gene=PVPAM_050019300 | organism=Plasmodium_vivax_PAM | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=CASCJQ010000005:638781-640263(+) | protein_length=198 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718799.1         -            198 12801at5820          -            151   8.9e-07   27.5   9.1   2   3     4e-07   0.00026   19.5   0.5    45    96   104   156    92   160 0.89 | transcript=PVPAM_050019300_t1 | gene=PVPAM_050019300 | organism=Plasmodium_vivax_PAM | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=CASCJQ010000005:638781-640263(+) | protein_length=198 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718799.1         -            198 12801at5820          -            151   8.9e-07   27.5   9.1   3   3     0.025        16    3.9   0.1   120   151   160   192   157   192 0.80 | transcript=PVPAM_050019300_t1 | gene=PVPAM_050019300 | organism=Plasmodium_vivax_PAM | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=CASCJQ010000005:638781-640263(+) | protein_length=198 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722197.1         -            250 12801at5820          -            151   3.6e-05   22.3   1.5   1   3      0.54   3.5e+02   -0.4   1.3    43    83    76   117    40   130 0.61 | transcript=PVPAM_120043500_t1 | gene=PVPAM_120043500 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000012:1514490-1515585(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722197.1         -            250 12801at5820          -            151   3.6e-05   22.3   1.5   2   3   2.3e-05     0.015   13.8   5.2    13    97   111   202   102   208 0.76 | transcript=PVPAM_120043500_t1 | gene=PVPAM_120043500 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000012:1514490-1515585(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722197.1         -            250 12801at5820          -            151   3.6e-05   22.3   1.5   3   3   5.5e-08   3.6e-05   22.3   1.5    82   149   162   234   156   236 0.82 | transcript=PVPAM_120043500_t1 | gene=PVPAM_120043500 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000012:1514490-1515585(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723619.1         -            438 12801at5820          -            151    0.0018   16.8   9.9   1   2   2.8e-06    0.0018   16.8   9.9    19   150    24   159     1   160 0.82 | transcript=PVPAM_140054300_t1 | gene=PVPAM_140054300 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000014:2119853-2121416(-) | protein_length=438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723619.1         -            438 12801at5820          -            151    0.0018   16.8   9.9   2   2         3   1.9e+03   -2.8   0.1    34    59   280   305   269   327 0.68 | transcript=PVPAM_140054300_t1 | gene=PVPAM_140054300 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000014:2119853-2121416(-) | protein_length=438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12801at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12801at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12801at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:55 2026
# [ok]
