#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719197.1         -            181 13164at5820          -            130   4.3e-74  245.5   3.0   1   1   1.6e-76   5.7e-74  245.1   3.0     8   130    57   181    53   181 0.97 | transcript=PVPAM_060020400_t1 | gene=PVPAM_060020400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000006:677528-678073(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 13164at5820          -            130   1.8e-07   30.1   4.5   4   4    0.0035       1.3    7.9   0.1    21    94   443   515   428   524 0.78 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 13164at5820          -            130   5.8e-06   25.2   0.1   1   3   0.00021     0.074   11.9   0.0    34    91    95   152    86   159 0.90 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 13164at5820          -            130   5.8e-06   25.2   0.1   2   3    0.0018      0.63    8.9   0.0    21    91   181   251   170   263 0.83 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 13164at5820          -            130   5.8e-06   25.2   0.1   3   3       1.1   4.1e+02   -0.2   0.0    67    92   412   437   389   466 0.81 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723587.1         -            110 13164at5820          -            130   1.5e-05   23.9   0.1   1   1   4.8e-08   1.7e-05   23.7   0.1    29   105    16    90     4   104 0.86 | transcript=PVPAM_140051100_t1 | gene=PVPAM_140051100 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=CASCJQ010000014:1989748-1990335(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 13164at5820          -            130   2.5e-05   23.1   0.0   1   2   4.4e-05     0.016   14.1   0.0    27    93     7    72     2    98 0.83 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 13164at5820          -            130   2.5e-05   23.1   0.0   2   2    0.0068       2.4    7.0   0.0    34   100   162   227   156   239 0.84 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721256.1         -            181 13164at5820          -            130   0.00034   19.5   0.6   1   1   1.5e-06   0.00055   18.8   0.3    33   100    56   123    43   149 0.87 | transcript=PVPAM_110015800_t1 | gene=PVPAM_110015800 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:440296-441618(+) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719680.1         -            202 13164at5820          -            130   0.00043   19.1   0.0   1   2       4.8   1.7e+03   -2.2   0.0    33    51    18    36     5    47 0.69 | transcript=PVPAM_070029400_t1 | gene=PVPAM_070029400 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=CASCJQ010000007:1062772-1064247(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719680.1         -            202 13164at5820          -            130   0.00043   19.1   0.0   2   2   2.9e-06     0.001   17.9   0.0    15   100    59   143    48   149 0.88 | transcript=PVPAM_070029400_t1 | gene=PVPAM_070029400 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=CASCJQ010000007:1062772-1064247(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721566.1         -            747 13164at5820          -            130   0.00057   18.7   7.1   1   3    0.0019      0.69    8.8   0.2    19    57   200   239   184   272 0.63 | transcript=PVPAM_110047100_t1 | gene=PVPAM_110047100 | organism=Plasmodium_vivax_PAM | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=CASCJQ010000011:1758675-1761668(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721566.1         -            747 13164at5820          -            130   0.00057   18.7   7.1   2   3     0.014       4.9    6.0   0.2    58   111   431   484   393   494 0.84 | transcript=PVPAM_110047100_t1 | gene=PVPAM_110047100 | organism=Plasmodium_vivax_PAM | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=CASCJQ010000011:1758675-1761668(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721566.1         -            747 13164at5820          -            130   0.00057   18.7   7.1   3   3     0.012       4.3    6.2   0.1    37   100   678   740   642   745 0.81 | transcript=PVPAM_110047100_t1 | gene=PVPAM_110047100 | organism=Plasmodium_vivax_PAM | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=CASCJQ010000011:1758675-1761668(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 13164at5820          -            130   0.00064   18.6   1.3   1   2       2.4   8.7e+02   -1.3   0.1    30    90    23    83     6    89 0.63 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 13164at5820          -            130   0.00064   18.6   1.3   2   2   3.1e-06    0.0011   17.8   0.2    38   101   118   180   107   191 0.80 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719174.1         -           1549 13164at5820          -            130   0.00085   18.2   1.1   1   2   7.3e-05     0.026   13.4   0.6     5    93   308   391   305   412 0.83 | transcript=PVPAM_060018100_t1 | gene=PVPAM_060018100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein UIS12, putative | transcript_product=RNA-binding protein UIS12, putative | location=CASCJQ010000006:567674-572458(+) | protein_length=1549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719174.1         -           1549 13164at5820          -            130   0.00085   18.2   1.1   2   2      0.16        58    2.6   0.0    64   100   472   508   431   521 0.71 | transcript=PVPAM_060018100_t1 | gene=PVPAM_060018100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein UIS12, putative | transcript_product=RNA-binding protein UIS12, putative | location=CASCJQ010000006:567674-572458(+) | protein_length=1549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717992.1         -            531 13164at5820          -            130    0.0031   16.4   5.2   1   2   0.00022     0.078   11.8   1.4     9    95   231   322   217   338 0.67 | transcript=PVPAM_020022400_t1 | gene=PVPAM_020022400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000002:741114-743829(-) | protein_length=531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717992.1         -            531 13164at5820          -            130    0.0031   16.4   5.2   2   2     0.031        11    4.8   0.1    53   101   413   461   393   466 0.85 | transcript=PVPAM_020022400_t1 | gene=PVPAM_020022400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000002:741114-743829(-) | protein_length=531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718881.1         -            269 13164at5820          -            130    0.0031   16.3   2.0   1   2         3   1.1e+03   -1.6   0.1    51    65    63    77    41   105 0.66 | transcript=PVPAM_050027300_t1 | gene=PVPAM_050027300 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=CASCJQ010000005:938613-940758(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718881.1         -            269 13164at5820          -            130    0.0031   16.3   2.0   2   2   1.2e-05    0.0044   15.9   0.2    27    95   188   256   167   262 0.75 | transcript=PVPAM_050027300_t1 | gene=PVPAM_050027300 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=CASCJQ010000005:938613-940758(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719800.1         -            192 13164at5820          -            130    0.0068   15.3   0.1   1   1   4.2e-05     0.015   14.1   0.1    59   101    43    85    10   108 0.83 | transcript=PVPAM_070041400_t1 | gene=PVPAM_070041400 | organism=Plasmodium_vivax_PAM | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=CASCJQ010000007:1480328-1480906(-) | protein_length=192 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722430.1         -            786 13164at5820          -            130     0.012   14.4   1.9   1   2   5.6e-05      0.02   13.7   0.2    26   101    28   103     8   114 0.73 | transcript=PVPAM_120066700_t1 | gene=PVPAM_120066700 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000012:2518224-2521284(-) | protein_length=786 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722430.1         -            786 13164at5820          -            130     0.012   14.4   1.9   2   2       3.8   1.4e+03   -1.9   0.1    42    85   443   485   436   496 0.71 | transcript=PVPAM_120066700_t1 | gene=PVPAM_120066700 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000012:2518224-2521284(-) | protein_length=786 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721509.1         -            234 13164at5820          -            130     0.023   13.5   0.5   1   2       2.6   9.4e+02   -1.4   0.1    88   107    31    50    20    72 0.63 | transcript=PVPAM_110041400_t1 | gene=PVPAM_110041400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1513802-1514506(-) | protein_length=234 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721509.1         -            234 13164at5820          -            130     0.023   13.5   0.5   2   2   6.5e-05     0.023   13.5   0.5    39   101   167   229   155   234 0.85 | transcript=PVPAM_110041400_t1 | gene=PVPAM_110041400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1513802-1514506(-) | protein_length=234 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721338.1         -            670 13164at5820          -            130     0.063   12.1   6.5   1   3       0.7   2.5e+02    0.5   0.3    53    97    54    98    35   120 0.72 | transcript=PVPAM_110024100_t1 | gene=PVPAM_110024100 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 3, putative | transcript_product=polyadenylate-binding protein 3, putative | location=CASCJQ010000011:819435-821447(-) | protein_length=670 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721338.1         -            670 13164at5820          -            130     0.063   12.1   6.5   2   3   0.00021     0.076   11.9   0.1    30    89   134   194   122   205 0.84 | transcript=PVPAM_110024100_t1 | gene=PVPAM_110024100 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 3, putative | transcript_product=polyadenylate-binding protein 3, putative | location=CASCJQ010000011:819435-821447(-) | protein_length=670 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721338.1         -            670 13164at5820          -            130     0.063   12.1   6.5   3   3      0.55     2e+02    0.8   0.1   104   126   454   476   445   480 0.84 | transcript=PVPAM_110024100_t1 | gene=PVPAM_110024100 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 3, putative | transcript_product=polyadenylate-binding protein 3, putative | location=CASCJQ010000011:819435-821447(-) | protein_length=670 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13164at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13164at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13164at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:56 2026
# [ok]
