#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722264.1         -           1071 1552at5820           -            902         0 1844.9  36.4   1   3  4.9e-303  4.5e-300  996.3  10.8     1   451    31   490    31   496 0.99 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719304.1         -            886 1552at5820           -            902     2e-07   27.9  21.1   3   5     0.025        23    1.3   0.1   371   434   369   435   351   445 0.81 | transcript=PVPAM_060031100_t1 | gene=PVPAM_060031100 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000006:1063954-1066614(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719304.1         -            886 1552at5820           -            902     2e-07   27.9  21.1   4   5   1.6e-09   1.5e-06   25.1   0.1   469   561   440   529   435   550 0.82 | transcript=PVPAM_060031100_t1 | gene=PVPAM_060031100 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000006:1063954-1066614(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719304.1         -            886 1552at5820           -            902     2e-07   27.9  21.1   5   5       1.5   1.3e+03   -4.6   0.9   720   786   670   738   614   757 0.63 | transcript=PVPAM_060031100_t1 | gene=PVPAM_060031100 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000006:1063954-1066614(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723310.1         -            123 1552at5820           -            902     0.015   11.8   1.0   1   1   1.9e-05     0.017   11.6   1.0   617   707    15   103     6   115 0.83 | transcript=PVPAM_140022900_t1 | gene=PVPAM_140022900 | organism=Plasmodium_vivax_PAM | gene_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJZ0] | transcript_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJZ0] | location=CASCJQ010000014:802397-802939(-) | protein_length=123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1552at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1552at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1552at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:24 2026
# [ok]
