#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722682.1         -            147 14117at5820          -            146  6.5e-104  342.6   2.0   1   1  1.6e-106  7.3e-104  342.4   2.0     1   146     1   147     1   147 0.99 | transcript=PVPAM_130018300_t1 | gene=PVPAM_130018300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000013:601598-603216(+) | protein_length=147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723003.1         -            301 14117at5820          -            146   1.2e-13   49.8   0.0   1   2       1.4   6.3e+02   -1.3   0.0    63    91    48    76    41   121 0.76 | transcript=PVPAM_130050900_t1 | gene=PVPAM_130050900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000013:2018252-2020428(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723003.1         -            301 14117at5820          -            146   1.2e-13   49.8   0.0   2   2   9.6e-16   4.4e-13   47.9   0.1    32   112   186   268   158   285 0.84 | transcript=PVPAM_130050900_t1 | gene=PVPAM_130050900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000013:2018252-2020428(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720245.1         -            139 14117at5820          -            146   5.1e-08   31.5   0.0   1   1   1.2e-10   5.7e-08   31.3   0.0    27   107    35   120     6   135 0.78 | transcript=PVPAM_080046800_t1 | gene=PVPAM_080046800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme MMS2, putative | transcript_product=ubiquitin-conjugating enzyme MMS2, putative | location=CASCJQ010000008:1810676-1811529(+) | protein_length=139 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723771.1         -            624 14117at5820          -            146   0.00078   17.9   0.0   1   1   3.1e-06    0.0014   17.0   0.0    10   104   177   273   170   313 0.78 | transcript=PVPAM_140069400_t1 | gene=PVPAM_140069400 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000014:2747070-2748944(+) | protein_length=624 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14117at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14117at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14117at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:30 2026
# [ok]
