#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720996.1         -            207 11589at5820          -            176    3e-112  370.7   7.8   1   1  9.1e-115  3.4e-112  370.5   7.8     1   176     1   180     1   180 0.98 | transcript=PVPAM_100026500_t1 | gene=PVPAM_100026500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=CASCJQ010000010:930208-930831(+) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718501.1         -            245 11589at5820          -            176   6.3e-29   99.4   3.0   2   2   8.8e-23   3.3e-20   70.9   1.0    60   172   102   214    85   219 0.93 | transcript=PVPAM_040024500_t1 | gene=PVPAM_040024500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=CASCJQ010000004:818004-818741(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720460.1         -            214 11589at5820          -            176   4.9e-22   76.9   0.0   1   1   1.6e-24   6.2e-22   76.6   0.0     6   168     3   166     1   171 0.84 | transcript=PVPAM_090022500_t1 | gene=PVPAM_090022500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=CASCJQ010000009:817557-818377(-) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719162.1         -            181 11589at5820          -            176   2.3e-11   42.2   0.1   1   1   6.7e-14   2.5e-11   42.0   0.1    14   132    19   137     6   179 0.79 | transcript=PVPAM_060016900_t1 | gene=PVPAM_060016900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=CASCJQ010000006:496902-498230(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719302.1         -            178 11589at5820          -            176   9.5e-11   40.1   0.2   1   1     3e-13   1.1e-10   39.9   0.2    14   137    19   142    10   176 0.77 | transcript=PVPAM_060030900_t1 | gene=PVPAM_060030900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000006:1057886-1058422(+) | protein_length=178 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722466.1         -            185 11589at5820          -            176   2.8e-10   38.6   1.2   1   1   9.3e-13   3.6e-10   38.3   1.2    13   146    17   150     8   172 0.85 | transcript=PVPAM_120070300_t1 | gene=PVPAM_120070300 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000012:2691630-2692449(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718946.1         -            191 11589at5820          -            176   1.1e-06   26.9   0.0   1   1   4.2e-09   1.6e-06   26.4   0.0    14   127    22   135    18   145 0.80 | transcript=PVPAM_050033800_t1 | gene=PVPAM_050033800 | organism=Plasmodium_vivax_PAM | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=CASCJQ010000005:1177280-1178271(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721464.1         -            453 11589at5820          -            176   0.00068   17.8   0.2   1   2    0.0082       3.1    5.9   0.0    14    41     5    31     3    40 0.80 | transcript=PVPAM_110036900_t1 | gene=PVPAM_110036900 | organism=Plasmodium_vivax_PAM | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=CASCJQ010000011:1341764-1343125(+) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721464.1         -            453 11589at5820          -            176   0.00068   17.8   0.2   2   2    0.0007      0.27    9.4   0.0    63   102   160   199   150   210 0.83 | transcript=PVPAM_110036900_t1 | gene=PVPAM_110036900 | organism=Plasmodium_vivax_PAM | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=CASCJQ010000011:1341764-1343125(+) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11589at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11589at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11589at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:37 2026
# [ok]
