#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719800.1         -            192 12097at5820          -            172   5.9e-98  324.3   3.6   1   1  2.8e-100   1.1e-97  323.4   3.6     1   172     1   190     1   190 0.95 | transcript=PVPAM_070041400_t1 | gene=PVPAM_070041400 | organism=Plasmodium_vivax_PAM | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=CASCJQ010000007:1480328-1480906(-) | protein_length=192 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 12097at5820          -            172   1.2e-09   36.9   2.4   2   2   3.5e-10   1.4e-07   30.1   0.3    12    91   109   187    98   202 0.82 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723587.1         -            110 12097at5820          -            172   8.4e-05   21.1   0.1   1   1   2.4e-07   9.6e-05   20.9   0.1    10    91    14    93     6   109 0.76 | transcript=PVPAM_140051100_t1 | gene=PVPAM_140051100 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=CASCJQ010000014:1989748-1990335(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723375.1         -            124 12097at5820          -            172   9.4e-05   20.9   1.0   1   1   2.5e-07    0.0001   20.8   1.0     9    91     7    89     1   117 0.76 | transcript=PVPAM_140029400_t1 | gene=PVPAM_140029400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:1055808-1056679(-) | protein_length=124 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 12097at5820          -            172   0.00022   19.7   0.0   1   2      0.05        20    3.5   0.0   106   142     6    42     2    74 0.85 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 12097at5820          -            172   0.00022   19.7   0.0   2   2     4e-05     0.016   13.6   0.0    29    93   170   237   158   247 0.86 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722140.1         -           1026 12097at5820          -            172   0.00031   19.2   0.6   1   3     0.026        10    4.5   0.1    19    88   644   713   632   726 0.67 | transcript=PVPAM_120037800_t1 | gene=PVPAM_120037800 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=CASCJQ010000012:1308793-1312028(-) | protein_length=1026 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722140.1         -           1026 12097at5820          -            172   0.00031   19.2   0.6   2   3    0.0032       1.3    7.4   0.0    29    92   752   819   723   837 0.78 | transcript=PVPAM_120037800_t1 | gene=PVPAM_120037800 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=CASCJQ010000012:1308793-1312028(-) | protein_length=1026 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722140.1         -           1026 12097at5820          -            172   0.00031   19.2   0.6   3   3      0.04        16    3.9   0.0    33    79   963  1009   953  1019 0.86 | transcript=PVPAM_120037800_t1 | gene=PVPAM_120037800 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=CASCJQ010000012:1308793-1312028(-) | protein_length=1026 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 12097at5820          -            172   0.00046   18.6   0.3   1   2     0.021       8.6    4.7   0.0    28    60   132   168   121   204 0.75 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 12097at5820          -            172   0.00046   18.6   0.3   2   2   0.00011     0.046   12.2   0.0    27    89   215   279   186   298 0.77 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723701.1         -            511 12097at5820          -            172   0.00055   18.4   1.0   1   3         2   7.9e+02   -1.6   0.1   108   129    17    38     9    70 0.69 | transcript=PVPAM_140062500_t1 | gene=PVPAM_140062500 | organism=Plasmodium_vivax_PAM | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=CASCJQ010000014:2486249-2487784(-) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723701.1         -            511 12097at5820          -            172   0.00055   18.4   1.0   2   3       6.4   2.6e+03   -3.3   0.0     8    19   387   398   384   404 0.80 | transcript=PVPAM_140062500_t1 | gene=PVPAM_140062500 | organism=Plasmodium_vivax_PAM | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=CASCJQ010000014:2486249-2487784(-) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723701.1         -            511 12097at5820          -            172   0.00055   18.4   1.0   3   3   1.4e-06   0.00055   18.4   1.0    30    87   444   504   403   509 0.88 | transcript=PVPAM_140062500_t1 | gene=PVPAM_140062500 | organism=Plasmodium_vivax_PAM | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=CASCJQ010000014:2486249-2487784(-) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718164.1         -           1036 12097at5820          -            172   0.00082   17.8   2.8   1   2       2.2   8.9e+02   -1.8   0.0    10    30   543   563   534   572 0.72 | transcript=PVPAM_030016400_t1 | gene=PVPAM_030016400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000003:489092-492202(+) | protein_length=1036 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718164.1         -           1036 12097at5820          -            172   0.00082   17.8   2.8   2   2   2.2e-06   0.00087   17.7   0.8    51   114   958  1022   954  1026 0.91 | transcript=PVPAM_030016400_t1 | gene=PVPAM_030016400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000003:489092-492202(+) | protein_length=1036 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720476.1         -            316 12097at5820          -            172    0.0015   16.9   0.0   1   1   5.5e-06    0.0022   16.4   0.0    29   137    85   200    69   206 0.86 | transcript=PVPAM_090024100_t1 | gene=PVPAM_090024100 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor U2AF small subunit, putative | transcript_product=splicing factor U2AF small subunit, putative | location=CASCJQ010000009:871813-872763(-) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723072.1         -            107 12097at5820          -            172    0.0084   14.6   0.0   1   1   2.5e-05      0.01   14.3   0.0    30    88    39   101    25   106 0.79 | transcript=PVPAM_130057800_t1 | gene=PVPAM_130057800 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=CASCJQ010000013:2343283-2343975(-) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719650.1         -            480 12097at5820          -            172     0.019   13.4   8.8   1   4   0.00039      0.16   10.4   0.0   107   149   100   147    87   157 0.79 | transcript=PVPAM_070026400_t1 | gene=PVPAM_070026400 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=CASCJQ010000007:946281-947918(+) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719650.1         -            480 12097at5820          -            172     0.019   13.4   8.8   2   4       3.2   1.3e+03   -2.3   0.0    22    49   188   215   171   219 0.68 | transcript=PVPAM_070026400_t1 | gene=PVPAM_070026400 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=CASCJQ010000007:946281-947918(+) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719650.1         -            480 12097at5820          -            172     0.019   13.4   8.8   3   4      0.18        74    1.7   1.6    78   131   277   332   269   348 0.76 | transcript=PVPAM_070026400_t1 | gene=PVPAM_070026400 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=CASCJQ010000007:946281-947918(+) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719650.1         -            480 12097at5820          -            172     0.019   13.4   8.8   4   4     0.014       5.6    5.3   1.8     8    67   306   368   299   384 0.68 | transcript=PVPAM_070026400_t1 | gene=PVPAM_070026400 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=CASCJQ010000007:946281-947918(+) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720107.1         -            299 12097at5820          -            172     0.025   13.0   0.0   1   1   0.00011     0.045   12.2   0.0    12    84    38   110    30   151 0.79 | transcript=PVPAM_080032900_t1 | gene=PVPAM_080032900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000008:1265540-1266874(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12097at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12097at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12097at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:38 2026
# [ok]
