#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719139.1         -           1608 1282at5820           -            992         0 1370.6  32.2   1   9   3.1e-57   3.4e-54  182.8   0.0     1   162     1   206     1   214 0.81 | transcript=PVPAM_060014600_t1 | gene=PVPAM_060014600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=CASCJQ010000006:393736-398562(-) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720601.1         -           2386 1282at5820           -            992    0.0042   13.7   3.3   2   3    0.0025       2.7    4.4   0.1   309   336  1487  1514  1483  1529 0.86 | transcript=PVPAM_090036500_t1 | gene=PVPAM_090036500 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1392224-1399384(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720601.1         -           2386 1282at5820           -            992    0.0042   13.7   3.3   3   3      0.28     3e+02   -2.4   0.1   746   776  2164  2194  2159  2197 0.92 | transcript=PVPAM_090036500_t1 | gene=PVPAM_090036500 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1392224-1399384(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1282at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1282at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1282at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:58 2026
# [ok]
