#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719934.1         -           1247 1423at5820           -            976         0 1996.0  49.1   1   5   1.1e-08   6.2e-06   22.9   2.0     1    24     1    24     1    30 0.93 | transcript=PVPAM_080015700_t1 | gene=PVPAM_080015700 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=CASCJQ010000008:529541-533284(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723402.1         -            771 1423at5820           -            976   8.6e-18   62.1   7.5   2   3   1.5e-15   8.6e-13   45.6   0.8   179   257   154   233   145   239 0.91 | transcript=PVPAM_140032400_t1 | gene=PVPAM_140032400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=CASCJQ010000014:1182290-1184605(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723402.1         -            771 1423at5820           -            976   8.6e-18   62.1   7.5   3   3    0.0027       1.6    5.0   0.2   481   652   378   552   368   564 0.67 | transcript=PVPAM_140032400_t1 | gene=PVPAM_140032400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=CASCJQ010000014:1182290-1184605(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723669.1         -            775 1423at5820           -            976   2.5e-17   60.6   9.3   1   3   8.3e-08   4.9e-05   19.9   0.5    98   256    40   176    31   182 0.73 | transcript=PVPAM_140059300_t1 | gene=PVPAM_140059300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000014:2342075-2344402(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723669.1         -            775 1423at5820           -            976   2.5e-17   60.6   9.3   2   3   4.2e-07   0.00024   17.6   0.4   518   661   432   570   408   616 0.80 | transcript=PVPAM_140059300_t1 | gene=PVPAM_140059300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000014:2342075-2344402(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723669.1         -            775 1423at5820           -            976   2.5e-17   60.6   9.3   3   3     9e-08   5.3e-05   19.8   0.1   778   920   631   769   602   772 0.80 | transcript=PVPAM_140059300_t1 | gene=PVPAM_140059300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000014:2342075-2344402(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719557.1         -            910 1423at5820           -            976     5e-13   46.4  12.6   1   3   0.00014     0.082    9.2   0.0    97   125   189   217   186   240 0.82 | transcript=PVPAM_070017100_t1 | gene=PVPAM_070017100 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000007:614121-616853(+) | protein_length=910 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719557.1         -            910 1423at5820           -            976     5e-13   46.4  12.6   2   3     3e-15   1.7e-12   44.6   2.3   178   316   238   381   218   396 0.77 | transcript=PVPAM_070017100_t1 | gene=PVPAM_070017100 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000007:614121-616853(+) | protein_length=910 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719557.1         -            910 1423at5820           -            976     5e-13   46.4  12.6   3   3      0.87   5.1e+02   -3.3   1.3    97   202   740   846   715   865 0.72 | transcript=PVPAM_070017100_t1 | gene=PVPAM_070017100 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000007:614121-616853(+) | protein_length=910 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721609.1         -            920 1423at5820           -            976   1.5e-08   31.6  14.8   1   4   1.2e-09   6.9e-07   26.0   0.3   186   275   166   253    79   276 0.73 | transcript=PVPAM_110051300_t1 | gene=PVPAM_110051300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000011:1932145-1935382(+) | protein_length=920 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721609.1         -            920 1423at5820           -            976   1.5e-08   31.6  14.8   2   4      0.25   1.5e+02   -1.5   0.7   353   396   289   332   259   391 0.49 | transcript=PVPAM_110051300_t1 | gene=PVPAM_110051300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000011:1932145-1935382(+) | protein_length=920 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721609.1         -            920 1423at5820           -            976   1.5e-08   31.6  14.8   3   4   0.00028      0.17    8.2   0.6   509   661   510   657   456   684 0.73 | transcript=PVPAM_110051300_t1 | gene=PVPAM_110051300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000011:1932145-1935382(+) | protein_length=920 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721609.1         -            920 1423at5820           -            976   1.5e-08   31.6  14.8   4   4     0.052        30    0.7   0.0   784   915   780   908   744   916 0.73 | transcript=PVPAM_110051300_t1 | gene=PVPAM_110051300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000011:1932145-1935382(+) | protein_length=920 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 1423at5820           -            976   2.5e-07   27.5   1.6   1   2   1.1e-09   6.3e-07   26.2   0.4   185   263    82   159    68   172 0.87 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 1423at5820           -            976   2.5e-07   27.5   1.6   2   2      0.13        74   -0.6   0.0   830   908  1012  1094   889  1098 0.71 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721562.1         -           1016 1423at5820           -            976     4e-07   26.8   0.8   1   2     0.045        27    0.9   0.0   102   121   435   454   428   476 0.86 | transcript=PVPAM_110046700_t1 | gene=PVPAM_110046700 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000011:1732633-1735683(-) | protein_length=1016 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721562.1         -           1016 1423at5820           -            976     4e-07   26.8   0.8   2   2   4.6e-09   2.7e-06   24.1   0.2   181   263   483   565   465   606 0.85 | transcript=PVPAM_110046700_t1 | gene=PVPAM_110046700 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000011:1732633-1735683(-) | protein_length=1016 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720970.1         -           1376 1423at5820           -            976   1.8e-05   21.3   2.6   1   2     0.062        36    0.5   0.1   102   137   771   807   763   816 0.69 | transcript=PVPAM_100023800_t1 | gene=PVPAM_100023800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2 | transcript_product=translation initiation factor IF-2 | location=CASCJQ010000010:834489-838619(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720970.1         -           1376 1423at5820           -            976   1.8e-05   21.3   2.6   2   2   5.3e-08   3.1e-05   20.5   0.8   187   302   811   927   801   944 0.86 | transcript=PVPAM_100023800_t1 | gene=PVPAM_100023800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2 | transcript_product=translation initiation factor IF-2 | location=CASCJQ010000010:834489-838619(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722048.1         -            456 1423at5820           -            976    0.0046   13.4   0.4   1   2     0.027        16    1.6   0.1   101   127    74   100    67   130 0.69 | transcript=PVPAM_120028600_t1 | gene=PVPAM_120028600 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:912230-913600(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722048.1         -            456 1423at5820           -            976    0.0046   13.4   0.4   2   2   8.1e-05     0.048   10.0   0.0   191   257   133   200   104   210 0.82 | transcript=PVPAM_120028600_t1 | gene=PVPAM_120028600 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:912230-913600(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1423at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1423at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1423at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:52 2026
# [ok]
