#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720719.1         -            985 4693at5820           -            548  3.8e-205  681.3  51.3   1   5     1e-24   9.6e-22   75.9   0.0     5    79     8   101     5   104 0.84 | transcript=PVPAM_090048400_t1 | gene=PVPAM_090048400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1957347-1960495(-) | protein_length=985 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721291.1         -            479 4693at5820           -            548   1.7e-17   61.9  21.0   2   3   0.00045      0.42    7.8   0.3   162   196   242   276   217   281 0.86 | transcript=PVPAM_110019300_t1 | gene=PVPAM_110019300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000011:610069-611508(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721291.1         -            479 4693at5820           -            548   1.7e-17   61.9  21.0   3   3   2.8e-07   0.00025   18.4   1.5   116   212   305   407   300   453 0.81 | transcript=PVPAM_110019300_t1 | gene=PVPAM_110019300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000011:610069-611508(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 4693at5820           -            548   1.8e-15   55.2  10.9   1   4   3.9e-07   0.00036   17.9   0.2    84   193    70   188    61   194 0.70 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 4693at5820           -            548   1.8e-15   55.2  10.9   2   4   1.4e-10   1.3e-07   29.2   0.1   119   196   218   302   211   308 0.84 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 4693at5820           -            548   1.8e-15   55.2  10.9   3   4     1e-09   9.6e-07   26.4   1.5   115   194   268   359   261   384 0.74 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 4693at5820           -            548   1.8e-15   55.2  10.9   4   4   1.5e-05     0.014   12.7   1.9   115   160   327   375   306   417 0.52 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717735.1         -            686 4693at5820           -            548     1e-13   49.4  12.8   1   4    0.0018       1.7    5.8   0.0   118   147    40    69    32    81 0.87 | transcript=PVPAM_010024900_t1 | gene=PVPAM_010024900 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000001:906783-908843(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717735.1         -            686 4693at5820           -            548     1e-13   49.4  12.8   2   4     0.002       1.9    5.6   0.1   116   256    95   121    73   126 0.64 | transcript=PVPAM_010024900_t1 | gene=PVPAM_010024900 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000001:906783-908843(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717735.1         -            686 4693at5820           -            548     1e-13   49.4  12.8   3   4   6.5e-12     6e-09   33.7   4.2   115   259   175   324   172   328 0.79 | transcript=PVPAM_010024900_t1 | gene=PVPAM_010024900 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000001:906783-908843(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717735.1         -            686 4693at5820           -            548     1e-13   49.4  12.8   4   4   0.00064      0.59    7.3   0.0   111   142   340   373   325   383 0.62 | transcript=PVPAM_010024900_t1 | gene=PVPAM_010024900 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000001:906783-908843(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720637.1         -            965 4693at5820           -            548   5.8e-07   27.1  25.7   1   5   2.6e-05     0.024   11.9   4.1   111   196    29   119    11   135 0.69 | transcript=PVPAM_090040100_t1 | gene=PVPAM_090040100 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000009:1555460-1558539(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720637.1         -            965 4693at5820           -            548   5.8e-07   27.1  25.7   2   5   1.2e-07   0.00011   19.6   1.4   117   179    87   153    80   154 0.85 | transcript=PVPAM_090040100_t1 | gene=PVPAM_090040100 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000009:1555460-1558539(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720637.1         -            965 4693at5820           -            548   5.8e-07   27.1  25.7   3   5   5.9e-05     0.054   10.7   0.1   113   145   135   166   123   184 0.78 | transcript=PVPAM_090040100_t1 | gene=PVPAM_090040100 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000009:1555460-1558539(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720637.1         -            965 4693at5820           -            548   5.8e-07   27.1  25.7   4   5     6e-05     0.056   10.7   9.0   147   285   269   401   255   435 0.68 | transcript=PVPAM_090040100_t1 | gene=PVPAM_090040100 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000009:1555460-1558539(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720637.1         -            965 4693at5820           -            548   5.8e-07   27.1  25.7   5   5       1.1     1e+03   -3.4   0.0   261   277   790   806   787   815 0.84 | transcript=PVPAM_090040100_t1 | gene=PVPAM_090040100 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000009:1555460-1558539(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 4693at5820           -            548   2.5e-06   25.0  28.5   1   4     0.017        16    2.6   0.3   219   259    52    92    33    98 0.79 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 4693at5820           -            548   2.5e-06   25.0  28.5   2   4    0.0063       5.8    4.0   4.4   106   151   153   198   113   211 0.60 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 4693at5820           -            548   2.5e-06   25.0  28.5   3   4   8.7e-07   0.00081   16.7   0.1   116   149   359   392   336   401 0.85 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 4693at5820           -            548   2.5e-06   25.0  28.5   4   4   8.7e-06     0.008   13.4   6.0   118   210   453   556   422   578 0.77 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4693at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4693at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4693at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:35 2026
# [ok]
