#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718585.1         -           1867 1411at5820           -           1170         0 1323.5 356.9   1  12   2.5e-16   8.1e-13   45.4  21.0     1    60     1    67     1    74 0.87 | transcript=PVPAM_040033000_t1 | gene=PVPAM_040033000 | organism=Plasmodium_vivax_PAM | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=CASCJQ010000004:1152882-1158485(+) | protein_length=1867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718585.1         -           1867 1411at5820           -           1170         0 1323.5 356.9  12  12   2.3e-07   0.00074   15.7   0.2  1145  1170  1838  1864  1815  1864 0.84 | transcript=PVPAM_040033000_t1 | gene=PVPAM_040033000 | organism=Plasmodium_vivax_PAM | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=CASCJQ010000004:1152882-1158485(+) | protein_length=1867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720250.1         -            993 1411at5820           -           1170   0.00013   18.3  13.0   1   3   3.9e-08   0.00013   18.3  13.0   403   571   333   497   329   515 0.79 | transcript=PVPAM_080047300_t1 | gene=PVPAM_080047300 | organism=Plasmodium_vivax_PAM | gene_product=GRIP domain-containing protein, putative | transcript_product=GRIP domain-containing protein, putative | location=CASCJQ010000008:1835142-1838123(-) | protein_length=993 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720250.1         -            993 1411at5820           -           1170   0.00013   18.3  13.0   2   3    0.0019       6.1    2.7  31.5   396   586   562   754   543   768 0.77 | transcript=PVPAM_080047300_t1 | gene=PVPAM_080047300 | organism=Plasmodium_vivax_PAM | gene_product=GRIP domain-containing protein, putative | transcript_product=GRIP domain-containing protein, putative | location=CASCJQ010000008:1835142-1838123(-) | protein_length=993 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720250.1         -            993 1411at5820           -           1170   0.00013   18.3  13.0   3   3      0.09   2.9e+02   -2.8   3.0   459   491   902   934   880   987 0.52 | transcript=PVPAM_080047300_t1 | gene=PVPAM_080047300 | organism=Plasmodium_vivax_PAM | gene_product=GRIP domain-containing protein, putative | transcript_product=GRIP domain-containing protein, putative | location=CASCJQ010000008:1835142-1838123(-) | protein_length=993 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1411at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1411at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1411at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:32 2026
# [ok]
