#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720632.1         -           1574 813at5820            -           1226         0 2357.7  76.0   1   4         0         0 1238.6  48.5     1   700    59   853    59   866 0.92 | transcript=PVPAM_090039600_t1 | gene=PVPAM_090039600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=CASCJQ010000009:1535807-1540679(-) | protein_length=1574 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718453.1         -           1346 813at5820            -           1226  1.3e-106  356.0  19.7   4   5   7.2e-35   1.5e-31  107.3   0.1   918  1012  1086  1180  1071  1184 0.96 | transcript=PVPAM_040019900_t1 | gene=PVPAM_040019900 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=CASCJQ010000004:635865-640013(-) | protein_length=1346 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718453.1         -           1346 813at5820            -           1226  1.3e-106  356.0  19.7   5   5   5.6e-35   1.2e-31  107.7   2.6  1044  1214  1185  1341  1178  1346 0.87 | transcript=PVPAM_040019900_t1 | gene=PVPAM_040019900 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=CASCJQ010000004:635865-640013(-) | protein_length=1346 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/813at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/813at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/813at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:10 2026
# [ok]
