#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720331.1         -           1402 1490at5820           -            978         0 1946.2  89.8   1   6     0.023        12    2.0   0.1     1    16     1    16     1    23 0.86 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721387.1         -           2935 1490at5820           -            978   7.7e-82  274.0   0.6   1   5   3.7e-44   1.8e-41  140.3   0.0    78   281   342   548   335   559 0.89 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721387.1         -           2935 1490at5820           -            978   7.7e-82  274.0   0.6   2   5    0.0018      0.89    5.7   1.0   275   408   594   750   589   776 0.66 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721387.1         -           2935 1490at5820           -            978   7.7e-82  274.0   0.6   3   5   9.1e-45   4.5e-42  142.4   0.5   407   542  1219  1354  1211  1387 0.93 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721387.1         -           2935 1490at5820           -            978   7.7e-82  274.0   0.6   4   5       3.6   1.8e+03   -5.3   1.5   624   660  1762  1796  1756  1800 0.80 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721387.1         -           2935 1490at5820           -            978   7.7e-82  274.0   0.6   5   5      0.27   1.3e+02   -1.5   0.1   572   604  2594  2626  2581  2636 0.87 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718847.1         -           1096 1490at5820           -            978   5.5e-66  221.5  57.1   1   5   8.6e-40   4.3e-37  125.9  20.5     4   268   144   415   141   435 0.83 | transcript=PVPAM_050024100_t1 | gene=PVPAM_050024100 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000005:821192-825442(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718847.1         -           1096 1490at5820           -            978   5.5e-66  221.5  57.1   2   5   0.00041      0.21    7.8   2.5   285   339   534   588   507   596 0.81 | transcript=PVPAM_050024100_t1 | gene=PVPAM_050024100 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000005:821192-825442(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718847.1         -           1096 1490at5820           -            978   5.5e-66  221.5  57.1   3   5      0.26   1.3e+02   -1.5   0.0   347   371   723   748   715   775 0.76 | transcript=PVPAM_050024100_t1 | gene=PVPAM_050024100 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000005:821192-825442(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718847.1         -           1096 1490at5820           -            978   5.5e-66  221.5  57.1   4   5   2.7e-05     0.013   11.7   0.3   379   426   809   856   796   872 0.82 | transcript=PVPAM_050024100_t1 | gene=PVPAM_050024100 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000005:821192-825442(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718847.1         -           1096 1490at5820           -            978   5.5e-66  221.5  57.1   5   5   1.9e-31   9.6e-29   98.2   0.1   432   536   969  1072   945  1082 0.94 | transcript=PVPAM_050024100_t1 | gene=PVPAM_050024100 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000005:821192-825442(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717787.1         -           1073 1490at5820           -            978   2.6e-65  219.3  17.3   1   2   5.9e-41   2.9e-38  129.7   9.0    86   391   127   454   104   468 0.78 | transcript=PVPAM_010030100_t1 | gene=PVPAM_010030100 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=CASCJQ010000001:1123148-1126369(-) | protein_length=1073 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717787.1         -           1073 1490at5820           -            978   2.6e-65  219.3  17.3   2   2   2.6e-30   1.3e-27   94.5   1.2   387   561   524   696   512   716 0.89 | transcript=PVPAM_010030100_t1 | gene=PVPAM_010030100 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=CASCJQ010000001:1123148-1126369(-) | protein_length=1073 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 1490at5820           -            978   9.6e-42  141.3  12.9   1   4   7.6e-10   3.8e-07   26.8   0.2    76   132   216   273   161   283 0.82 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 1490at5820           -            978   9.6e-42  141.3  12.9   2   4    0.0094       4.7    3.3   0.2   137   195   373   429   367   443 0.75 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 1490at5820           -            978   9.6e-42  141.3  12.9   3   4   3.7e-14   1.8e-11   41.1   0.0   193   259   951  1018   948  1047 0.90 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 1490at5820           -            978   9.6e-42  141.3  12.9   4   4   1.9e-24   9.7e-22   75.1   1.3   387   542  1416  1572  1391  1584 0.87 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 1490at5820           -            978   6.6e-37  125.3  15.2   1   3   1.8e-07   9.1e-05   18.9   0.9   106   198   724   841   685   852 0.62 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 1490at5820           -            978   6.6e-37  125.3  15.2   2   3   7.8e-18   3.9e-15   53.2   0.9   197   371   953  1136   948  1147 0.80 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 1490at5820           -            978   6.6e-37  125.3  15.2   3   3   1.1e-18   5.3e-16   56.1   0.9   394   549  1330  1507  1265  1523 0.80 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721282.1         -            877 1490at5820           -            978   1.4e-35  120.9  10.5   1   1   4.3e-37   2.1e-34  117.0  10.5    81   556   310   782   291   801 0.74 | transcript=PVPAM_110018400_t1 | gene=PVPAM_110018400 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000011:568645-571278(-) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722427.1         -            528 1490at5820           -            978   4.5e-07   26.5   0.2   1   1   1.5e-09   7.2e-07   25.8   0.2   384   507   338   452   332   467 0.87 | transcript=PVPAM_120066400_t1 | gene=PVPAM_120066400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX17, putative | transcript_product=ATP-dependent RNA helicase DDX17, putative | location=CASCJQ010000012:2501497-2504933(-) | protein_length=528 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718426.1         -            536 1490at5820           -            978   7.5e-05   19.2   0.2   1   1   2.4e-07   0.00012   18.5   0.2   409   535   371   491   344   519 0.82 | transcript=PVPAM_040017200_t1 | gene=PVPAM_040017200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=CASCJQ010000004:538028-539638(+) | protein_length=536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720950.1         -           1006 1490at5820           -            978    0.0044   13.3   0.1   1   1   1.6e-05    0.0081   12.4   0.1   396   514   840   953   822   960 0.82 | transcript=PVPAM_100021800_t1 | gene=PVPAM_100021800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=CASCJQ010000010:750078-753098(+) | protein_length=1006 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1490at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1490at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1490at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:40 2026
# [ok]
