#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722514.1         -            928 3557at5820           -            694         0 1099.4  77.8   1   3   3.2e-85   3.4e-82  275.6  11.0     1   247     1   259     1   269 0.81 | transcript=PVPAM_120075300_t1 | gene=PVPAM_120075300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:2932349-2935135(+) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719618.1         -            840 3557at5820           -            694   1.3e-42  144.8   8.1   3   3     2e-31   2.2e-28   97.8   0.1   359   685   478   812   460   820 0.84 | transcript=PVPAM_070023200_t1 | gene=PVPAM_070023200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000007:816022-818544(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 3557at5820           -            694   5.6e-42  142.7  45.0   1   4         6   6.5e+03   -7.1   3.7   195   257    49   114    20   132 0.64 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 3557at5820           -            694   5.6e-42  142.7  45.0   2   4   3.5e-12   3.8e-09   34.2   1.8    10   168   399   568   390   572 0.81 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 3557at5820           -            694   5.6e-42  142.7  45.0   3   4   1.3e-05     0.014   12.5   0.7   277   329   583   634   579   639 0.89 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 3557at5820           -            694   5.6e-42  142.7  45.0   4   4   3.3e-37   3.6e-34  116.9  16.8   358   675   738  1067   721  1087 0.80 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 3557at5820           -            694   1.7e-30  104.8  16.0   1   3   6.6e-13   7.2e-10   36.6   1.5    87   167   111   192   107   195 0.89 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 3557at5820           -            694   1.7e-30  104.8  16.0   2   3   1.8e-16     2e-13   48.3   0.3   358   533   404   578   387   588 0.84 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 3557at5820           -            694   1.7e-30  104.8  16.0   3   3   2.3e-10   2.5e-07   28.2   2.0   537   686   668   825   662   832 0.81 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3557at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3557at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3557at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:26 2026
# [ok]
