#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722796.1         -           3064 142at5820            -           2479         0 5359.1 106.7   1   6  3.2e-269  1.1e-266  886.5   6.3     2   390    52   440    51   455 0.99 | transcript=PVPAM_130029700_t1 | gene=PVPAM_130029700 | organism=Plasmodium_vivax_PAM | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=CASCJQ010000013:1109104-1118298(+) | protein_length=3064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720524.1         -           1468 142at5820            -           2479     0.033    9.2  10.9   1   1   0.00016     0.057    8.4  10.9  1388  1453   801   866   778   873 0.46 | transcript=PVPAM_090028900_t1 | gene=PVPAM_090028900 | organism=Plasmodium_vivax_PAM | gene_product=BEACH domain-containing protein, putative | transcript_product=BEACH domain-containing protein, putative | location=CASCJQ010000009:1108348-1112754(-) | protein_length=1468 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718911.1         -            421 142at5820            -           2479     0.044    8.8  15.1   1   1   0.00016     0.056    8.5  15.1  1404  1442   127   166   112   248 0.56 | transcript=PVPAM_050030300_t1 | gene=PVPAM_050030300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=CASCJQ010000005:1046207-1047662(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723254.1         -            467 142at5820            -           2479     0.088    7.8   8.4   1   1   0.00033      0.12    7.4   8.4  1411  1478    72   148    52   156 0.45 | transcript=PVPAM_140017300_t1 | gene=PVPAM_140017300 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine recombinase, putative | transcript_product=tyrosine recombinase, putative | location=CASCJQ010000014:572490-575580(-) | protein_length=467 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723393.1         -            244 142at5820            -           2479      0.23    6.4  20.9   1   1   0.00086      0.31    6.0  20.9  1356  1465    28   146    11   161 0.55 | transcript=PVPAM_140031200_t1 | gene=PVPAM_140031200 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000014:1152775-1153919(-) | protein_length=244 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720335.1         -            630 142at5820            -           2479      0.28    6.2  29.0   1   2   6.1e-06    0.0022   13.1   8.8  1372  1466   187   283   118   302 0.70 | transcript=PVPAM_090010100_t1 | gene=PVPAM_090010100 | organism=Plasmodium_vivax_PAM | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=CASCJQ010000009:324938-326830(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720335.1         -            630 142at5820            -           2479      0.28    6.2  29.0   2   2      0.11        41   -1.0  12.2  1402  1447   408   452   357   472 0.42 | transcript=PVPAM_090010100_t1 | gene=PVPAM_090010100 | organism=Plasmodium_vivax_PAM | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=CASCJQ010000009:324938-326830(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720306.1         -            343 142at5820            -           2479      0.98    4.4  22.8   1   1    0.0036       1.3    4.0  22.8  1404  1459   101   158    87   172 0.40 | transcript=PVPAM_090007000_t1 | gene=PVPAM_090007000 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:151890-153042(+) | protein_length=343 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722141.1         -            697 142at5820            -           2479       1.4    3.9  12.2   1   1    0.0047       1.7    3.6  12.2  1412  1474   412   472   370   567 0.74 | transcript=PVPAM_120037900_t1 | gene=PVPAM_120037900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1314245-1316338(-) | protein_length=697 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722095.1         -            822 142at5820            -           2479       1.5    3.7   4.1   1   1    0.0057         2    3.3   4.1  1417  1453   505   538   475   554 0.47 | transcript=PVPAM_120033300_t1 | gene=PVPAM_120033300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1120143-1122876(-) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722835.1         -            791 142at5820            -           2479       2.3    3.1  16.3   1   1    0.0091       3.3    2.6  16.3  1403  1441   204   242   120   260 0.55 | transcript=PVPAM_130033700_t1 | gene=PVPAM_130033700 | organism=Plasmodium_vivax_PAM | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=CASCJQ010000013:1306054-1308591(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718108.1         -            824 142at5820            -           2479       3.5    2.5  27.5   1   1     0.014       5.1    2.0  27.5  1384  1445   324   384   317   393 0.51 | transcript=PVPAM_030010400_t1 | gene=PVPAM_030010400 | organism=Plasmodium_vivax_PAM | gene_product=NYN domain-containing protein, putative | transcript_product=NYN domain-containing protein, putative | location=CASCJQ010000003:267451-270102(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721986.1         -            139 142at5820            -           2479       4.2    2.3  25.0   1   1     0.013       4.6    2.1  25.0  1409  1461    83   135    58   139 0.43 | transcript=PVPAM_120022500_t1 | gene=PVPAM_120022500 | organism=Plasmodium_vivax_PAM | gene_product=parasitophorous vacuolar protein 3, putative | transcript_product=parasitophorous vacuolar protein 3, putative | location=CASCJQ010000012:735464-735883(+) | protein_length=139 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722664.1         -            380 142at5820            -           2479       8.4    1.3  21.4   1   1      0.03        11    0.9  21.4  1399  1464   191   254   152   302 0.55 | transcript=PVPAM_130016500_t1 | gene=PVPAM_130016500 | organism=Plasmodium_vivax_PAM | gene_product=SRAP domain-containing protein, putative | transcript_product=SRAP domain-containing protein, putative | location=CASCJQ010000013:518189-520462(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717684.1         -            162 142at5820            -           2479       9.9    1.0  11.7   1   1      0.03        11    0.9  11.7  1405  1468     6    66     1    88 0.49 | transcript=PVPAM_010019400_t1 | gene=PVPAM_010019400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:696866-697563(+) | protein_length=162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/142at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/142at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/142at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:10 2026
# [ok]
