#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721235.1         -            483 5836at5820           -            442         0 1023.0  13.9   1   1         0         0 1022.2  13.9     1   442     1   454     1   454 0.98 | transcript=PVPAM_110013700_t1 | gene=PVPAM_110013700 | organism=Plasmodium_vivax_PAM | gene_product=RuvB-like helicase 3, putative | transcript_product=RuvB-like helicase 3, putative | location=CASCJQ010000011:342633-344084(+) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722234.1         -            702 5836at5820           -            442    0.0007   16.8   1.3   3   3         1   6.7e+02   -2.9   0.0   245   270   612   637   586   664 0.63 | transcript=PVPAM_120047100_t1 | gene=PVPAM_120047100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000012:1695818-1697926(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720273.1         -            785 5836at5820           -            442   0.00075   16.7   0.0   1   2   0.00056      0.36    7.9   0.0    63   103   289   328   278   350 0.78 | transcript=PVPAM_080049600_t1 | gene=PVPAM_080049600 | organism=Plasmodium_vivax_PAM | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=CASCJQ010000008:1926957-1929314(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720273.1         -            785 5836at5820           -            442   0.00075   16.7   0.0   2   2    0.0022       1.4    5.9   0.0    58    88   565   595   537   627 0.77 | transcript=PVPAM_080049600_t1 | gene=PVPAM_080049600 | organism=Plasmodium_vivax_PAM | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=CASCJQ010000008:1926957-1929314(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717786.1         -           1171 5836at5820           -            442    0.0029   14.8   0.0   1   1   7.5e-06    0.0048   14.0   0.0    60   108   591   638   564   658 0.80 | transcript=PVPAM_010030000_t1 | gene=PVPAM_010030000 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1117779-1121294(-) | protein_length=1171 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 5836at5820           -            442      0.01   12.9   0.0   1   2    0.0022       1.4    5.9   0.0    63    87   380   404   367   483 0.87 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 5836at5820           -            442      0.01   12.9   0.0   2   2    0.0052       3.4    4.7   0.0    62   111   801   848   793   861 0.82 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720479.1         -            950 5836at5820           -            442      0.03   11.4   0.1   1   2   0.00013     0.083   10.0   0.0    65   102   437   472   430   497 0.85 | transcript=PVPAM_090024400_t1 | gene=PVPAM_090024400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000009:885031-887883(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720479.1         -            950 5836at5820           -            442      0.03   11.4   0.1   2   2      0.77     5e+02   -2.5   0.0   271   301   578   609   569   613 0.69 | transcript=PVPAM_090024400_t1 | gene=PVPAM_090024400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000009:885031-887883(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5836at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5836at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5836at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:37 2026
# [ok]
