#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722696.1         -            940 3859at5820           -            494  1.2e-245  814.5  78.0   1   4   2.2e-24     2e-21   74.9  10.0     1    61     1    65     1    69 0.90 | transcript=PVPAM_130019700_t1 | gene=PVPAM_130019700 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000013:644176-646998(-) | protein_length=940 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723478.1         -            586 3859at5820           -            494   1.7e-08   32.2  20.7   2   4   1.4e-05     0.013   12.8   2.3   337   441   146   245   139   253 0.73 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723478.1         -            586 3859at5820           -            494   1.7e-08   32.2  20.7   3   4   6.1e-05     0.056   10.7   0.1   410   442   327   359   293   363 0.83 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723478.1         -            586 3859at5820           -            494   1.7e-08   32.2  20.7   4   4   4.1e-08   3.8e-05   21.2   0.5   393   461   363   434   360   447 0.78 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719180.1         -            874 3859at5820           -            494   0.00032   18.2  34.3   1   6   5.3e-07   0.00049   17.5   8.2   343   444    88   187     7   194 0.72 | transcript=PVPAM_060018700_t1 | gene=PVPAM_060018700 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=CASCJQ010000006:602393-605017(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719180.1         -            874 3859at5820           -            494   0.00032   18.2  34.3   2   6   0.00066      0.61    7.3   0.1   339   389   196   241   186   245 0.83 | transcript=PVPAM_060018700_t1 | gene=PVPAM_060018700 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=CASCJQ010000006:602393-605017(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719180.1         -            874 3859at5820           -            494   0.00032   18.2  34.3   3   6     0.056        51    1.0   0.3   228   262   311   345   301   354 0.79 | transcript=PVPAM_060018700_t1 | gene=PVPAM_060018700 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=CASCJQ010000006:602393-605017(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719180.1         -            874 3859at5820           -            494   0.00032   18.2  34.3   4   6    0.0018       1.7    5.9   0.2   333   368   363   397   352   405 0.75 | transcript=PVPAM_060018700_t1 | gene=PVPAM_060018700 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=CASCJQ010000006:602393-605017(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719180.1         -            874 3859at5820           -            494   0.00032   18.2  34.3   5   6     0.013        12    3.1   0.1   239   272   416   449   412   468 0.81 | transcript=PVPAM_060018700_t1 | gene=PVPAM_060018700 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=CASCJQ010000006:602393-605017(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719180.1         -            874 3859at5820           -            494   0.00032   18.2  34.3   6   6      0.46   4.2e+02   -2.1   0.2   334   397   684   741   663   759 0.74 | transcript=PVPAM_060018700_t1 | gene=PVPAM_060018700 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=CASCJQ010000006:602393-605017(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3859at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3859at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3859at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:04 2026
# [ok]
