#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720345.1         -            167 12830at5820          -            150   1.3e-86  286.8  12.9   1   1   3.2e-89   1.5e-86  286.6  12.9     1   150    11   167    11   167 0.96 | transcript=PVPAM_090011000_t1 | gene=PVPAM_090011000 | organism=Plasmodium_vivax_PAM | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=CASCJQ010000009:364310-365085(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719263.1         -            236 12830at5820          -            150   0.00042   19.0   5.7   1   2    0.0033       1.5    7.5   0.1    79   115    16    53     4    69 0.58 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719263.1         -            236 12830at5820          -            150   0.00042   19.0   5.7   2   2   8.4e-05     0.039   12.6   1.8     7    60   170   223   163   231 0.79 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720204.1         -            604 12830at5820          -            150   0.00084   18.0   0.7   1   1   4.7e-06    0.0022   16.7   0.7    50   135   505   600   457   603 0.79 | transcript=PVPAM_080042600_t1 | gene=PVPAM_080042600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000008:1669784-1672716(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723799.1         -            209 12830at5820          -            150    0.0063   15.2   0.6   1   1   2.4e-05     0.011   14.4   0.4    62   113   132   187    83   208 0.76 | transcript=PVPAM_140072200_t1 | gene=PVPAM_140072200 | organism=Plasmodium_vivax_PAM | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=CASCJQ010000014:2858420-2859049(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717888.1         -           1509 12830at5820          -            150     0.007   15.0   0.2   1   1   6.8e-05     0.031   12.9   0.2    12    47    70   105    61   116 0.89 | transcript=PVPAM_020012000_t1 | gene=PVPAM_020012000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000002:331549-337141(-) | protein_length=1509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717650.1         -            107 12830at5820          -            150     0.009   14.7   2.3   1   1   2.7e-05     0.012   14.2   2.3     3    66    42   101    40   106 0.89 | transcript=PVPAM_010016000_t1 | gene=PVPAM_010016000 | organism=Plasmodium_vivax_PAM | gene_product=centrin, putative | transcript_product=centrin, putative | location=CASCJQ010000001:502123-503026(-) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12830at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12830at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12830at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:59 2026
# [ok]
