#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722421.1         -            168 12707at5820          -            166  1.3e-113  375.2   8.2   1   1  4.2e-116  1.4e-113  375.0   8.2     1   166     3   168     3   168 1.00 | transcript=PVPAM_120065700_t1 | gene=PVPAM_120065700 | organism=Plasmodium_vivax_PAM | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=CASCJQ010000012:2470167-2470928(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719263.1         -            236 12707at5820          -            166   8.8e-07   27.7   6.0   2   2   0.00051      0.17   10.4   1.3    76   146   148   218   136   234 0.86 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 12707at5820          -            166   9.9e-07   27.5   8.8   1   2     0.002      0.66    8.5   2.5    85   165   364   452   337   454 0.76 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 12707at5820          -            166   9.9e-07   27.5   8.8   2   2   2.1e-07   7.2e-05   21.4   0.5    25    87   457   517   454   525 0.74 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721361.1         -            136 12707at5820          -            166   3.3e-06   25.8   1.1   1   2   9.4e-06    0.0032   16.1   0.2    72   161    18   103     9   106 0.84 | transcript=PVPAM_110026400_t1 | gene=PVPAM_110026400 | organism=Plasmodium_vivax_PAM | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=CASCJQ010000011:937732-939202(+) | protein_length=136 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721361.1         -            136 12707at5820          -            166   3.3e-06   25.8   1.1   2   2   2.2e-05    0.0074   14.9   0.1    97   156    75   133    68   135 0.85 | transcript=PVPAM_110026400_t1 | gene=PVPAM_110026400 | organism=Plasmodium_vivax_PAM | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=CASCJQ010000011:937732-939202(+) | protein_length=136 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718891.1         -            150 12707at5820          -            166   3.9e-06   25.6   1.7   1   2   2.3e-06   0.00079   18.0   0.1    93   161     7    72     2    76 0.89 | transcript=PVPAM_050028300_t1 | gene=PVPAM_050028300 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin-like protein | transcript_product=calmodulin-like protein | location=CASCJQ010000005:980237-981219(-) | protein_length=150 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718891.1         -            150 12707at5820          -            166   3.9e-06   25.6   1.7   2   2    0.0046       1.6    7.3   0.2   110   158    94   145    78   150 0.77 | transcript=PVPAM_050028300_t1 | gene=PVPAM_050028300 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin-like protein | transcript_product=calmodulin-like protein | location=CASCJQ010000005:980237-981219(-) | protein_length=150 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722444.1         -            207 12707at5820          -            166     9e-06   24.4   5.2   1   2   5.2e-08   1.8e-05   23.4   0.6    92   159    41   107    27   116 0.89 | transcript=PVPAM_120068100_t1 | gene=PVPAM_120068100 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000012:2568832-2569988(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722444.1         -            207 12707at5820          -            166     9e-06   24.4   5.2   2   2     0.081        28    3.3   0.4    59   114   124   176   110   200 0.76 | transcript=PVPAM_120068100_t1 | gene=PVPAM_120068100 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000012:2568832-2569988(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 12707at5820          -            166   3.9e-05   22.3   5.4   1   1   3.5e-07   0.00012   20.7   5.4    20   162   375   525   368   528 0.72 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723799.1         -            209 12707at5820          -            166   5.2e-05   21.9   0.8   1   2       1.6   5.5e+02   -1.0   0.1   134   147    71    84    54   106 0.59 | transcript=PVPAM_140072200_t1 | gene=PVPAM_140072200 | organism=Plasmodium_vivax_PAM | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=CASCJQ010000014:2858420-2859049(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723799.1         -            209 12707at5820          -            166   5.2e-05   21.9   0.8   2   2   4.3e-07   0.00014   20.4   0.1    76   145   125   194   114   207 0.88 | transcript=PVPAM_140072200_t1 | gene=PVPAM_140072200 | organism=Plasmodium_vivax_PAM | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=CASCJQ010000014:2858420-2859049(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722949.1         -            136 12707at5820          -            166   7.8e-05   21.3   1.3   1   1   4.2e-07   0.00014   20.5   1.3    27   157     8   131     4   135 0.91 | transcript=PVPAM_130045500_t1 | gene=PVPAM_130045500 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000013:1746960-1747370(-) | protein_length=136 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717650.1         -            107 12707at5820          -            166    0.0019   16.8   0.5   1   1   6.5e-06    0.0022   16.6   0.5    19    89    40   106    26   107 0.90 | transcript=PVPAM_010016000_t1 | gene=PVPAM_010016000 | organism=Plasmodium_vivax_PAM | gene_product=centrin, putative | transcript_product=centrin, putative | location=CASCJQ010000001:502123-503026(-) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717988.1         -            131 12707at5820          -            166    0.0029   16.2   0.5   1   1   1.1e-05    0.0038   15.8   0.5    29   156    11   128     1   131 0.74 | transcript=PVPAM_020022000_t1 | gene=PVPAM_020022000 | organism=Plasmodium_vivax_PAM | gene_product=EF hand domain-containing protein, putative | transcript_product=EF hand domain-containing protein, putative | location=CASCJQ010000002:724912-726021(-) | protein_length=131 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12707at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12707at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12707at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:41 2026
# [ok]
