#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718801.1         -             83 15067at5820          -             67   7.3e-45  149.4   2.8   1   1     2e-47     1e-44  148.9   2.8     5    67    21    83    18    83 0.98 | transcript=PVPAM_050019500_t1 | gene=PVPAM_050019500 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=CASCJQ010000005:644671-645141(+) | protein_length=83 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722106.1         -             77 15067at5820          -             67    0.0062   15.1   0.2   1   1   1.8e-05    0.0088   14.6   0.2     8    62    20    75    13    76 0.87 | transcript=PVPAM_120034400_t1 | gene=PVPAM_120034400 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm6, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm6, putative | location=CASCJQ010000012:1169041-1169274(+) | protein_length=77 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720539.1         -            127 15067at5820          -             67     0.036   12.6   3.2   1   1   0.00076      0.38    9.4   3.2     8    59    17    79    11    86 0.66 | transcript=PVPAM_090030500_t1 | gene=PVPAM_090030500 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein Sm D1, putative | transcript_product=small nuclear ribonucleoprotein Sm D1, putative | location=CASCJQ010000009:1169012-1169395(-) | protein_length=127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15067at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/15067at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15067at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:01 2026
# [ok]
