#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718946.1         -            191 12242at5820          -            175  1.7e-115  381.6   3.3   1   1  1.7e-117  5.9e-115  379.9   3.3     1   175     1   191     1   191 0.98 | transcript=PVPAM_050033800_t1 | gene=PVPAM_050033800 | organism=Plasmodium_vivax_PAM | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=CASCJQ010000005:1177280-1178271(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723650.1         -            213 12242at5820          -            175   0.00021   19.8   0.0   1   1   8.5e-07   0.00029   19.4   0.0    27   130    18   125     9   153 0.74 | transcript=PVPAM_140057400_t1 | gene=PVPAM_140057400 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=CASCJQ010000014:2254682-2256145(+) | protein_length=213 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720733.1         -            207 12242at5820          -            175   0.00036   19.1   0.0   1   1   1.5e-06   0.00052   18.6   0.0    56   131    56   130     8   148 0.81 | transcript=PVPAM_090049800_t1 | gene=PVPAM_090049800 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=CASCJQ010000009:1997786-1999218(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719471.1         -            206 12242at5820          -            175   0.00054   18.5   0.0   1   1   1.9e-06   0.00066   18.2   0.0    27   134    19   134    10   175 0.75 | transcript=PVPAM_070008500_t1 | gene=PVPAM_070008500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=CASCJQ010000007:187577-189993(-) | protein_length=206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717749.1         -            201 12242at5820          -            175    0.0007   18.1   0.1   1   1   2.8e-06   0.00096   17.7   0.1    59   137    58   137    15   149 0.75 | transcript=PVPAM_010026300_t1 | gene=PVPAM_010026300 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=CASCJQ010000001:951416-952500(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723372.1         -            216 12242at5820          -            175   0.00072   18.1   0.0   1   1     3e-06     0.001   17.6   0.0    58   129    58   129    18   150 0.83 | transcript=PVPAM_140029100_t1 | gene=PVPAM_140029100 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=CASCJQ010000014:1044385-1045933(+) | protein_length=216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717926.1         -            194 12242at5820          -            175    0.0018   16.8   0.0   1   1   6.9e-06    0.0024   16.4   0.0    59   129    55   124    38   147 0.84 | transcript=PVPAM_020015800_t1 | gene=PVPAM_020015800 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=CASCJQ010000002:455366-457119(-) | protein_length=194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718501.1         -            245 12242at5820          -            175     0.015   13.9   0.0   1   1   6.1e-05     0.021   13.4   0.0    59   131   101   170    64   194 0.88 | transcript=PVPAM_040024500_t1 | gene=PVPAM_040024500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=CASCJQ010000004:818004-818741(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723437.1         -            289 12242at5820          -            175     0.034   12.7   0.0   1   2       4.2   1.4e+03   -2.4   0.0    15    35   104   124    98   166 0.70 | transcript=PVPAM_140035900_t1 | gene=PVPAM_140035900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein YihA3, putative | transcript_product=GTP-binding protein YihA3, putative | location=CASCJQ010000014:1313541-1315300(+) | protein_length=289 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723437.1         -            289 12242at5820          -            175     0.034   12.7   0.0   2   2   0.00029     0.099   11.2   0.0   112   170   223   280   208   284 0.81 | transcript=PVPAM_140035900_t1 | gene=PVPAM_140035900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein YihA3, putative | transcript_product=GTP-binding protein YihA3, putative | location=CASCJQ010000014:1313541-1315300(+) | protein_length=289 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12242at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12242at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12242at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:18 2026
# [ok]
