#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721876.1         -           1389 1098at5820           -            989         0 1939.5 108.8   1   5     2e-47   8.7e-45  151.2   3.0     1    84     1    85     1    93 0.97 | transcript=PVPAM_120011000_t1 | gene=PVPAM_120011000 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:247695-252310(+) | protein_length=1389 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719934.1         -           1247 1098at5820           -            989     4e-53  178.8  29.6   4   4   1.6e-22   6.7e-20   68.8   0.0   778   931  1031  1186  1018  1198 0.89 | transcript=PVPAM_080015700_t1 | gene=PVPAM_080015700 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=CASCJQ010000008:529541-533284(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721609.1         -            920 1098at5820           -            989   3.8e-24   82.9   3.2   1   6     1e-25   4.4e-23   79.4   1.3     5   152    92   240    89   265 0.87 | transcript=PVPAM_110051300_t1 | gene=PVPAM_110051300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000011:1932145-1935382(+) | protein_length=920 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721609.1         -            920 1098at5820           -            989   3.8e-24   82.9   3.2   2   6       0.4   1.7e+02   -2.1   0.6   746   781   283   329   243   355 0.55 | transcript=PVPAM_110051300_t1 | gene=PVPAM_110051300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000011:1932145-1935382(+) | protein_length=920 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721609.1         -            920 1098at5820           -            989   3.8e-24   82.9   3.2   3   6      0.29   1.3e+02   -1.6   0.4   164   208   310   354   276   400 0.59 | transcript=PVPAM_110051300_t1 | gene=PVPAM_110051300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000011:1932145-1935382(+) | protein_length=920 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721609.1         -            920 1098at5820           -            989   3.8e-24   82.9   3.2   4   6     0.027        12    1.8   0.1   399   458   493   552   469   571 0.82 | transcript=PVPAM_110051300_t1 | gene=PVPAM_110051300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000011:1932145-1935382(+) | protein_length=920 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721609.1         -            920 1098at5820           -            989   3.8e-24   82.9   3.2   5   6      0.12        51   -0.3   1.3   516   603   576   663   566   683 0.83 | transcript=PVPAM_110051300_t1 | gene=PVPAM_110051300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000011:1932145-1935382(+) | protein_length=920 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721609.1         -            920 1098at5820           -            989   3.8e-24   82.9   3.2   6   6   1.8e-05    0.0077   12.4   0.0   840   923   818   900   750   915 0.79 | transcript=PVPAM_110051300_t1 | gene=PVPAM_110051300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000011:1932145-1935382(+) | protein_length=920 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719557.1         -            910 1098at5820           -            989   3.4e-23   79.7   2.6   1   2     8e-26   3.4e-23   79.7   2.6    10   150   189   320   185   351 0.86 | transcript=PVPAM_070017100_t1 | gene=PVPAM_070017100 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000007:614121-616853(+) | protein_length=910 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719557.1         -            910 1098at5820           -            989   3.4e-23   79.7   2.6   2   2      0.31   1.3e+02   -1.7   0.1   373   427   359   417   335   448 0.73 | transcript=PVPAM_070017100_t1 | gene=PVPAM_070017100 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000007:614121-616853(+) | protein_length=910 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723669.1         -            775 1098at5820           -            989   4.4e-23   79.3   5.4   1   3   7.1e-25   3.1e-22   76.6   0.6    10   151    39   181    33   211 0.82 | transcript=PVPAM_140059300_t1 | gene=PVPAM_140059300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000014:2342075-2344402(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723669.1         -            775 1098at5820           -            989   4.4e-23   79.3   5.4   2   3     0.027        12    1.8   0.1   399   451   406   458   389   464 0.82 | transcript=PVPAM_140059300_t1 | gene=PVPAM_140059300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000014:2342075-2344402(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723669.1         -            775 1098at5820           -            989   4.4e-23   79.3   5.4   3   3     0.031        13    1.6   0.0   866   930   701   763   629   769 0.78 | transcript=PVPAM_140059300_t1 | gene=PVPAM_140059300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000014:2342075-2344402(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723402.1         -            771 1098at5820           -            989   7.8e-23   78.5   2.2   1   3   1.8e-25   7.8e-23   78.5   2.2     4   154   101   240    99   258 0.84 | transcript=PVPAM_140032400_t1 | gene=PVPAM_140032400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=CASCJQ010000014:1182290-1184605(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723402.1         -            771 1098at5820           -            989   7.8e-23   78.5   2.2   2   3     0.061        26    0.6   0.1   401   454   385   442   360   454 0.77 | transcript=PVPAM_140032400_t1 | gene=PVPAM_140032400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=CASCJQ010000014:1182290-1184605(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723402.1         -            771 1098at5820           -            989   7.8e-23   78.5   2.2   3   3      0.86   3.7e+02   -3.2   0.1   850   929   562   640   556   649 0.78 | transcript=PVPAM_140032400_t1 | gene=PVPAM_140032400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=CASCJQ010000014:1182290-1184605(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 1098at5820           -            989   8.4e-14   48.6   1.0   1   3   1.9e-16   8.4e-14   48.6   1.0    10   153    23   159    17   174 0.82 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 1098at5820           -            989   8.4e-14   48.6   1.0   2   3       1.6   6.8e+02   -4.0   0.7   700   741   666   709   635   759 0.48 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 1098at5820           -            989   8.4e-14   48.6   1.0   3   3      0.23        98   -1.2   0.3   830   917   992  1087   932  1098 0.74 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722048.1         -            456 1098at5820           -            989   5.4e-13   46.0   0.2   1   1   1.8e-15   7.8e-13   45.4   0.2    13   147    73   200    65   212 0.83 | transcript=PVPAM_120028600_t1 | gene=PVPAM_120028600 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:912230-913600(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721562.1         -           1016 1098at5820           -            989   7.5e-09   32.3   0.4   1   1   1.7e-11   7.5e-09   32.3   0.4    14   152   434   564   427   586 0.82 | transcript=PVPAM_110046700_t1 | gene=PVPAM_110046700 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000011:1732633-1735683(-) | protein_length=1016 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718754.1         -           1164 1098at5820           -            989   1.5e-07   27.9   3.3   1   2   6.2e-06    0.0027   13.9   0.1    12    62   588   642   576   644 0.70 | transcript=PVPAM_050014800_t1 | gene=PVPAM_050014800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000005:449467-452961(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718754.1         -           1164 1098at5820           -            989   1.5e-07   27.9   3.3   2   2   1.6e-06   0.00067   15.9   1.1    85   186   641   744   631   771 0.85 | transcript=PVPAM_050014800_t1 | gene=PVPAM_050014800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000005:449467-452961(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720970.1         -           1376 1098at5820           -            989     0.002   14.3   1.5   1   1   2.1e-05    0.0091   12.1   1.5    77   147   811   881   761   924 0.83 | transcript=PVPAM_100023800_t1 | gene=PVPAM_100023800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2 | transcript_product=translation initiation factor IF-2 | location=CASCJQ010000010:834489-838619(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721286.1         -            443 1098at5820           -            989     0.058    9.4   0.0   1   1   0.00022     0.093    8.8   0.0    14   148     9   158     2   181 0.62 | transcript=PVPAM_110018800_t1 | gene=PVPAM_110018800 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:582675-584006(-) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721287.1         -            443 1098at5820           -            989     0.058    9.4   0.0   1   1   0.00022     0.093    8.8   0.0    14   148     9   158     2   181 0.62 | transcript=PVPAM_110018900_t1 | gene=PVPAM_110018900 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:585419-586750(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 1098at5820           -            989      0.23    7.4   3.4   1   2      0.46     2e+02   -2.3   0.1    14    31     5    22     3    30 0.85 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 1098at5820           -            989      0.23    7.4   3.4   2   2   0.00024      0.11    8.6   0.8    80   148   117   185   113   203 0.84 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1098at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1098at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1098at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:04 2026
# [ok]
