#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721569.1         -            152 12951at5820          -            133   5.1e-88  290.4   0.1   1   1   1.3e-90   5.9e-88  290.2   0.1     1   133     1   138     1   138 0.98 | transcript=PVPAM_110047400_t1 | gene=PVPAM_110047400 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2 PEX4, putative | transcript_product=ubiquitin-conjugating enzyme E2 PEX4, putative | location=CASCJQ010000011:1766059-1767359(+) | protein_length=152 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719592.1         -            159 12951at5820          -            133   3.3e-14   51.5   0.0   1   1   8.1e-17   3.8e-14   51.3   0.0    27   120    37   131     3   139 0.89 | transcript=PVPAM_070020600_t1 | gene=PVPAM_070020600 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-conjugating enzyme UBC9, putative | transcript_product=SUMO-conjugating enzyme UBC9, putative | location=CASCJQ010000007:727735-728625(-) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723771.1         -            624 12951at5820          -            133   2.8e-07   29.1   0.1   1   1   1.2e-09   5.4e-07   28.2   0.1    27   122   196   294   189   301 0.84 | transcript=PVPAM_140069400_t1 | gene=PVPAM_140069400 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000014:2747070-2748944(+) | protein_length=624 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721905.1         -            262 12951at5820          -            133   5.9e-07   28.0   0.1   1   1   2.1e-09   9.9e-07   27.3   0.1    26   112   145   231   125   249 0.86 | transcript=PVPAM_120013900_t1 | gene=PVPAM_120013900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000012:367779-368567(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720245.1         -            139 12951at5820          -            133   3.4e-06   25.6   0.0   1   1   8.5e-09   3.9e-06   25.4   0.0    25   105    37   118    16   132 0.86 | transcript=PVPAM_080046800_t1 | gene=PVPAM_080046800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme MMS2, putative | transcript_product=ubiquitin-conjugating enzyme MMS2, putative | location=CASCJQ010000008:1810676-1811529(+) | protein_length=139 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12951at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12951at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12951at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:18 2026
# [ok]
