#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718521.1         -           2760 179at5820            -           2330         0 3441.9 112.0   1   3         0         0 1443.1  47.6    72  1058   189  1313   167  1325 0.89 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 179at5820            -           2330   1.8e-66  222.6 110.0   9  10    0.0018      0.81    4.8  13.4   141   265  1931  2058  1795  2059 0.59 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 179at5820            -           2330   1.8e-66  222.6 110.0  10  10   7.6e-17   3.5e-14   49.1   7.0  2159  2313  2027  2187  2023  2190 0.80 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721506.1         -            362 179at5820            -           2330   6.9e-18   61.4  15.0   1   2   9.7e-07   0.00045   15.6   6.9  1923  2047    26   168    17   179 0.62 | transcript=PVPAM_110041100_t1 | gene=PVPAM_110041100 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P12 | transcript_product=6-cysteine protein P12 | location=CASCJQ010000011:1509165-1510253(+) | protein_length=362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721506.1         -            362 179at5820            -           2330   6.9e-18   61.4  15.0   2   2   2.5e-17   1.2e-14   50.7   1.5  1264  1384   181   306   169   324 0.82 | transcript=PVPAM_110041100_t1 | gene=PVPAM_110041100 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P12 | transcript_product=6-cysteine protein P12 | location=CASCJQ010000011:1509165-1510253(+) | protein_length=362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721505.1         -            431 179at5820            -           2330   1.1e-15   54.0   0.6   1   3   1.5e-05    0.0067   11.7   0.0   650   701   109   165    95   170 0.80 | transcript=PVPAM_110041000_t1 | gene=PVPAM_110041000 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=CASCJQ010000011:1506532-1507827(+) | protein_length=431 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721505.1         -            431 179at5820            -           2330   1.1e-15   54.0   0.6   2   3   5.1e-07   0.00023   16.5   0.0   832   890   166   223   160   232 0.75 | transcript=PVPAM_110041000_t1 | gene=PVPAM_110041000 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=CASCJQ010000011:1506532-1507827(+) | protein_length=431 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721505.1         -            431 179at5820            -           2330   1.1e-15   54.0   0.6   3   3   3.9e-09   1.8e-06   23.5   0.1  1571  2249   301   342   284   394 0.45 | transcript=PVPAM_110041000_t1 | gene=PVPAM_110041000 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=CASCJQ010000011:1506532-1507827(+) | protein_length=431 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718093.1         -            384 179at5820            -           2330   7.5e-13   44.7   3.4   1   2   9.2e-06    0.0042   12.3   5.0   885   978    26   118    17   139 0.76 | transcript=PVPAM_030008900_t1 | gene=PVPAM_030008900 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=CASCJQ010000003:192953-194107(-) | protein_length=384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718093.1         -            384 179at5820            -           2330   7.5e-13   44.7   3.4   2   2   1.6e-15   7.5e-13   44.7   3.4   607   717   233   355   228   377 0.79 | transcript=PVPAM_030008900_t1 | gene=PVPAM_030008900 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=CASCJQ010000003:192953-194107(-) | protein_length=384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718087.1         -            487 179at5820            -           2330   2.4e-12   43.0   3.7   1   2   5.3e-15   2.4e-12   43.0   3.7   610   687   147   230   132   250 0.81 | transcript=PVPAM_030008300_t1 | gene=PVPAM_030008300 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P52, putative | transcript_product=6-cysteine protein P52, putative | location=CASCJQ010000003:161631-163094(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718087.1         -            487 179at5820            -           2330   2.4e-12   43.0   3.7   2   2     0.036        17    0.4   0.1  2007  2037   252   281   240   305 0.63 | transcript=PVPAM_030008300_t1 | gene=PVPAM_030008300 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P52, putative | transcript_product=6-cysteine protein P52, putative | location=CASCJQ010000003:161631-163094(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721056.1         -            355 179at5820            -           2330     2e-09   33.3   9.5   1   1   7.9e-12   3.6e-09   32.5   9.5  1210  1398    93   302    50   323 0.67 | transcript=PVPAM_100032400_t1 | gene=PVPAM_100032400 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=CASCJQ010000010:1193028-1194095(+) | protein_length=355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718911.1         -            421 179at5820            -           2330     0.065    8.4  10.3   1   1   0.00017     0.077    8.2  10.3    63   107   121   165    64   222 0.73 | transcript=PVPAM_050030300_t1 | gene=PVPAM_050030300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=CASCJQ010000005:1046207-1047662(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722835.1         -            791 179at5820            -           2330      0.17    7.0   8.9   1   1   0.00049      0.23    6.6   8.9    55   118   188   251    67   288 0.52 | transcript=PVPAM_130033700_t1 | gene=PVPAM_130033700 | organism=Plasmodium_vivax_PAM | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=CASCJQ010000013:1306054-1308591(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718491.1         -           1606 179at5820            -           2330      0.18    6.9   4.7   1   1   0.00054      0.25    6.5   4.7    54   118  1299  1363  1225  1373 0.55 | transcript=PVPAM_040023500_t1 | gene=PVPAM_040023500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:782801-787621(-) | protein_length=1606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721043.1         -            143 179at5820            -           2330      0.82    4.7  10.7   1   1    0.0019      0.88    4.7  10.7    47   115    57   126    17   137 0.38 | transcript=PVPAM_100031100_t1 | gene=PVPAM_100031100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:1135167-1135857(+) | protein_length=143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718017.1         -            358 179at5820            -           2330       1.1    4.3  13.0   1   1    0.0029       1.3    4.1  13.0    21   118    98   198    74   271 0.60 | transcript=PVPAM_020025000_t1 | gene=PVPAM_020025000 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000002:867545-868801(-) | protein_length=358 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722520.1         -            369 179at5820            -           2330       1.1    4.3  11.3   1   1     0.003       1.4    4.0  11.3    19   115   229   337   208   364 0.27 | transcript=PVPAM_120075900_t1 | gene=PVPAM_120075900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2974231-2975447(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719224.1         -           1763 179at5820            -           2330       6.7    1.7   7.7   1   1      0.02       9.3    1.3   7.7    50   117  1228  1289  1187  1308 0.51 | transcript=PVPAM_060023100_t1 | gene=PVPAM_060023100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:779641-784932(-) | protein_length=1763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/179at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/179at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/179at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:43 2026
# [ok]
