#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720672.1         -            867 4608at5820           -            541         0 1018.9  85.4   1   5  1.2e-135  1.3e-132  441.7  20.1     1   246     1   262     1   287 0.88 | transcript=PVPAM_090043700_t1 | gene=PVPAM_090043700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=CASCJQ010000009:1711150-1713753(+) | protein_length=867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723829.1         -           1106 4608at5820           -            541   4.4e-13   47.2   8.3   2   3   1.9e-05      0.02   12.0   0.2    35    99   776   843   745   862 0.72 | transcript=PVPAM_140075200_t1 | gene=PVPAM_140075200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=CASCJQ010000014:2948173-2951726(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723829.1         -           1106 4608at5820           -            541   4.4e-13   47.2   8.3   3   3   1.2e-13   1.3e-10   39.0   0.4   309   464   883  1059   866  1068 0.67 | transcript=PVPAM_140075200_t1 | gene=PVPAM_140075200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=CASCJQ010000014:2948173-2951726(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720636.1         -            852 4608at5820           -            541   1.1e-06   26.0   1.9   1   3      0.15   1.6e+02   -0.9   0.0    60    94   542   580   527   603 0.75 | transcript=PVPAM_090040000_t1 | gene=PVPAM_090040000 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=CASCJQ010000009:1550068-1552626(-) | protein_length=852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720636.1         -            852 4608at5820           -            541   1.1e-06   26.0   1.9   2   3     0.017        19    2.2   0.2   305   339   611   646   598   658 0.81 | transcript=PVPAM_090040000_t1 | gene=PVPAM_090040000 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=CASCJQ010000009:1550068-1552626(-) | protein_length=852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720636.1         -            852 4608at5820           -            541   1.1e-06   26.0   1.9   3   3   3.3e-08   3.5e-05   21.1   0.0   368   443   719   797   688   808 0.78 | transcript=PVPAM_090040000_t1 | gene=PVPAM_090040000 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=CASCJQ010000009:1550068-1552626(-) | protein_length=852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4608at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4608at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4608at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:25 2026
# [ok]
