#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722769.1         -            421 6860at5820           -            348  3.6e-209  692.2  35.1   1   1  7.2e-210    2e-207  686.5  35.1     1   348    19   421    19   421 0.93 | transcript=PVPAM_130027000_t1 | gene=PVPAM_130027000 | organism=Plasmodium_vivax_PAM | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=CASCJQ010000013:998505-1000337(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722051.1         -            334 6860at5820           -            348   3.2e-15   54.4   0.5   1   1   1.7e-17   4.7e-15   53.8   0.5     5    81    39   120    35   239 0.85 | transcript=PVPAM_120028900_t1 | gene=PVPAM_120028900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:922936-924975(+) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722759.1         -            245 6860at5820           -            348   9.9e-14   49.5   0.6   1   2   3.5e-16   9.9e-14   49.5   0.6     9    74     6    76     2   102 0.80 | transcript=PVPAM_130026000_t1 | gene=PVPAM_130026000 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=CASCJQ010000013:953395-955087(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722759.1         -            245 6860at5820           -            348   9.9e-14   49.5   0.6   2   2       1.1     3e+02   -1.4   0.1   176   227   177   230   165   236 0.73 | transcript=PVPAM_130026000_t1 | gene=PVPAM_130026000 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=CASCJQ010000013:953395-955087(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719924.1         -           1937 6860at5820           -            348     2e-13   48.5   1.5   1   1   1.5e-15   4.2e-13   47.4   1.5     8    75  1036  1103  1029  1111 0.90 | transcript=PVPAM_080014700_t1 | gene=PVPAM_080014700 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:484782-490736(+) | protein_length=1937 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720901.1         -            529 6860at5820           -            348   5.1e-13   47.1   2.2   1   3         1   2.9e+02   -1.4   0.1    52    75   118   141   112   162 0.71 | transcript=PVPAM_100016900_t1 | gene=PVPAM_100016900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:518961-520882(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720901.1         -            529 6860at5820           -            348   5.1e-13   47.1   2.2   2   3   1.8e-15   5.1e-13   47.1   2.2     4   114   186   300   183   314 0.80 | transcript=PVPAM_100016900_t1 | gene=PVPAM_100016900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:518961-520882(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720901.1         -            529 6860at5820           -            348   5.1e-13   47.1   2.2   3   3      0.38   1.1e+02    0.0   1.2   297   335   487   528   458   529 0.74 | transcript=PVPAM_100016900_t1 | gene=PVPAM_100016900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:518961-520882(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717759.1         -            846 6860at5820           -            348     1e-12   46.1   0.1   1   1   6.2e-15   1.7e-12   45.4   0.1     8    72   293   361   289   381 0.87 | transcript=PVPAM_010027300_t1 | gene=PVPAM_010027300 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000001:986919-989459(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722993.1         -            381 6860at5820           -            348   2.5e-11   41.6   0.7   1   1   1.4e-13   4.1e-11   40.9   0.7     6    71    52   120    48   134 0.88 | transcript=PVPAM_130049900_t1 | gene=PVPAM_130049900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:1983241-1984755(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720654.1         -            381 6860at5820           -            348   1.4e-10   39.1   2.2   1   1   8.5e-13   2.4e-10   38.4   2.2     6    72   109   178   105   190 0.89 | transcript=PVPAM_090041800_t1 | gene=PVPAM_090041800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000009:1633073-1634829(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719632.1         -            378 6860at5820           -            348   1.6e-10   38.9   0.2   1   2   5.9e-13   1.6e-10   38.9   0.2     8    77    52   122    49   136 0.85 | transcript=PVPAM_070024600_t1 | gene=PVPAM_070024600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000007:878362-880295(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719632.1         -            378 6860at5820           -            348   1.6e-10   38.9   0.2   2   2       3.3   9.3e+02   -3.1   0.4    94   121   258   285   249   317 0.59 | transcript=PVPAM_070024600_t1 | gene=PVPAM_070024600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000007:878362-880295(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 6860at5820           -            348   1.5e-09   35.8   2.0   1   2   5.2e-12   1.5e-09   35.8   2.0     9    69     8    77     2    97 0.79 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 6860at5820           -            348   1.5e-09   35.8   2.0   2   2       1.4     4e+02   -1.9   0.5    55    80   155   180   133   195 0.62 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718786.1         -            691 6860at5820           -            348   3.7e-09   34.5   2.7   1   1   4.5e-11   1.3e-08   32.7   2.7     8    69   141   206   136   219 0.87 | transcript=PVPAM_050018000_t1 | gene=PVPAM_050018000 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000005:588880-590955(-) | protein_length=691 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722148.1         -            339 6860at5820           -            348   6.5e-08   30.3  15.7   1   3   5.1e-07   0.00014   19.3   0.6     9    49     8    49     2    93 0.68 | transcript=PVPAM_120038600_t1 | gene=PVPAM_120038600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:1334802-1335821(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722148.1         -            339 6860at5820           -            348   6.5e-08   30.3  15.7   2   3   3.4e-07   9.6e-05   19.9   0.9    45    79   117   151   112   190 0.88 | transcript=PVPAM_120038600_t1 | gene=PVPAM_120038600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:1334802-1335821(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722148.1         -            339 6860at5820           -            348   6.5e-08   30.3  15.7   3   3      0.37   1.1e+02    0.1   1.5   287   324   262   302   230   329 0.68 | transcript=PVPAM_120038600_t1 | gene=PVPAM_120038600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:1334802-1335821(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723355.1         -            718 6860at5820           -            348   1.8e-07   28.9   0.0   1   1   1.4e-09     4e-07   27.8   0.0    11    71   131   195   124   201 0.88 | transcript=PVPAM_140027400_t1 | gene=PVPAM_140027400 | organism=Plasmodium_vivax_PAM | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=CASCJQ010000014:968475-970631(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721290.1         -            201 6860at5820           -            348   1.7e-05   22.4   1.5   1   1   8.2e-08   2.3e-05   22.0   1.5     9    82     2    77     1    81 0.83 | transcript=PVPAM_110019200_t1 | gene=PVPAM_110019200 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:606094-607727(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721120.1         -            177 6860at5820           -            348   0.00019   19.0   0.1   1   2   6.7e-07   0.00019   19.0   0.1    11    40    10    39     3    53 0.92 | transcript=PVPAM_100038800_t1 | gene=PVPAM_100038800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:1445270-1445803(-) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721120.1         -            177 6860at5820           -            348   0.00019   19.0   0.1   2   2       1.7   4.7e+02   -2.1   0.2     7    13   117   123    70   141 0.59 | transcript=PVPAM_100038800_t1 | gene=PVPAM_100038800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:1445270-1445803(-) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720716.1         -            321 6860at5820           -            348   0.00021   18.8   2.2   1   1   1.8e-06    0.0005   17.6   2.2     6    70    33    95    30   103 0.87 | transcript=PVPAM_090048100_t1 | gene=PVPAM_090048100 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000009:1949700-1950811(+) | protein_length=321 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718248.1         -            115 6860at5820           -            348    0.0062   14.0   0.2   1   1   2.8e-05    0.0078   13.6   0.2     3    57    59   113    57   115 0.90 | transcript=PVPAM_030024800_t1 | gene=PVPAM_030024800 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial import inner membrane translocase subunit TIM14, putative | transcript_product=mitochondrial import inner membrane translocase subunit TIM14, putative | location=CASCJQ010000003:804664-805291(+) | protein_length=115 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6860at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6860at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6860at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:56 2026
# [ok]
