#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722309.1         -            442 7030at5820           -            387  4.5e-243  804.7  15.5   1   2  1.3e-183  3.2e-181  601.1  10.1     1   281     1   298     1   301 0.97 | transcript=PVPAM_120054600_t1 | gene=PVPAM_120054600 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=CASCJQ010000012:1997081-1998409(+) | protein_length=442 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717764.1         -           1000 7030at5820           -            387   2.1e-14   52.0   0.0   1   2     0.048        12    3.3   0.0   278   306   568   596   547   603 0.80 | transcript=PVPAM_010027800_t1 | gene=PVPAM_010027800 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1005291-1008466(+) | protein_length=1000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717764.1         -           1000 7030at5820           -            387   2.1e-14   52.0   0.0   2   2   4.7e-15   1.2e-12   46.1   0.0   133   239   756   867   746   918 0.85 | transcript=PVPAM_010027800_t1 | gene=PVPAM_010027800 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1005291-1008466(+) | protein_length=1000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720679.1         -            627 7030at5820           -            387   1.5e-13   49.1   2.0   1   1   8.6e-16   2.2e-13   48.6   2.0    75   284   279   515   243   533 0.68 | transcript=PVPAM_090044400_t1 | gene=PVPAM_090044400 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000009:1776366-1779201(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717691.1         -            665 7030at5820           -            387   6.1e-08   30.7   0.6   1   1   2.4e-10   6.1e-08   30.7   0.6   132   280   340   495   292   529 0.73 | transcript=PVPAM_010020500_t1 | gene=PVPAM_010020500 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:739478-741475(+) | protein_length=665 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721601.1         -            483 7030at5820           -            387   1.6e-05   22.7   0.0   1   2   0.00011     0.028   12.0   0.0   121   171   239   290   190   314 0.82 | transcript=PVPAM_110050500_t1 | gene=PVPAM_110050500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=CASCJQ010000011:1906067-1907518(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721601.1         -            483 7030at5820           -            387   1.6e-05   22.7   0.0   2   2    0.0014      0.36    8.4   0.0   225   295   369   444   345   454 0.74 | transcript=PVPAM_110050500_t1 | gene=PVPAM_110050500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=CASCJQ010000011:1906067-1907518(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719993.1         -            366 7030at5820           -            387   0.00065   17.4   0.0   1   1   3.7e-06   0.00095   16.9   0.0    75   149    91   164    82   180 0.92 | transcript=PVPAM_080021500_t1 | gene=PVPAM_080021500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000008:773993-775093(+) | protein_length=366 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720350.1         -            475 7030at5820           -            387    0.0007   17.3   0.0   1   1     5e-06    0.0013   16.4   0.0   115   179    65   128    31   158 0.80 | transcript=PVPAM_090011500_t1 | gene=PVPAM_090011500 | organism=Plasmodium_vivax_PAM | gene_product=RuvB-like helicase 2, putative | transcript_product=RuvB-like helicase 2, putative | location=CASCJQ010000009:381016-382443(-) | protein_length=475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718940.1         -            218 7030at5820           -            387    0.0029   15.3   5.6   1   1   1.3e-05    0.0034   15.0   5.6    38    95    55   115    13   139 0.77 | transcript=PVPAM_050033200_t1 | gene=PVPAM_050033200 | organism=Plasmodium_vivax_PAM | gene_product=PRKR-interacting protein 1, putative | transcript_product=PRKR-interacting protein 1, putative | location=CASCJQ010000005:1156071-1156727(-) | protein_length=218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723066.1         -           1226 7030at5820           -            387    0.0045   14.6  12.3   1   2   2.4e-05    0.0063   14.2   0.0   158   211   544   597   513   695 0.86 | transcript=PVPAM_130057200_t1 | gene=PVPAM_130057200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | transcript_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | location=CASCJQ010000013:2311930-2315610(-) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723066.1         -           1226 7030at5820           -            387    0.0045   14.6  12.3   2   2       4.7   1.2e+03   -3.2  10.1   105   206   841   951   789   959 0.59 | transcript=PVPAM_130057200_t1 | gene=PVPAM_130057200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | transcript_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | location=CASCJQ010000013:2311930-2315610(-) | protein_length=1226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7030at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7030at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7030at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:37 2026
# [ok]
