#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722422.1         -           2962 535at5820            -           2186         0 3059.3 292.4   1   7  6.7e-173  7.2e-170  565.8  50.9     1   335     1   400     1   411 0.89 | transcript=PVPAM_120065800_t1 | gene=PVPAM_120065800 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP313, putative | transcript_product=nucleoporin NUP313, putative | location=CASCJQ010000012:2471839-2480727(-) | protein_length=2962 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718911.1         -            421 535at5820            -           2186       1.7    4.0  12.8   1   1    0.0034       3.7    2.9  12.8  1517  1578   105   163    57   210 0.47 | transcript=PVPAM_050030300_t1 | gene=PVPAM_050030300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=CASCJQ010000005:1046207-1047662(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/535at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/535at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/535at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:31 2026
# [ok]
